"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSG00000145050"	4438.9292493062	-1.96384255988643	0.148979709963418	-13.1819464567937	1.11477041352626e-39	9.47331897414616e-36	"MANF"
"ENSG00000183741"	2952.09910115723	1.75694928282658	0.154512713916604	11.3709042983664	5.83795955188939e-30	2.4805490135978e-26	"CBX6"
"ENSG00000044574"	14254.5894119913	-2.2697689896505	0.201455518670232	-11.2668493999708	1.91292927855347e-29	4.06401825228685e-26	"HSPA5"
"ENSG00000197279"	430.34050388853	-3.25177013589922	0.288352711722602	-11.2770575885115	1.70348745181521e-29	4.06401825228685e-26	"ZNF165"
"ENSG00000149428"	10393.551594713	-1.5193283119131	0.151683241464417	-10.0164546672713	1.29049298463957e-23	2.19332187669342e-20	"HYOU1"
"ENSG00000155090"	1610.55322026474	-1.65756650218581	0.176090901020277	-9.41312976753377	4.81579093095343e-21	6.8207652218737e-18	"KLF10"
"ENSG00000128228"	2517.68600024675	-1.8718027375931	0.203393651817608	-9.2028572222678	3.48555871739758e-20	4.23146828292067e-17	"SDF2L1"
"ENSG00000155660"	11381.5304349571	-1.68708859378178	0.188984214527109	-8.92714027996119	4.37162907832752e-19	4.64376298845341e-16	"PDIA4"
"ENSG00000162772"	4457.42347088486	-2.34405268660752	0.265235665017855	-8.83762252127638	9.77769877582323e-19	9.23232046632731e-16	"ATF3"
"ENSG00000100241"	13238.9844847521	2.22632445531162	0.259366564000069	8.58369876585568	9.18703525380338e-18	7.09740232607465e-15	"SBF1"
"ENSG00000151014"	555.822036061456	-1.37051219706237	0.159591513201247	-8.58762580522773	8.87848818492048e-18	7.09740232607465e-15	"NOCT"
"ENSG00000116717"	1690.18586458389	-1.72350204315531	0.201944677538775	-8.53452571348106	1.40731535432249e-17	9.96613823419375e-15	"GADD45A"
"ENSG00000130222"	587.588771379371	-2.20313231508728	0.262373299961034	-8.39693793314516	4.58272120679889e-17	2.99568960118284e-14	"GADD45G"
"ENSG00000125812"	756.260692082832	-1.73492127091155	0.20979269999703	-8.26969323020347	1.34304137030553e-16	8.15226111775454e-14	"GZF1"
"ENSG00000187678"	294.286686238861	-2.00412790102322	0.243074974548274	-8.24489606446593	1.65303839073142e-16	9.36501349629041e-14	"SPRY4"
"ENSG00000139219"	1258.88694729054	2.04185920774846	0.248159702295789	8.22800474395598	1.90357545589845e-16	1.01103651401406e-13	"COL2A1"
"ENSG00000205476"	1414.01431061055	1.4695058749773	0.178785605318391	8.21937466587606	2.045670230888e-16	1.02259444835801e-13	"CCDC85C"
"ENSG00000186300"	376.36840622042	-2.05566156272436	0.252055056557954	-8.15560533002724	3.47435280206298e-16	1.64028056177396e-13	"ZNF555"
"ENSG00000107331"	2012.15052689197	1.71296835736639	0.214914424482686	7.97046713588268	1.58075699428282e-15	7.07014365127127e-13	"ABCA2"
