"DMSO_rep1"	"DMSO_rep2"	"DMSO_rep3"	"DMSO_rep4"	"THAP_rep1"	"THAP_rep2"	"THAP_rep3"	"THAP_rep4"
"ENSG00000000003"	1294	1690	1252	1201	1254	1174	1170	1149
"ENSG00000000005"	0	8	0	0	0	11	1	1
"ENSG00000000419"	447	485	491	550	421	383	528	530
"ENSG00000000457"	241	225	217	176	709	524	427	507
"ENSG00000000460"	538	603	526	448	1160	819	654	675
"ENSG00000000938"	0	1	0	0	2	1	0	0
"ENSG00000000971"	0	6	0	0	0	0	0	0
"ENSG00000001036"	2445	2801	2761	2133	2987	2196	2635	2597
"ENSG00000001167"	1567	1360	1068	677	1751	1217	1274	1332
"ENSG00000001460"	442	509	480	471	1061	547	643	649
"ENSG00000001461"	2332	2383	1998	1456	2834	1793	1944	1846
"ENSG00000001497"	2393	2648	2430	2153	4177	2375	2407	2303
"ENSG00000001561"	342	425	446	499	236	419	430	508
"ENSG00000001629"	1009	929	1072	708	1010	1090	1168	1339
"ENSG00000002079"	1	1	0	1	1	2	3	1
"ENSG00000002330"	1758	1757	1327	3507	2763	1380	1237	1085
"ENSG00000002549"	579	534	527	359	732	512	664	618
"ENSG00000002586"	0	0	0	0	0	0	0	0
"ENSG00000002586_PAR_Y"	0	0	0	0	0	0	0	0
"ENSG00000002726"	0	1	0	0	2	2	0	0
"ENSG00000002745"	21	24	14	14	57	33	24	23
"ENSG00000002919"	1003	1124	1115	1803	2672	1608	1491	1264
"ENSG00000002933"	9	11	11	26	5	8	11	10
"ENSG00000003056"	1847	1934	1564	1424	1926	1218	1384	1496
"ENSG00000003137"	304	422	273	191	405	306	206	209
"ENSG00000003147"	196	139	189	170	285	157	242	222
"ENSG00000003249"	2198	1807	1938	3179	2862	1256	1353	1416
"ENSG00000003393"	939	887	746	502	1354	1112	940	1060
"ENSG00000003400"	104	167	96	109	191	184	136	145
"ENSG00000003436"	92	115	115	143	50	59	107	129
"ENSG00000003509"	337	331	338	233	457	342	389	474
"ENSG00000003987"	115	82	75	65	127	106	97	129
"ENSG00000004142"	6393	6484	7992	10514	10280	5597	6964	5576
"ENSG00000004399"	2387	2846	2454	3705	2170	1401	1390	1282
"ENSG00000004468"	3	1	0	0	3	3	2	2
"ENSG00000004478"	7527	7551	7405	9282	12691	6141	7168	6809
"ENSG00000004660"	896	768	1094	1018	2202	975	1310	1088
"ENSG00000004700"	343	422	577	462	407	531	734	865
"ENSG00000004766"	153	196	299	278	217	287	346	373
"ENSG00000004776"	85	75	127	157	124	44	81	76
"ENSG00000004777"	1309	1103	1218	1506	2956	1175	1213	1135
"ENSG00000004779"	2295	2399	2789	2955	3197	1917	2593	2027
"ENSG00000004799"	89	102	60	59	103	95	101	133
"ENSG00000004838"	6	18	22	20	27	19	8	7
"ENSG00000004846"	0	0	0	0	1	1	1	0
"ENSG00000004848"	50	50	53	38	75	32	32	37
"ENSG00000004939"	6	5	3	2	4	3	0	4
"ENSG00000004961"	717	793	708	643	1083	752	828	840
"ENSG00000004975"	2000	2490	1900	2769	5053	3226	2144	2091
"ENSG00000005001"	0	1	1	2	3	1	0	0
"ENSG00000005007"	5182	5699	4963	4882	13857	8014	7385	6829
"ENSG00000005022"	6680	7562	6487	7405	8900	6107	5879	5189
"ENSG00000005073"	1065	1015	817	787	2023	959	981	907
"ENSG00000005075"	1075	1061	1220	1705	1469	737	939	865
"ENSG00000005102"	0	5	0	1	3	2	3	0
"ENSG00000005156"	2713	2441	2556	2051	5349	2719	2981	2794
"ENSG00000005194"	1449	1695	1568	2076	3361	1913	1865	1604
"ENSG00000005238"	240	445	339	392	584	566	454	431
"ENSG00000005249"	882	641	581	494	612	449	544	622
"ENSG00000005302"	744	804	695	580	785	514	630	644
"ENSG00000005339"	4204	4233	3159	1692	7606	4909	4375	4130
"ENSG00000005379"	424	633	547	638	430	399	347	366
"ENSG00000005381"	0	0	0	0	0	0	0	0
"ENSG00000005421"	0	0	1	0	0	0	0	0
"ENSG00000005436"	367	447	565	506	446	517	647	768
"ENSG00000005448"	644	876	809	1405	1038	742	690	535
"ENSG00000005469"	259	250	235	132	265	200	219	261
"ENSG00000005471"	60	63	32	30	84	57	41	59
"ENSG00000005483"	618	766	712	498	712	865	828	915
"ENSG00000005486"	2821	2761	3231	5965	5628	2822	2801	2602
"ENSG00000005513"	122	106	90	128	189	94	92	114
"ENSG00000005801"	251	458	566	482	510	623	885	1018
"ENSG00000005812"	586	658	634	590	756	832	901	1032
"ENSG00000005882"	2456	2756	2684	4301	4169	2201	2208	1919
"ENSG00000005884"	603	811	1093	1379	1070	725	1021	870
"ENSG00000005889"	766	1220	1023	739	1131	1967	1412	1811
"ENSG00000005893"	2490	2489	2365	1894	2146	1744	2407	2592
"ENSG00000005961"	74	92	72	123	182	110	74	92
"ENSG00000005981"	0	0	0	0	0	0	0	0
"ENSG00000006007"	3842	3888	3489	3688	4240	2530	2993	2909
"ENSG00000006015"	847	847	850	1614	1318	656	676	589
"ENSG00000006016"	503	611	380	669	784	488	303	244
"ENSG00000006025"	312	412	439	494	1187	671	526	565
"ENSG00000006042"	2037	2562	2104	3028	2804	1751	1716	1510
"ENSG00000006047"	167	167	180	288	263	127	138	125
"ENSG00000006059"	0	0	0	0	0	0	0	0
"ENSG00000006062"	412	420	425	392	2605	1365	819	899
"ENSG00000006116"	0	1	0	0	0	0	0	0
"ENSG00000006118"	2160	3002	2566	4692	2147	1540	1812	1740
"ENSG00000006128"	25	28	86	100	39	38	110	80
"ENSG00000006210"	17	23	8	15	13	15	9	3
"ENSG00000006283"	403	437	242	279	457	301	171	179
"ENSG00000006327"	190	851	1183	2059	485	1182	1697	2240
"ENSG00000006377"	253	235	168	145	513	229	158	190
"ENSG00000006432"	1082	1201	812	543	1766	1147	928	853
"ENSG00000006451"	959	871	1043	920	938	798	1107	1348
"ENSG00000006468"	158	102	118	77	251	176	155	180
"ENSG00000006530"	241	258	260	199	386	227	237	259
"ENSG00000006534"	20	45	32	56	43	40	31	27
"ENSG00000006555"	0	0	0	0	0	0	0	0
"ENSG00000006606"	1	1	6	3	1	1	0	0
"ENSG00000006611"	4	5	6	10	8	13	4	2
"ENSG00000006634"	203	226	301	319	237	305	365	402
"ENSG00000006638"	48	61	32	50	80	41	39	30
"ENSG00000006659"	0	0	0	1	0	0	0	0
"ENSG00000006704"	1205	1191	1165	1344	3510	2013	1546	1399
"ENSG00000006712"	4947	4274	4300	4219	9989	4604	5021	5138
"ENSG00000006715"	1072	945	1137	767	942	816	1041	1104
"ENSG00000006740"	1155	1188	1127	905	2119	1179	1113	1182
"ENSG00000006744"	4258	4669	4852	5130	9307	4935	5069	4548
"ENSG00000006756"	0	27	1	0	0	31	2	0
"ENSG00000006757"	234	368	345	514	270	192	233	237
"ENSG00000006788"	1	0	0	1	1	0	1	1
"ENSG00000006831"	4219	4129	3400	2434	6221	4100	3922	4143
"ENSG00000007038"	0	0	0	0	0	0	0	0
"ENSG00000007080"	2378	2669	2542	4438	3488	1820	2095	1774
"ENSG00000007174"	1	0	3	0	1	1	0	0
"ENSG00000007202"	16119	16513	13912	12683	22574	13116	12311	11597
"ENSG00000007216"	0	0	0	1	0	0	0	0
"ENSG00000007237"	577	683	478	332	881	539	403	381
"ENSG00000007255"	553	632	657	1258	802	443	464	451
"ENSG00000007264"	249	91	141	300	331	68	94	80
"ENSG00000007306"	0	0	0	0	0	0	0	0
"ENSG00000007341"	459	499	432	407	900	607	606	664
"ENSG00000007350"	1	93	10	6	5	42	4	3
"ENSG00000007372"	991	1085	855	840	1533	1129	1049	1209
"ENSG00000007376"	1470	1472	1549	3322	3143	1542	1522	1400
"ENSG00000007384"	366	522	543	819	931	681	498	576
"ENSG00000007392"	1233	1350	1019	809	2878	1827	1494	1556
"ENSG00000007402"	512	481	363	385	932	456	372	336
"ENSG00000007516"	78	96	47	102	119	75	42	34
"ENSG00000007520"	2254	2308	2493	4211	2934	1503	1888	1602
"ENSG00000007866"	1135	1437	1051	1714	2458	1604	1174	1241
"ENSG00000007923"	2825	2912	2872	2387	5063	2796	2850	2525
"ENSG00000007968"	1372	1478	1594	1877	4096	2195	2189	1972
"ENSG00000008018"	4675	4548	4687	4428	5159	3130	4199	3492
"ENSG00000008118"	2	7	6	5	20	11	14	15
"ENSG00000008130"	2863	3123	2723	2476	4817	2767	2368	2275
"ENSG00000008196"	0	1	0	0	0	6	0	0
"ENSG00000008197"	0	0	0	0	0	0	0	0
"ENSG00000008277"	490	429	371	243	429	383	456	520
"ENSG00000008282"	1250	1100	956	828	1093	696	937	1054
"ENSG00000008283"	748	760	785	844	1276	653	873	751
"ENSG00000008294"	3045	2787	2660	1388	3174	3071	3103	3254
"ENSG00000008311"	357	508	700	428	518	653	712	817
"ENSG00000008323"	89	105	103	207	189	97	93	94
"ENSG00000008324"	239	305	249	230	409	304	293	285
"ENSG00000008382"	952	1068	798	1711	1309	739	687	605
"ENSG00000008405"	514	488	350	209	634	587	546	537
"ENSG00000008438"	0	0	0	0	0	0	0	0
"ENSG00000008513"	423	447	344	240	898	529	407	354
"ENSG00000008516"	26	28	17	31	28	16	15	16
"ENSG00000008735"	1492	1185	1340	2169	2461	1028	1260	946
"ENSG00000008853"	448	545	377	494	753	604	393	362
"ENSG00000008869"	729	693	603	317	1158	928	808	868
"ENSG00000008952"	578	828	989	931	551	774	1052	1186
"ENSG00000009307"	7801	7035	9673	6924	6545	5857	9469	9891
"ENSG00000009709"	428	433	431	346	600	386	398	396
"ENSG00000009724"	10	17	11	13	14	7	7	8
"ENSG00000009765"	0	0	0	0	0	0	0	1
"ENSG00000009790"	0	0	0	0	0	0	0	0
"ENSG00000009830"	1343	1697	1975	2093	2240	1540	1654	1432
"ENSG00000009844"	1205	1292	1375	1822	1071	1154	1482	1603
"ENSG00000009954"	3809	3533	3340	2046	5673	4500	4443	4864
"ENSG00000010017"	1691	1532	1298	741	2082	1602	1500	1645
"ENSG00000010030"	18	27	30	40	51	43	28	11
"ENSG00000010072"	629	603	625	515	903	799	824	1064
"ENSG00000010256"	3525	4320	4540	9536	6499	3807	4045	3564
"ENSG00000010270"	1167	1171	990	1064	1201	775	761	849
"ENSG00000010278"	1324	1307	1530	1441	1462	837	1362	1147
"ENSG00000010318"	112	168	132	113	142	103	145	131
"ENSG00000010319"	18	13	4	3	14	5	4	4
"ENSG00000010322"	3487	3522	3383	3042	6307	3448	3202	3002
"ENSG00000010327"	0	4	2	4	1	3	0	1
"ENSG00000010361"	1491	1815	1754	3287	2567	1549	1458	1316
"ENSG00000010539"	643	726	486	460	1495	987	882	1041
"ENSG00000010610"	0	1	1	1	0	1	0	1
"ENSG00000010671"	5	3	2	6	3	8	4	0
"ENSG00000010704"	3	14	6	4	12	18	6	4
"ENSG00000010803"	2154	2111	2102	1944	4269	2448	2224	2026
"ENSG00000010810"	3128	3521	3596	2760	4006	2853	3784	3875
"ENSG00000010818"	1105	1024	724	541	1668	1739	1251	1432
"ENSG00000010932"	0	0	0	0	1	0	0	0
"ENSG00000011007"	2732	2785	2390	1820	4084	2689	2805	2847
"ENSG00000011009"	824	969	812	1303	1147	692	649	576
"ENSG00000011083"	0	0	0	0	0	0	0	0
"ENSG00000011114"	0	0	1	0	0	0	0	0
"ENSG00000011143"	798	952	1170	1093	1926	1210	1296	1118
"ENSG00000011198"	391	406	382	287	392	360	422	458
"ENSG00000011201"	944	879	966	676	774	766	998	1059
"ENSG00000011260"	1655	1474	1372	1325	2204	1505	1705	1741
"ENSG00000011332"	456	488	502	672	1478	806	701	642
"ENSG00000011376"	737	787	811	536	1679	983	875	836
"ENSG00000011426"	866	1266	1359	1122	1009	1326	1575	1786
"ENSG00000011451"	3931	4081	4194	4480	6937	3777	4066	3322
"ENSG00000011465"	0	0	0	0	0	0	0	0
"ENSG00000011478"	710	935	803	1620	1520	914	810	770
"ENSG00000011485"	4890	4880	5721	6900	9685	5358	5755	5092
"ENSG00000011523"	706	744	680	549	1401	929	804	787
"ENSG00000011590"	0	0	1	2	1	0	2	0
"ENSG00000011600"	1	0	0	0	0	0	0	0
"ENSG00000011638"	164	229	176	250	279	206	205	176
"ENSG00000012061"	2272	2202	2699	4061	3485	1861	2332	2011
"ENSG00000012211"	224	271	230	356	762	399	341	290
"ENSG00000012223"	0	0	0	1	0	0	1	0
"ENSG00000012232"	2925	3461	2793	3153	3707	2196	2222	1808
"ENSG00000012504"	1	1	4	0	0	3	0	2
"ENSG00000012779"	0	0	0	0	0	0	0	0
"ENSG00000012817"	0	0	0	1	0	0	0	0
"ENSG00000012822"	1360	1976	1781	2076	2209	1687	1587	1507
"ENSG00000013016"	577	555	466	352	750	404	399	305
"ENSG00000013275"	8608	6957	10821	13487	16610	7398	11879	10001
"ENSG00000013288"	1287	1049	1213	824	1586	811	996	879
"ENSG00000013293"	0	0	0	0	0	0	0	0
"ENSG00000013306"	6895	6817	7777	13684	9477	4630	5626	4686
"ENSG00000013374"	1367	1513	1246	1131	1906	1416	1577	1605
"ENSG00000013375"	1124	1081	1319	1035	1113	1121	1566	1763
"ENSG00000013392"	273	304	246	221	517	447	414	488
"ENSG00000013503"	376	376	298	204	564	360	445	498
"ENSG00000013561"	1192	1056	1040	998	1453	1108	1286	1428
"ENSG00000013563"	713	1309	840	1010	1042	967	655	595
"ENSG00000013573"	881	954	1009	996	2484	1594	1177	1143
"ENSG00000013583"	753	907	829	899	1310	822	806	837
"ENSG00000013619"	469	701	545	389	815	724	602	532
"ENSG00000013725"	33	63	47	92	59	36	24	38
"ENSG00000014123"	327	451	576	396	337	516	786	824
"ENSG00000014164"	425	335	378	644	926	475	436	375
"ENSG00000014216"	4209	4349	4314	8498	7441	3716	4193	3598
"ENSG00000014257"	14	7	4	3	12	9	7	5
"ENSG00000014641"	2871	3039	2427	3373	3072	2003	2404	2416
"ENSG00000014914"	55	84	61	60	141	158	70	77
"ENSG00000015133"	675	606	489	308	1441	741	628	621
"ENSG00000015153"	387	425	472	545	521	467	475	718
"ENSG00000015171"	1067	892	1233	916	879	794	1252	1441
"ENSG00000015285"	9	20	12	16	36	17	8	13
"ENSG00000015413"	6	3	3	7	5	3	3	3
"ENSG00000015520"	17	50	19	31	51	31	22	16
"ENSG00000015532"	1957	1919	1722	1959	2762	1312	1227	1209
"ENSG00000015568"	0	0	0	0	0	0	0	0
"ENSG00000015592"	13	29	10	7	9	17	7	9
"ENSG00000015676"	3183	3602	3613	5548	7208	4284	4112	3484
"ENSG00000016082"	199	236	120	128	505	276	196	220
"ENSG00000016391"	432	280	306	199	817	366	381	321
"ENSG00000016402"	282	250	293	327	377	201	262	280
"ENSG00000016490"	0	0	0	0	0	0	0	0
"ENSG00000016602"	0	0	0	0	0	0	0	0
"ENSG00000016864"	651	673	512	441	734	563	525	593
"ENSG00000017260"	1050	980	932	675	941	886	925	1068
"ENSG00000017427"	0	1	0	0	0	1	0	0
"ENSG00000017483"	3	5	1	2	5	3	5	4
"ENSG00000018189"	543	433	444	291	542	448	482	534
"ENSG00000018280"	7	18	12	21	14	10	10	9
"ENSG00000018510"	1188	1170	1580	1031	1083	1132	1741	1936
"ENSG00000018607"	0	0	0	0	0	0	0	0
"ENSG00000018610"	515	725	606	503	609	459	453	397
"ENSG00000018625"	0	0	0	0	0	0	1	1
"ENSG00000019102"	0	0	2	0	1	0	0	0
"ENSG00000019169"	1	0	0	0	0	0	0	1
"ENSG00000019186"	4	11	3	1	10	12	4	2
"ENSG00000019485"	586	670	480	478	863	615	435	424
"ENSG00000019505"	9	12	4	4	11	7	7	3
"ENSG00000019549"	19	102	55	42	77	166	62	104
"ENSG00000019582"	2	43	11	19	2	33	11	4
"ENSG00000019991"	0	1	0	0	3	0	1	1
"ENSG00000020129"	1859	1979	2094	2657	3209	1696	1970	1694
"ENSG00000020181"	582	608	752	767	837	372	515	544
"ENSG00000020577"	394	464	415	313	538	561	436	618
"ENSG00000021300"	163	285	157	256	256	196	116	136
"ENSG00000021355"	636	909	682	729	751	802	679	779
"ENSG00000021461"	0	1	0	0	1	1	1	1
"ENSG00000021574"	491	547	608	398	446	499	677	738
"ENSG00000021762"	601	686	683	1090	1272	811	775	628
"ENSG00000021776"	701	643	707	491	900	799	868	986
"ENSG00000021852"	0	0	0	0	0	0	0	0
"ENSG00000022267"	7304	7289	8024	7020	10024	5694	7908	8596
"ENSG00000022355"	0	0	0	0	0	0	0	0
"ENSG00000022840"	5883	5840	5621	5195	8516	4619	4870	4496
"ENSG00000022976"	476	580	501	359	1078	682	535	555
"ENSG00000023171"	635	826	372	305	1342	918	481	443
"ENSG00000023191"	1	0	0	0	0	0	1	1
"ENSG00000023287"	209	576	1050	1004	330	827	1129	1196
"ENSG00000023330"	763	992	756	864	2398	1670	1253	1142
"ENSG00000023445"	15	19	24	32	10	17	27	34
"ENSG00000023516"	378	520	570	413	426	684	796	837
"ENSG00000023572"	455	431	400	354	468	378	532	557
"ENSG00000023697"	789	762	853	753	687	495	780	821
"ENSG00000023734"	3662	3423	3003	2643	3845	2525	3033	3202
"ENSG00000023839"	30	33	32	13	44	50	22	33
"ENSG00000023892"	44	46	39	47	68	34	32	34
"ENSG00000023902"	810	1028	734	1136	1633	1106	926	925
