"DMSO_rep1"	"DMSO_rep2"	"DMSO_rep3"	"DMSO_rep4"	"THAP_rep1"	"THAP_rep2"	"THAP_rep3"	"THAP_rep4"
"ENSG00000000003"	14	26	13	7	17	12	11	14
"ENSG00000000005"	0	0	0	0	0	0	1	0
"ENSG00000000419"	70	125	81	55	64	85	84	74
"ENSG00000000457"	26	53	32	20	27	41	27	27
"ENSG00000000460"	65	79	56	69	47	71	50	66
"ENSG00000000938"	0	0	2	0	0	0	0	0
"ENSG00000000971"	1	1	0	0	0	0	0	0
"ENSG00000001036"	84	91	81	49	82	78	82	99
"ENSG00000001167"	170	161	135	57	87	93	99	74
"ENSG00000001460"	68	86	83	68	71	54	74	64
"ENSG00000001461"	82	114	113	70	99	136	89	104
"ENSG00000001497"	104	118	105	46	137	88	74	84
"ENSG00000001561"	14	18	19	25	15	21	21	19
"ENSG00000001629"	81	186	130	112	56	125	100	134
"ENSG00000002079"	0	1	0	1	2	4	0	2
"ENSG00000002330"	64	120	67	95	81	89	38	51
"ENSG00000002549"	40	62	36	16	38	38	34	27
"ENSG00000002586"	0	0	0	0	0	0	0	0
"ENSG00000002586_PAR_Y"	0	0	0	0	0	0	0	0
"ENSG00000002726"	0	0	0	0	0	0	2	0
"ENSG00000002745"	0	1	2	0	2	1	1	0
"ENSG00000002919"	19	35	30	24	32	14	20	18
"ENSG00000002933"	0	0	0	0	0	0	0	0
"ENSG00000003056"	143	144	124	75	162	125	120	135
"ENSG00000003137"	33	55	34	15	56	33	16	18
"ENSG00000003147"	50	50	54	23	44	63	59	52
"ENSG00000003249"	101	118	79	129	129	75	49	57
"ENSG00000003393"	82	125	96	73	61	90	76	108
"ENSG00000003400"	21	32	15	8	24	28	19	15
"ENSG00000003436"	10	16	18	19	7	22	13	13
"ENSG00000003509"	42	46	39	36	33	41	37	62
"ENSG00000003987"	45	41	37	36	32	35	33	59
"ENSG00000004142"	79	128	89	106	121	91	49	65
"ENSG00000004399"	46	62	56	39	76	49	23	42
"ENSG00000004468"	1	3	4	1	0	1	1	3
"ENSG00000004478"	70	79	51	33	61	27	34	44
"ENSG00000004660"	198	241	270	305	228	137	146	199
"ENSG00000004700"	52	67	59	38	44	69	57	79
"ENSG00000004766"	17	28	32	23	11	25	36	36
"ENSG00000004776"	79	49	111	193	128	38	74	72
"ENSG00000004777"	55	50	75	57	95	39	32	62
"ENSG00000004779"	185	199	133	94	213	122	144	119
"ENSG00000004799"	4	1	2	1	0	1	0	2
"ENSG00000004838"	0	1	1	1	0	0	0	0
"ENSG00000004846"	0	0	1	2	2	0	1	0
"ENSG00000004848"	2	3	3	1	0	2	0	0
"ENSG00000004939"	0	0	0	0	0	3	1	0
"ENSG00000004961"	20	25	25	14	25	20	16	19
"ENSG00000004975"	22	29	15	5	19	15	13	14
"ENSG00000005001"	1	0	0	0	0	0	0	1
"ENSG00000005007"	145	248	163	120	194	131	93	113
"ENSG00000005022"	24	18	13	9	28	10	12	16
"ENSG00000005073"	12	18	11	11	11	1	9	6
"ENSG00000005075"	14	29	22	20	33	19	14	12
"ENSG00000005102"	2	1	0	1	2	3	0	1
"ENSG00000005156"	89	103	78	58	143	98	69	77
"ENSG00000005194"	258	225	182	86	263	171	154	112
"ENSG00000005238"	5	12	5	9	11	9	4	12
"ENSG00000005249"	19	30	34	18	17	28	12	29
"ENSG00000005302"	13	9	6	2	7	2	1	5
"ENSG00000005339"	219	474	225	225	214	258	169	201
"ENSG00000005379"	52	93	71	62	74	51	36	59
"ENSG00000005381"	0	0	0	0	0	0	0	0
"ENSG00000005421"	0	0	2	1	0	0	0	0
"ENSG00000005436"	70	138	110	69	42	105	88	112
"ENSG00000005448"	3	1	4	0	2	3	0	4
"ENSG00000005469"	40	73	59	34	26	41	43	52
"ENSG00000005471"	18	30	13	10	14	20	15	16
"ENSG00000005483"	56	134	84	54	44	67	63	85
"ENSG00000005486"	194	233	235	231	330	171	186	173
"ENSG00000005513"	1	1	1	1	1	0	0	0
"ENSG00000005801"	59	127	63	41	72	77	79	69
"ENSG00000005812"	67	92	66	36	52	75	64	65
"ENSG00000005882"	29	40	26	27	38	34	20	32
"ENSG00000005884"	31	44	45	38	35	45	29	39
"ENSG00000005889"	77	155	114	72	90	139	95	118
"ENSG00000005893"	104	138	99	71	49	92	78	84
"ENSG00000005961"	7	7	15	9	6	6	4	2
"ENSG00000005981"	0	1	0	0	0	0	0	0
"ENSG00000006007"	17	28	17	17	13	11	19	14
"ENSG00000006015"	4	9	14	10	10	8	3	8
"ENSG00000006016"	46	48	28	39	84	45	22	24
"ENSG00000006025"	36	62	74	151	44	24	38	52
"ENSG00000006042"	121	140	85	56	113	102	58	55
"ENSG00000006047"	0	0	0	2	2	0	2	3
"ENSG00000006059"	0	0	0	0	0	0	0	0
"ENSG00000006062"	91	253	166	144	105	122	91	105
"ENSG00000006116"	0	2	1	1	2	0	2	2
"ENSG00000006118"	47	69	62	35	53	43	16	27
"ENSG00000006128"	2	2	3	1	1	5	11	13
"ENSG00000006210"	0	0	1	0	0	1	0	0
"ENSG00000006283"	123	133	61	55	123	82	35	47
"ENSG00000006327"	0	8	8	7	4	8	5	8
"ENSG00000006377"	6	3	1	3	8	2	2	1
"ENSG00000006432"	42	75	43	33	62	65	52	48
"ENSG00000006451"	32	56	38	36	17	43	34	41
"ENSG00000006468"	12	14	11	6	21	34	28	21
"ENSG00000006530"	77	96	116	65	59	96	108	94
