"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSG00000100068"	-1.95433496685592	4.5806196530678	52.6587311121431	1.37740441598493e-07	0.00112189589681972	"LRP5L"
"ENSG00000168826"	-1.8268447522195	3.68579161850283	47.5480153801141	3.26332739868619e-07	0.00132899008311495	"ZBTB49"
"ENSG00000170222"	-2.10363703981984	3.43577470236441	42.8664595158802	7.61131784471292e-07	0.00191558054301458	"ADPRM"
"ENSG00000006062"	-2.18196176832997	5.34007386000946	41.7448426380622	9.40739370418457e-07	0.00191558054301458	"MAP3K14"
"ENSG00000166794"	1.67711083678458	8.38298074869444	39.5029053265175	1.45303906602264e-06	0.00194840027059539	"PPIB"
"ENSG00000068028"	-1.66832929380524	5.38709217208087	38.6877446529893	1.70851502518978e-06	0.00194840027059539	"RASSF1"
"ENSG00000196152"	-1.70321507577345	4.55308893553097	38.1232810026839	1.91371420070756e-06	0.00194840027059539	"ZNF79"
"ENSG00000196653"	-1.81611220599122	2.75448402018575	38.4340536290498	1.79763281428198e-06	0.00194840027059539	"ZNF502"
"ENSG00000281706"	-1.69856492478033	3.62957971341136	35.7076628123413	3.14761621581441e-06	0.00279666404023905	""
"ENSG00000197102"	-2.19189957439185	8.36917333522021	35.2954776153065	3.43359612061271e-06	0.00279666404023905	"DYNC1H1"
"ENSG00000152117"	-1.40255355761879	6.08899493577943	32.8072284152511	5.88335401229269e-06	0.00420986680592868	"SMPD4BP"
"ENSG00000187953"	-1.51971001957231	3.70575552365478	32.4322350235505	6.39413972107218e-06	0.00420986680592868	"PMS2CL"
"ENSG00000153922"	-1.57739790997065	5.40840127814658	31.8797605988024	7.23611237360363e-06	0.00420986680592868	"CHD1"
"ENSG00000166289"	-2.28535230689984	4.37720756686219	31.9471139249193	7.12732536244755e-06	0.00420986680592868	"PLEKHF1"
"ENSG00000141391"	-1.44325425825487	4.26937590753037	30.7738277793136	9.30489985490856e-06	0.00445200975388351	"PRELID3A"
"ENSG00000110925"	-1.47969550146312	5.77756002421326	31.0328229830011	8.76868262477899e-06	0.00445200975388351	"CSRNP2"
"ENSG00000123473"	-1.62638960673612	5.38105654447373	30.1363013790717	1.07821053045417e-05	0.00445200975388351	"STIL"
"ENSG00000133874"	-1.67325361612399	5.53822472839682	30.425058908808	1.00837848220803e-05	0.00445200975388351	"RNF122"
"ENSG00000151014"	-1.86893765822039	4.56716994279848	30.0770046593155	1.09318839874365e-05	0.00445200975388351	"NOCT"
"ENSG00000186300"	-2.07425596889315	3.99014568059403	30.6320884555708	9.6132910368117e-06	0.00445200975388351	"ZNF555"
"ENSG00000123485"	-1.43299912786501	6.26279318275547	29.2244779017234	1.33534868786269e-05	0.00510631901918286	"HJURP"
"ENSG00000197024"	-1.58013975593344	6.14510891796286	29.0880020639887	1.37923902298371e-05	0.00510631901918286	"ZNF398"
"ENSG00000117016"	1.57640949996913	5.24122526533731	27.2507225638632	2.15003442714533e-05	0.00516255495719903	"RIMS3"
"ENSG00000100241"	1.42652196359136	9.08302114498504	28.2204105999419	1.6974939563221e-05	0.00516255495719903	"SBF1"
"ENSG00000166024"	-1.32593745137183	3.97939864174594	27.5379300058288	2.00371988840309e-05	0.00516255495719903	"R3HCC1L"
