"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000022126"	37171.7483928011	-8.25006645156824	0.300176293487691	-27.4840706296699	2.72192354167974e-166	2.69171019036709e-162	"Acod1"
"ENSMUSG00000032487"	6110.52260711163	-5.17081393967948	0.210582585555315	-24.55480317161	3.84313104492949e-133	1.26682409677692e-129	"Ptgs2"
"ENSMUSG00000020638"	10392.9768003754	-10.3905477819021	0.423147216107685	-24.5553967658809	3.78742947249575e-133	1.26682409677692e-129	"Cmpk2"
"ENSMUSG00000017009"	16160.4529188377	-4.2258532142275	0.173845608380058	-24.3080814845148	1.610208799394e-130	3.98083870430182e-127	"Sdc4"
"ENSMUSG00000018899"	5647.52131396118	-5.39691361356689	0.222496444291892	-24.2561791526282	5.69047274320935e-130	1.12546169915195e-126	"Irf1"
"ENSMUSG00000020641"	45412.6247114981	-10.4457562307606	0.432482207360093	-24.1530311605705	6.93868128045954e-129	1.14361031970774e-125	"Rsad2"
"ENSMUSG00000029561"	2242.84233118087	-7.3443689590363	0.310575876966427	-23.6475834207504	1.24986184141132e-123	1.76569767853094e-120	"Oasl2"
"ENSMUSG00000027398"	3271.09022121345	-8.02864705129901	0.340401882213625	-23.5857892414957	5.39252651461786e-123	6.66583683788201e-120	"Il1b"
"ENSMUSG00000070327"	31550.6088635897	-5.70350206146634	0.249583379811657	-22.8520908153835	1.3930820327593e-115	1.53068758021741e-112	"Rnf213"
"ENSMUSG00000043953"	1105.27331919048	-6.86968544365103	0.301669537394195	-22.7722212292	8.64519697924953e-115	8.54923529277986e-112	"Ccrl2"
"ENSMUSG00000017652"	6418.78906988421	-5.82139842808807	0.257744083707034	-22.5859633492305	5.95466258869211e-113	5.3532416672342e-110	"Cd40"
"ENSMUSG00000039232"	1362.67877793436	-5.2081228388802	0.23142670303133	-22.5044161743734	3.75725614931187e-112	3.09629217171209e-109	"Stx11"
"ENSMUSG00000034459"	6361.71338138782	-10.410836012836	0.477296451761569	-21.8120959718275	1.78126263357579e-105	1.35499278334084e-102	"Ifit1"
"ENSMUSG00000023341"	2151.96174293309	-9.7421369326115	0.449695417050775	-21.6638563864028	4.49945729374728e-104	3.17822379841906e-101	"Mx2"
"ENSMUSG00000027580"	10129.0607373353	-5.40119421007616	0.250753320553836	-21.5398711297087	6.58898658865747e-103	4.34389922501558e-100	"Helz2"
"ENSMUSG00000035042"	2034.73782860655	-7.60509912948818	0.369694850195331	-20.5712877132856	4.9630611709236e-94	3.06748199495397e-91	"Ccl5"
"ENSMUSG00000016283"	1036.56203985727	-6.94066359170065	0.337774893082488	-20.5481926982822	7.98822266444304e-94	4.6467961134516e-91	"H2-M2"
"ENSMUSG00000045932"	12201.0251161933	-8.48839425638807	0.413536083837926	-20.5263690114037	1.25187201289806e-93	6.87764574197164e-91	"Ifit2"
"ENSMUSG00000019850"	5235.44828499438	-4.36261817789452	0.213142431395963	-20.4680886359503	4.14563588658475e-93	2.15769438328614e-90	"Tnfaip3"
"ENSMUSG00000020826"	5958.32032837266	-6.36135745069511	0.311895030519013	-20.3958281736949	1.82105090015189e-92	9.00418617580103e-90	"Nos2"
"ENSMUSG00000026875"	857.217188691189	-8.09134828775436	0.399152073832169	-20.2713422232062	2.30289558033446e-91	1.08444449494893e-88	"Traf1"
"ENSMUSG00000027995"	6821.5563948629	-4.49076804151305	0.22839971065508	-19.661881482393	4.57443372673385e-86	2.05620796016687e-83	"Tlr2"
"ENSMUSG00000047945"	2207.5643939898	-4.5599871663872	0.233183141579591	-19.5553895341562	3.71159838072999e-85	1.59582592987126e-82	"Marcksl1"
"ENSMUSG00000021281"	14075.6457053706	-2.7722842045738	0.143013993101483	-19.3847059609516	1.03897081198265e-83	4.28099264987351e-81	"Tnfaip2"
"ENSMUSG00000035208"	1795.32595945608	-5.34175883707293	0.278682441761639	-19.1679059624495	6.86156791804195e-82	2.71416180566068e-79	"Slfn8"
"ENSMUSG00000047735"	1583.00059120753	-7.37466822110756	0.39057495130894	-18.8815698405459	1.6170755915395e-79	6.15048481720543e-77	"Samd9l"
"ENSMUSG00000021025"	6006.35247810218	-5.10212608854549	0.270734203010062	-18.8455172335794	3.19823753178652e-79	1.17138410932729e-76	"Nfkbia"
"ENSMUSG00000041827"	10072.6123884901	-5.42435013758371	0.291313589369297	-18.6203127335309	2.1992599016957e-77	7.76731470281028e-75	"Oasl1"
"ENSMUSG00000027611"	3144.97229349154	-3.47495187588843	0.189195894637466	-18.3669517911425	2.41605477067586e-75	8.23874676800468e-73	"Procr"
"ENSMUSG00000030107"	1264.2049516224	-7.05812079005072	0.389138178328019	-18.1378265694125	1.60244013260195e-73	5.2821768237669e-71	"Usp18"
"ENSMUSG00000023030"	2734.82153577745	-2.81587598352189	0.15696153789296	-17.9399107661787	5.75474628182457e-72	1.83576406390204e-69	"Slc11a2"
"ENSMUSG00000035692"	1279.68381401475	-8.27306396686139	0.462553680706901	-17.8856299537343	1.52618518319196e-71	4.71638914893289e-69	"Isg15"
"ENSMUSG00000055994"	662.681218090222	-4.44944269666576	0.249990144432661	-17.7984724428378	7.26228696773837e-71	2.17626532799893e-68	"Nod2"
"ENSMUSG00000035164"	4620.76239433895	-3.49544814995846	0.200094044007981	-17.4690264634715	2.46667800783748e-68	7.1744055351485e-66	"Zc3h12c"
"ENSMUSG00000045664"	324.377118082133	-5.66063707090667	0.324122551594782	-17.4644962007568	2.67048210195175e-68	7.5452564303431e-66	"Cdc42ep2"
"ENSMUSG00000028268"	2009.90865437645	-7.7923122680698	0.447221820247158	-17.4238194902104	5.44200045146435e-68	1.49488729068142e-65	"Gbp3"
"ENSMUSG00000040296"	1515.51507095274	-6.63206259705772	0.380682557876114	-17.4215037170576	5.66680638319875e-68	1.51456887360682e-65	"Ddx58"
"ENSMUSG00000034574"	5184.50785033503	-2.89728126092173	0.166355988643081	-17.4161524604798	6.22232448250423e-68	1.61927807388117e-65	"Daam1"
"ENSMUSG00000020841"	13857.8105346218	-2.60494536647785	0.153842739547437	-16.9325206645493	2.59045246917025e-64	6.56845755580117e-62	"Cpd"
"ENSMUSG00000039997"	4753.95998982048	-5.98639034777647	0.353678988467934	-16.926055951778	2.89115128540193e-64	7.14764876533492e-62	"Ifi203"
"ENSMUSG00000040026"	1117.29680849651	-6.15587556949759	0.364168843214518	-16.9039051093984	4.21073156587176e-64	1.01560791353429e-61	"Saa3"
"ENSMUSG00000018930"	11567.2741395474	-4.90970339790704	0.292455268534394	-16.7878781001671	2.99357882526967e-63	7.04845261978375e-61	"Ccl4"
"ENSMUSG00000053113"	1067.00563847916	-3.90723209263857	0.238550797914538	-16.3790359403382	2.69988560686954e-60	6.20910901542624e-58	"Socs3"
"ENSMUSG00000023947"	753.218863260391	-4.66909379556604	0.289057851342929	-16.152800464938	1.08520892395875e-58	2.4390070565973e-56	"Nfkbie"
"ENSMUSG00000049502"	4870.78246271331	-4.36723997882478	0.27095204055205	-16.1181291343175	1.9028316674183e-58	4.18157830202212e-56	"Dtx3l"
"ENSMUSG00000021367"	310.756691521934	-5.76607181262656	0.357939995144448	-16.1090459039081	2.20398259773116e-58	4.73808345847031e-56	"Edn1"
"ENSMUSG00000028599"	17223.2096966588	-3.26910498743196	0.203476587142023	-16.066246408734	4.39931722991188e-58	9.25635065672311e-56	"Tnfrsf1b"
"ENSMUSG00000020593"	375.834995907276	4.19751928751044	0.261322781278388	16.0625846203543	4.66692340466908e-58	9.61483448932762e-56	"Lpin1"
"ENSMUSG00000039501"	9677.49077741304	-3.17014568882738	0.1978856797522	-16.0200864094722	9.25216157009331e-58	1.86723726054393e-55	"Znfx1"
"ENSMUSG00000016496"	6575.55049368694	-4.87711561125333	0.305664855731413	-15.9557617429818	2.59784550820148e-57	5.13801884612089e-55	"Cd274"
"ENSMUSG00000027765"	399.916714593158	3.8862272898	0.243635389092142	15.9509967098016	2.80386049201921e-57	5.43674047168195e-55	"P2ry1"
"ENSMUSG00000028525"	1805.51567009707	-4.51834697122893	0.283463835975986	-15.9397651403112	3.35612760719439e-57	6.3824511360664e-55	"Pde4b"
"ENSMUSG00000015501"	1527.74974940583	-3.21001001716508	0.201546911042328	-15.9268628854894	4.12541655513286e-57	7.69740458749225e-55	"Hivep2"
"ENSMUSG00000024772"	4329.38530853822	-3.29400627813554	0.209078145460091	-15.7549048031149	6.35549952306385e-56	1.16388027376997e-53	"Ehd1"
"ENSMUSG00000024401"	7658.66913418357	-5.60820859173534	0.357060581521739	-15.7066024141729	1.36289979725335e-55	2.45049383546153e-53	"Tnf"
"ENSMUSG00000028602"	2786.55873731181	-3.24629641042888	0.207321861228959	-15.6582445825324	2.9184177971793e-55	5.15361314219752e-53	"Tnfrsf8"
"ENSMUSG00000035107"	1423.54130748202	-4.01751601850649	0.257339616910637	-15.6117276723141	6.05742135037973e-55	1.05090946901588e-52	"Dcbld2"
"ENSMUSG00000096917"	774.526826822682	-3.89311292430967	0.250997285449799	-15.5105778029951	2.94219301284905e-54	5.01643908690764e-52	"2500002B13Rik"
"ENSMUSG00000037405"	7433.20411915221	-3.89059279371136	0.251526786378364	-15.4679064195527	5.71351842538665e-54	9.5764379167201e-52	"Icam1"
"ENSMUSG00000032691"	2981.18517734016	-3.15643322384166	0.20480954096173	-15.4115536269449	1.36880992296474e-53	2.25602688803306e-51	"Nlrp3"
"ENSMUSG00000054404"	1502.98371634405	-6.08742875039906	0.396516790020076	-15.3522597368218	3.42060572250658e-53	5.54530655571599e-51	"Slfn5"
"ENSMUSG00000022906"	3984.04848550275	-3.86630882193598	0.252302739658856	-15.3240857676127	5.27920972863119e-53	8.42033951716675e-51	"Parp9"
"ENSMUSG00000024014"	2303.69439449484	-3.33604972415191	0.217730889794364	-15.3218945061155	5.46025178992794e-53	8.57086189692022e-51	"Pim1"
"ENSMUSG00000025314"	9336.93327881897	-2.84534673396659	0.186138033011038	-15.2862189845848	9.44784556091158e-53	1.45983976174773e-50	"Ptprj"
"ENSMUSG00000037411"	3654.58603193476	-3.73135617825295	0.24613972215263	-15.1595043076353	6.55622719884326e-52	9.97454319528631e-50	"Serpine1"
"ENSMUSG00000035235"	370.165861367729	-3.17007052469584	0.209533271386579	-15.1291988318514	1.03953243339914e-51	1.55756609604305e-49	"Trim13"
"ENSMUSG00000062232"	2991.32580986828	-3.41236996320684	0.22696209155789	-15.0349776025767	4.33194836043984e-51	6.39382646811784e-49	"Rapgef2"
"ENSMUSG00000040483"	888.278697461125	-6.89021050732873	0.461526251625153	-14.9291843813142	2.12853661702771e-50	3.09545567732162e-48	"Xaf1"
"ENSMUSG00000025225"	3151.96657712143	-2.816044876552	0.191027436185689	-14.7415729006311	3.48570722605417e-49	4.99567518238402e-47	"Nfkb2"
"ENSMUSG00000046879"	5800.02969733475	-5.51376753068107	0.374162242527785	-14.7363012724931	3.76867545155091e-49	5.32406164862671e-47	"Irgm1"
"ENSMUSG00000026536"	1941.97168939131	-6.08119900103013	0.41300942874569	-14.7241166369948	4.5132863092646e-49	6.2861814524391e-47	"Ifi211"
"ENSMUSG00000026031"	5091.78007590371	-3.12017507162661	0.212774183796213	-14.6642558601705	1.09207849818874e-48	1.49993948174839e-46	"Cflar"
"ENSMUSG00000030269"	2138.33345251749	-3.01650990610288	0.206489590086328	-14.6085325891817	2.47797812609305e-48	3.35681173821016e-46	"Mtmr14"
"ENSMUSG00000042349"	3861.29174308208	-3.80463653543304	0.262586269097784	-14.489091712622	1.42008204461639e-47	1.8977285593529e-45	"Ikbke"
"ENSMUSG00000030966"	832.649004799847	-4.45233122609247	0.307876795064582	-14.4614056579306	2.1241505636935e-47	2.80076332324867e-45	"Trim21"
"ENSMUSG00000038507"	2241.93519174211	-3.52272651238329	0.245596235426049	-14.3435688510136	1.16886675842696e-46	1.52091097027424e-44	"Parp12"
