"siScr_Ctrl_rep1"	"siScr_Ctrl_rep2"	"siScr_Ctrl_rep3"	"siScr_LPS_rep1"	"siScr_LPS_rep2"	"siScr_LPS_rep3"	"siTet2_Ctrl_rep1"	"siTet2_Ctrl_rep2"	"siTet2_Ctrl_rep3"	"siTet2_LPS_rep2"	"siTet2_LPS_rep3"
"ENSMUSG00000000001"	4649	4915	1528	4364	4903	5104	4212	1952	4966	4950	4758
"ENSMUSG00000000003"	0	0	2	0	0	0	0	0	0	0	0
"ENSMUSG00000000028"	246	440	174	147	242	242	330	446	673	882	379
"ENSMUSG00000000037"	0	0	4	0	0	0	0	0	0	0	0
"ENSMUSG00000000056"	161	204	122	66	65	67	187	112	182	82	63
"ENSMUSG00000000058"	886	1169	527	610	1122	1158	636	296	966	888	1041
"ENSMUSG00000000078"	7132	7191	2430	14205	21098	14055	5802	2213	6218	13431	12077
"ENSMUSG00000000085"	212	274	111	113	224	187	220	97	223	291	168
"ENSMUSG00000000088"	514	527	833	497	416	486	424	225	594	590	462
"ENSMUSG00000000093"	1	0	1	0	2	0	0	1	1	0	0
"ENSMUSG00000000094"	0	0	2	0	0	0	1	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	0	11	4	0	0	0	1	1	3	0	0
"ENSMUSG00000000126"	4	12	8	14	14	4	8	1	8	8	17
"ENSMUSG00000000127"	464	802	176	279	559	430	534	357	680	889	409
"ENSMUSG00000000131"	1647	1960	1101	1490	1807	1657	1694	814	1994	2032	1595
"ENSMUSG00000000134"	1697	2483	1313	1451	2068	1919	1788	871	1961	2276	1630
"ENSMUSG00000000142"	4	4	2	1	3	3	7	2	7	0	0
"ENSMUSG00000000148"	513	491	293	296	184	311	382	188	485	264	221
"ENSMUSG00000000149"	1103	1231	821	731	409	489	787	435	983	625	484
"ENSMUSG00000000154"	7	16	3	9	10	4	7	0	5	9	3
"ENSMUSG00000000157"	0	0	0	0	0	0	0	0	0	0	2
"ENSMUSG00000000167"	43	58	15	16	20	23	44	24	50	58	27
"ENSMUSG00000000168"	1053	1108	746	1064	785	902	990	601	1380	1425	955
"ENSMUSG00000000171"	2709	2951	1087	1605	1921	2155	2501	1429	3281	3196	2326
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	4	0	1	0	0	0	0	0	0
"ENSMUSG00000000184"	4487	8170	4287	3002	4003	3781	3759	2988	7587	4923	2557
"ENSMUSG00000000202"	1	2	1	0	2	2	0	1	2	0	1
"ENSMUSG00000000204"	6	5	6	239	326	117	8	3	3	126	73
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0
