"siScr_Ctrl_rep1"	"siScr_Ctrl_rep2"	"siScr_Ctrl_rep3"	"siScr_LPS_rep1"	"siScr_LPS_rep2"	"siScr_LPS_rep3"	"siTet2_Ctrl_rep1"	"siTet2_Ctrl_rep2"	"siTet2_Ctrl_rep3"	"siTet2_LPS_rep2"	"siTet2_LPS_rep3"
"ENSMUSG00000000001"	499	434	150	559	522	447	452	123	419	430	436
"ENSMUSG00000000003"	0	0	1	1	0	0	1	0	0	0	0
"ENSMUSG00000000028"	76	185	74	31	33	20	89	105	205	81	42
"ENSMUSG00000000037"	0	7	48	7	2	1	7	0	0	2	3
"ENSMUSG00000000056"	25	22	23	4	2	6	36	8	28	7	11
"ENSMUSG00000000058"	36	33	13	14	46	41	22	9	28	19	36
"ENSMUSG00000000078"	99	101	32	391	439	263	94	22	98	195	307
"ENSMUSG00000000085"	267	249	190	154	187	206	231	86	216	216	174
"ENSMUSG00000000088"	102	89	54	97	84	74	79	32	103	81	63
"ENSMUSG00000000093"	0	0	1	2	0	0	2	1	0	0	0
"ENSMUSG00000000094"	0	3	16	5	1	0	2	0	0	0	1
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	1
"ENSMUSG00000000120"	0	0	8	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	7	11	7	3	2	3	2	1	7	0	1
"ENSMUSG00000000126"	6	8	12	13	9	10	15	1	10	5	11
"ENSMUSG00000000127"	568	607	286	443	600	496	645	160	473	467	494
"ENSMUSG00000000131"	854	667	337	924	880	730	816	225	537	690	610
"ENSMUSG00000000134"	56	72	21	31	31	36	54	13	49	46	23
"ENSMUSG00000000142"	1	0	1	0	2	1	1	0	2	2	0
"ENSMUSG00000000148"	67	57	31	34	16	25	56	12	63	22	27
"ENSMUSG00000000149"	426	486	211	147	129	113	336	134	312	164	137
"ENSMUSG00000000154"	12	5	24	3	1	2	6	2	4	3	2
"ENSMUSG00000000157"	0	0	10	0	0	1	1	0	0	0	0
"ENSMUSG00000000167"	21	15	1	7	7	11	19	4	15	14	13
"ENSMUSG00000000168"	294	241	146	217	134	171	279	92	276	214	184
"ENSMUSG00000000171"	109	98	53	58	47	54	105	44	126	54	68
"ENSMUSG00000000182"	1	7	12	6	12	16	3	5	6	16	17
"ENSMUSG00000000183"	0	0	2	0	0	0	0	0	0	0	0
"ENSMUSG00000000184"	304	340	180	283	288	241	225	83	315	193	174
"ENSMUSG00000000202"	0	1	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000204"	2	7	2	154	264	107	5	2	1	70	45
"ENSMUSG00000000214"	0	0	12	3	0	0	0	0	0	0	0
"ENSMUSG00000000215"	2	5	32	4	0	2	2	0	1	1	2
"ENSMUSG00000000216"	1	0	21	3	3	0	3	0	0	0	0
"ENSMUSG00000000223"	2	7	15	5	4	10	12	5	14	17	12
"ENSMUSG00000000244"	180	208	77	8	6	27	116	70	169	35	21
"ENSMUSG00000000247"	14	21	21	15	15	17	23	11	24	9	14
"ENSMUSG00000000248"	0	6	23	4	2	6	1	1	0	0	0
"ENSMUSG00000000253"	184	172	128	44	34	55	169	64	196	54	42
"ENSMUSG00000000263"	3	9	109	18	2	7	6	5	6	8	1
"ENSMUSG00000000275"	690	494	205	2264	1868	1456	697	144	486	977	1188
"ENSMUSG00000000276"	230	236	79	178	141	140	262	45	162	92	136
"ENSMUSG00000000278"	441	431	168	395	478	376	446	103	313	322	336
"ENSMUSG00000000282"	331	393	145	98	69	93	310	115	258	115	69
"ENSMUSG00000000290"	625	780	274	446	463	388	621	124	520	291	348
"ENSMUSG00000000301"	40	59	29	52	38	33	32	12	53	32	36
"ENSMUSG00000000303"	6	6	52	8	7	5	14	1	6	7	4
"ENSMUSG00000000305"	103	103	246	59	62	72	140	23	91	68	90
"ENSMUSG00000000308"	1	0	1	3	0	1	0	0	0	1	0
"ENSMUSG00000000317"	0	0	0	4	1	0	2	0	0	0	0
"ENSMUSG00000000318"	6	6	3	1	0	1	5	0	2	1	0
"ENSMUSG00000000320"	2	2	18	1	5	3	7	0	3	6	1
"ENSMUSG00000000326"	1579	1222	657	713	508	683	1261	404	1244	654	605
"ENSMUSG00000000339"	141	136	67	164	136	157	117	53	124	135	122
"ENSMUSG00000000346"	48	52	32	42	31	43	48	9	45	45	36
"ENSMUSG00000000355"	724	618	311	291	302	340	613	203	639	405	308
"ENSMUSG00000000359"	44	58	27	4	26	20	35	9	36	17	11
"ENSMUSG00000000374"	270	268	90	375	275	290	297	87	253	252	313
"ENSMUSG00000000378"	662	562	262	340	388	350	600	207	541	522	375
"ENSMUSG00000000381"	0	0	0	3	1	0	0	0	0	0	0
"ENSMUSG00000000385"	0	1	17	3	1	2	2	0	0	0	0
"ENSMUSG00000000386"	0	2	3	2542	4567	1500	0	0	7	448	1097
"ENSMUSG00000000392"	2	0	82	16	1	2	5	1	1	3	1
"ENSMUSG00000000394"	0	0	4	1	0	0	1	0	0	0	0
