"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000016559"	3.60523465756254	7.44751232695757	216.410405450464	6.26107527714473e-10	2.69758428315781e-06	"H3f3b"
"ENSMUSG00000047250"	-4.30456255304227	6.10964273466334	221.773826843144	5.32318474137887e-10	2.69758428315781e-06	"Ptgs1"
"ENSMUSG00000069516"	-4.52494743825064	10.1908755918588	186.200399413048	1.68752400510216e-09	4.84713145065509e-06	"Lyz2"
"ENSMUSG00000001123"	2.98733845776222	5.94116044321142	132.216494113718	1.55276590782501e-08	3.34504595693202e-05	"Lgals9"
"ENSMUSG00000021190"	-2.5690722612641	10.1523126393174	121.148733363911	2.70918772772381e-08	4.66901412995921e-05	"Lgmn"
"ENSMUSG00000053040"	-3.124227341212	4.14305243986811	108.060707810627	5.57012045689377e-08	7.99962132950893e-05	"Aph1c"
"ENSMUSG00000022123"	-2.86620773881264	5.21593755514998	100.175739621573	8.93786938525271e-08	0.000110025172132461	"Scel"
"ENSMUSG00000035284"	-2.52104400648475	7.76049983653846	96.176325342235	1.15064423922197e-07	0.000110167793437508	"Vps13c"
"ENSMUSG00000022885"	-2.80261070455286	5.51577881023876	96.5723677100361	1.12175877149543e-07	0.000110167793437508	"St6gal1"
"ENSMUSG00000038886"	-2.86474419046516	6.2839110571119	90.0532161125799	1.72562815347314e-07	0.000148697377984781	"Man2a2"
"ENSMUSG00000039031"	-3.03444452636752	4.59566418866152	84.8537073754013	2.48212873514642e-07	0.000194440939188697	"Arhgap18"
"ENSMUSG00000039109"	-2.78705005777739	8.22607895093961	83.1335794776304	2.81130361197877e-07	0.000201875026870175	"F13a1"
"ENSMUSG00000026365"	-3.04904029463784	5.53136633253263	76.3485190383846	4.70030049456912e-07	0.000311557610474631	"Cfh"
"ENSMUSG00000027078"	2.15724177115759	6.05218526812415	73.2679044930856	6.01362058611819e-07	0.000323871053691128	"Ube2l6"
"ENSMUSG00000028035"	-2.42934008651973	5.44568506041371	73.9570823534711	5.68679672031215e-07	0.000323871053691128	"Dnajb4"
"ENSMUSG00000085006"	-6.12438292147774	3.68202081738284	73.5642244383174	5.87053763362408e-07	0.000323871053691128	"BC021767"
"ENSMUSG00000060802"	2.28286576140276	10.1466459382681	69.464354202662	8.25402983933665e-07	0.000418382206620964	"B2m"
"ENSMUSG00000022419"	-3.04897229635623	5.80673167207068	63.9696061764817	1.33968186204752e-06	0.000641335478070194	"Deptor"
"ENSMUSG00000096917"	-2.0127432390442	5.32450605980174	59.9476765970632	1.95311040752944e-06	0.000885786967456905	"2500002B13Rik"
"ENSMUSG00000028238"	-2.02867199675275	7.25063234691778	59.1805076752132	2.10369310900581e-06	0.000906376176015155	"Atp6v0d2"
"ENSMUSG00000038155"	4.41389749920758	2.00729966030696	57.1254879565389	2.57696838041135e-06	0.000976505586655047	"Gstp2"
"ENSMUSG00000020034"	-2.11250006220198	4.99175395504435	56.5892780276157	2.71975560864815e-06	0.000976505586655047	"Tcp11l2"
"ENSMUSG00000031838"	-2.27161797334086	8.17037747821117	56.7898027973852	2.66532492759002e-06	0.000976505586655047	"Ifi30"
"ENSMUSG00000020264"	-3.1329030084294	3.89711729293805	57.7058240521123	2.43199379355776e-06	0.000976505586655047	"Slc36a2"
"ENSMUSG00000033880"	2.62135932792578	5.280311778849	54.7920224317574	3.26868253282292e-06	0.00108451498464126	"Lgals3bp"
"ENSMUSG00000021676"	-2.06354252128681	7.43316609025863	54.7813581467622	3.27229773710951e-06	0.00108451498464126	"Iqgap2"
"ENSMUSG00000035891"	-1.83602410084121	7.06900486418195	51.9451383143951	4.41873222039272e-06	0.00141023020530089	"Cerk"
"ENSMUSG00000055067"	-1.59572397187952	6.10394911234591	50.862201817456	4.9730066253836e-06	0.00146745529541143	"Smyd3"
"ENSMUSG00000028581"	-1.84984401705186	8.86014322629165	50.7254461676353	5.04849648173399e-06	0.00146745529541143	"Laptm5"
"ENSMUSG00000071042"	-2.1579850291687	7.92130880169821	50.0361187305376	5.44952645388948e-06	0.00146745529541143	"Rasgrp3"
"ENSMUSG00000038665"	-2.38177203077041	3.82784048868617	50.185395890956	5.35968226170051e-06	0.00146745529541143	"Dgki"
"ENSMUSG00000005125"	-2.43577328348785	7.55433931157348	50.5113099564447	5.1693470833543e-06	0.00146745529541143	"Ndrg1"
"ENSMUSG00000041797"	-2.7600617409819	3.81925342912299	49.3075128483191	5.9135145553067e-06	0.00150649937508793	"Abca9"
"ENSMUSG00000029162"	-2.93094226756077	3.52668277435384	49.1390323281234	6.02713424503116e-06	0.00150649937508793	"Khk"
"ENSMUSG00000034165"	-3.37631859886402	5.048932920159	49.0054328191868	6.11900639759516e-06	0.00150649937508793	"Ccnd3"
"ENSMUSG00000041642"	-1.91924820044596	5.78057588656373	48.1736499215402	6.72834451008229e-06	0.00154818125042925	"Kif21b"
"ENSMUSG00000028497"	-1.94907603082613	4.89305314743465	48.0539061777807	6.82165324541693e-06	0.00154818125042925	"Hacd4"
"ENSMUSG00000030272"	-2.68588225015601	6.07580995804866	48.0467134026197	6.82730503844857e-06	0.00154818125042925	"Camk1"
"ENSMUSG00000056116"	2.11389234408403	5.64019281728617	47.5740279374864	7.21073064386772e-06	0.0015533716489552	"H2-T22"
"ENSMUSG00000049624"	-1.55513154908496	5.82103611591602	47.7271449130615	7.08389502396507e-06	0.0015533716489552	"Slc17a5"
"ENSMUSG00000015340"	1.49772188127	10.6660810665696	47.2199916628915	7.51406471682005e-06	0.0015792364796302	"Cybb"
"ENSMUSG00000032554"	-2.14576320182887	7.85317920757796	46.4098519227837	8.26468753635544e-06	0.00169563839287559	"Trf"
"ENSMUSG00000042607"	-3.24962847691508	2.54314194811231	45.5935663667101	9.10896029501437e-06	0.00182539327586369	"Asb4"
"ENSMUSG00000043008"	-2.1293424646304	6.10665238399631	45.0495805770319	9.72634227345813e-06	0.00190481571296338	"Klhl6"
"ENSMUSG00000032122"	-1.93575840126764	6.55051942090162	43.679068732005	1.15056324902136e-05	0.0022032007815149	"Slc37a2"
"ENSMUSG00000011148"	-1.98696261231932	7.25304581703318	43.249002975771	1.21386874111752e-05	0.00227389281352384	"Adssl1"
"ENSMUSG00000039236"	2.91291291027094	4.13625384637928	41.9145504479809	1.43715921477379e-05	0.0025800001986887	"Isg20"
"ENSMUSG00000020143"	-1.50903268836401	8.2948108241074	41.9315752932659	1.43402941640391e-05	0.0025800001986887	"Dock2"
"ENSMUSG00000052160"	-1.66720594462378	6.11649666712564	41.6060134483866	1.49525516448828e-05	0.00262951301069296	"Pld4"
"ENSMUSG00000068129"	1.88621432519269	6.10269777732784	41.0113697685517	1.61496400680778e-05	0.00278322896933253	"Cst7"
"ENSMUSG00000020101"	-2.53655324470401	5.47469679519274	40.8593485231585	1.64730206930176e-05	0.00278329449630849	"Vsir"
"ENSMUSG00000026725"	-9.29821364802801	0.916223798260423	47.1042067133896	1.70078529213247e-05	0.00281839747352029	"Tnn"
"ENSMUSG00000055782"	-2.28384124471569	3.85436347431559	40.2766304873549	1.77830504730358e-05	0.00289125558351225	"Abcd2"
"ENSMUSG00000073538"	-1.56826713894249	5.13442573835974	39.8607821261889	1.87908791307229e-05	0.00299853713832295	"E330020D12Rik"
"ENSMUSG00000021242"	1.53788673772827	9.02700699025845	38.7334959547328	2.18681928815219e-05	0.00313338890351677	"Npc2"
"ENSMUSG00000025545"	-1.40312025254643	5.39669024968658	38.5346652888159	2.24688148457656e-05	0.00313338890351677	"Clybl"
"ENSMUSG00000022817"	-1.57172457547224	5.82427382375634	38.7879016770265	2.17070585040066e-05	0.00313338890351677	"Itgb5"
"ENSMUSG00000034416"	-1.7921119524549	3.71295285104052	38.9662033013879	2.11884147753601e-05	0.00313338890351677	"Pkd1l2"
"ENSMUSG00000026170"	-2.01198798984014	4.72022095011195	39.213584087029	2.04921230258149e-05	0.00313338890351677	"Cyp27a1"
"ENSMUSG00000039063"	-2.05310916424217	5.05886076058479	38.5098854919261	2.25449822464941e-05	0.00313338890351677	"Echdc3"
"ENSMUSG00000064373"	-2.39492249515347	7.36227919708385	38.645557443566	2.21315420138936e-05	0.00313338890351677	"Selenop"
"ENSMUSG00000000244"	-2.83027530891207	3.95022983199393	38.5282345553874	2.24885531383477e-05	0.00313338890351677	"Tspan32"
"ENSMUSG00000074634"	6.07777483172243	3.20545998518043	38.0794834491214	2.39161948162981e-05	0.00327120397987366	"Tmem267"
"ENSMUSG00000040466"	1.7263582847316	5.75173754931357	37.6174671006085	2.54953666913036e-05	0.00343271210592129	"Blvrb"
"ENSMUSG00000017707"	-1.55455989324834	8.98736904869164	37.3328232077368	2.6527546785028e-05	0.00351673647148594	"Serinc3"
"ENSMUSG00000005142"	-2.14922678608467	7.06928294140844	37.2040963428136	2.70099691275231e-05	0.00352643793896768	"Man2b1"
"ENSMUSG00000000594"	-2.01065443861042	7.97171109732576	36.9962446419052	2.78102533491917e-05	0.00357673064343261	"Gm2a"
"ENSMUSG00000061232"	2.22144820896262	7.89016343313517	36.867872581207	2.83180537436546e-05	0.00358848042807459	"H2-K1"
"ENSMUSG00000036278"	-1.9878143370159	3.70090376028591	36.0840714759863	3.16586158272849e-05	0.00395365641425673	"Macrod1"
"ENSMUSG00000031827"	-1.46243758955048	7.62959809389544	35.6895835935336	3.35090429967844e-05	0.00412496319290416	"Cotl1"
"ENSMUSG00000022673"	-1.90120022831706	5.17928563721464	35.3825399658461	3.50351214286516e-05	0.00425207945564353	"Mcm4"
"ENSMUSG00000024151"	-1.59579274443453	4.9906099822514	35.2048159221701	3.59547016743455e-05	0.00430307867121993	"Msh2"
"ENSMUSG00000023191"	-2.09200582162721	3.21018530586284	34.882506821399	3.76937180528327e-05	0.0043934147287389	"P3h3"
"ENSMUSG00000017309"	-2.96366974829124	2.86946431269278	34.8761050354639	3.77292201377137e-05	0.0043934147287389	"Cd300lg"
"ENSMUSG00000040433"	1.5580001298391	6.33711805855232	34.0109821478918	4.28985935149821e-05	0.00492876240424801	"Zbtb38"
