"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"LPS_rep4"	"LPS_rep5"	"PBS_rep1"	"PBS_rep2"	"PBS_rep3"	"PBS_rep4"	"PBS_rep5"
"ENSMUSG00000000001"	449	522	415	878	419	925	687	759	1015	616
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000056"	336	395	594	621	442	1722	1490	1601	2744	1459
"ENSMUSG00000000078"	3428	3073	3301	7779	4277	3952	2461	2132	2819	2349
"ENSMUSG00000000085"	193	235	250	449	194	776	518	504	876	418
"ENSMUSG00000000093"	0	0	0	0	1	0	0	1	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	7	2	6	2	2	1	0	0	4	4
"ENSMUSG00000000126"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000134"	855	1192	943	1275	876	1916	1405	1341	2156	1621
"ENSMUSG00000000148"	198	331	276	406	234	381	294	318	537	399
"ENSMUSG00000000154"	29	45	33	68	67	29	10	4	10	6
"ENSMUSG00000000168"	137	179	199	217	197	211	144	121	232	200
"ENSMUSG00000000171"	3355	2732	3419	3781	4207	3114	1811	2171	2306	2450
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	3	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	1	0	1	0	1	3	0	1	1	0
"ENSMUSG00000000204"	10	7	2	15	3	0	0	1	0	0
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	1	0	0	0	1	0	1	0
"ENSMUSG00000000275"	571	393	469	664	418	294	191	265	362	241
"ENSMUSG00000000282"	203	152	208	479	272	365	202	282	403	480
"ENSMUSG00000000290"	17915	21802	23226	34061	13892	17480	15297	13730	21277	12315
"ENSMUSG00000000301"	52	40	38	34	29	17	4	5	6	9
"ENSMUSG00000000303"	0	0	0	6	1	0	0	0	0	0
"ENSMUSG00000000317"	19	58	34	35	23	161	144	105	206	138
"ENSMUSG00000000318"	7	8	4	4	8	0	0	0	1	0
"ENSMUSG00000000320"	0	1	0	1	0	8	4	7	14	8
"ENSMUSG00000000339"	154	157	183	221	187	181	101	102	133	98
"ENSMUSG00000000346"	8749	8166	8930	11719	9217	12674	10304	8995	9606	10391
"ENSMUSG00000000355"	1132	976	1467	1068	1677	1165	502	616	583	921
"ENSMUSG00000000359"	0	0	0	0	1	1	0	0	0	0
"ENSMUSG00000000374"	126	87	116	182	123	143	70	125	218	102
"ENSMUSG00000000381"	0	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000385"	0	1	1	0	2	0	6	0	0	0
"ENSMUSG00000000386"	1291	369	838	471	354	124	125	100	128	65
"ENSMUSG00000000392"	3	4	8	16	10	1	2	0	6	1
"ENSMUSG00000000394"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000402"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000411"	0	0	0	0	0	0	1	3	1	0
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	0	0	0	1	5	2	2	0	0	0
"ENSMUSG00000000552"	165	199	180	242	191	292	219	227	310	237
"ENSMUSG00000000560"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000567"	4	0	4	1	0	0	0	0	2	0
"ENSMUSG00000000579"	70	86	112	79	193	56	80	98	78	141
"ENSMUSG00000000581"	2181	1824	2286	2937	2872	2948	1290	1512	1423	2116
"ENSMUSG00000000594"	9606	8018	9282	8679	8696	11200	8177	8075	9436	9082
"ENSMUSG00000000627"	0	0	0	0	0	0	1	0	0	1
"ENSMUSG00000000632"	2	0	0	0	4	1	0	0	0	1
"ENSMUSG00000000673"	158	104	119	173	189	323	224	219	220	188
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000711"	401	546	599	885	417	1208	1089	1028	1320	818
"ENSMUSG00000000732"	2988	3904	3059	3335	1491	3467	2835	2316	4223	2342
"ENSMUSG00000000753"	706	421	428	259	376	902	554	657	670	944
"ENSMUSG00000000776"	77	159	123	200	109	107	50	82	143	102
"ENSMUSG00000000787"	1644	1539	1462	2389	1259	4183	2439	2533	3889	2392
"ENSMUSG00000000791"	0	0	3	10	4	0	0	0	0	0
"ENSMUSG00000000792"	1	8	1	2	3	3	5	8	7	11
"ENSMUSG00000000794"	0	2	0	0	0	0	0	0	0	0
"ENSMUSG00000000805"	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000811"	11	32	7	51	8	39	46	19	58	31
"ENSMUSG00000000817"	0	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000826"	690	1047	1118	2179	1111	1552	1274	1441	2214	1335
"ENSMUSG00000000869"	2	4	5	1	2	8	6	0	4	5
"ENSMUSG00000000876"	334	300	447	647	619	779	446	461	514	496
"ENSMUSG00000000881"	132	119	114	145	88	176	84	119	195	88
"ENSMUSG00000000889"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000902"	2326	2009	2014	1942	1997	1920	1305	1385	1712	1931
"ENSMUSG00000000938"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000957"	283	371	314	313	415	167	122	114	170	190
"ENSMUSG00000000982"	5596	2534	655	945	223	3216	1292	1148	828	367
"ENSMUSG00000000983"	0	0	4	1	0	0	0	0	0	0
