"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"LPS_rep4"	"LPS_rep5"	"PBS_rep1"	"PBS_rep2"	"PBS_rep3"	"PBS_rep4"	"PBS_rep5"
"ENSMUSG00000000001"	86	234	131	294	130	223	180	165	413	169
"ENSMUSG00000000003"	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	4	2	2	1	1	0	2	5	1	0
"ENSMUSG00000000056"	102	136	187	234	171	434	396	582	990	369
"ENSMUSG00000000078"	405	252	146	561	211	446	202	126	148	143
"ENSMUSG00000000085"	310	580	391	957	401	1200	1002	928	2109	1085
"ENSMUSG00000000093"	0	0	0	6	1	0	0	2	1	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	1	0	0	0	1	0	0	0	0	2
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	1	0	1	0	0	0	1	0	0	0
"ENSMUSG00000000126"	0	1	0	0	0	0	0	2	0	1
"ENSMUSG00000000134"	23	28	11	22	10	36	29	19	55	19
"ENSMUSG00000000148"	94	205	157	201	98	148	238	187	340	246
"ENSMUSG00000000154"	7	13	14	26	9	2	2	8	4	0
"ENSMUSG00000000168"	84	158	87	184	115	89	132	164	244	152
"ENSMUSG00000000171"	63	104	121	142	26	151	159	92	230	88
"ENSMUSG00000000182"	0	0	0	0	0	0	0	3	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	3	2	0	0	1
"ENSMUSG00000000204"	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	1	2	3	3	2	1	0	3	0	0
"ENSMUSG00000000216"	0	0	0	0	1	0	0	2	0	1
"ENSMUSG00000000223"	5	4	8	3	2	5	7	4	2	3
"ENSMUSG00000000275"	370	432	607	722	373	234	121	175	337	191
"ENSMUSG00000000282"	34	19	24	41	11	51	6	21	21	32
"ENSMUSG00000000290"	285	382	258	564	192	339	346	216	419	220
"ENSMUSG00000000301"	8	21	7	18	18	13	10	4	15	4
"ENSMUSG00000000303"	6	5	11	8	5	8	4	4	9	7
"ENSMUSG00000000317"	0	0	0	0	0	4	3	0	1	0
"ENSMUSG00000000318"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000320"	16	9	6	10	1	13	9	9	4	10
"ENSMUSG00000000339"	44	118	57	156	58	124	112	83	201	76
"ENSMUSG00000000346"	583	492	394	705	347	947	460	487	553	352
"ENSMUSG00000000355"	298	416	360	587	309	495	348	311	692	385
"ENSMUSG00000000359"	0	0	0	0	0	0	0	0	0	0
