"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000040093"	450.143744091231	5.38610743941024	0.143071847323003	37.646172466414	0	0	"Bmf"
"ENSMUSG00000020190"	1724.20896073557	3.30801309728025	0.0839532799404473	39.4030239155254	0	0	"Mknk2"
"ENSMUSG00000035697"	2576.90937674413	2.30774326040325	0.0598032972842824	38.5888966862998	0	0	"Arhgap45"
"ENSMUSG00000028709"	781.294878907207	-2.01306540922083	0.0532800845513921	-37.7826992237427	0	0	"Mob3c"
"ENSMUSG00000002983"	2319.80455587688	-2.52940881324613	0.0618670700700939	-40.8845741422758	0	0	"Relb"
"ENSMUSG00000032000"	4225.71210014893	-2.86363994393333	0.0709776650014129	-40.3456487879155	0	0	"Birc3"
"ENSMUSG00000023947"	3878.09585018958	-3.29256184072112	0.0805161125434346	-40.8932043129248	0	0	"Nfkbie"
"ENSMUSG00000015312"	2809.2945002559	-3.86362724372899	0.0946011841230665	-40.8412144049149	0	0	"Gadd45b"
"ENSMUSG00000024772"	23651.0174794047	-3.89046323199565	0.103508060761409	-37.5860894637312	0	0	"Ehd1"
"ENSMUSG00000045664"	1815.51345143174	-4.50104372087846	0.111181392740059	-40.4837860900148	0	0	"Cdc42ep2"
"ENSMUSG00000028525"	3194.99903985742	-4.57548721846458	0.100528131936498	-45.5144955976586	0	0	"Pde4b"
"ENSMUSG00000017009"	37117.4819606001	-4.61203863431314	0.10524493626828	-43.8219528449004	0	0	"Sdc4"
"ENSMUSG00000006818"	15615.8847166255	-4.75154356384565	0.0977313575945141	-48.6184135859417	0	0	"Sod2"
"ENSMUSG00000032691"	15324.7938094946	-5.25392252732632	0.137378984868774	-38.24400458589	0	0	"Nlrp3"
"ENSMUSG00000032014"	501.801059474504	-4.47693768709541	0.12060039017348	-37.1220829439728	1.23721664688505e-301	5.30765941513687e-299	"Oaf"
"ENSMUSG00000021025"	15536.4319296912	-4.33546759636327	0.117033883303351	-37.0445504668573	2.19795693560622e-300	8.83990805039125e-298	"Nfkbia"
"ENSMUSG00000062585"	493.097062245832	6.01613100352036	0.165149748296209	36.4283389202019	1.51565578704515e-290	5.73720293507973e-288	"Cnr2"
"ENSMUSG00000028793"	4526.14910206901	-2.02614824833864	0.0557457818299587	-36.3462163741643	3.01540004460999e-289	1.07800551594807e-286	"Rnf19b"
"ENSMUSG00000026031"	10156.529565347	-3.63725136253853	0.101467716310328	-35.8463903081683	2.09331957412015e-281	7.08974287340167e-279	"Cflar"
"ENSMUSG00000019850"	18190.7142036189	-5.77483124109504	0.166027452892833	-34.7823877345306	4.49099374899771e-265	1.44497723874001e-262	"Tnfaip3"
"ENSMUSG00000039232"	1781.55446149139	-3.91072885946893	0.11396814983606	-34.3142260806585	4.81482343198503e-258	1.47539946594398e-255	"Stx11"
"ENSMUSG00000030232"	3423.59628719535	-2.35005576668357	0.0690649792676174	-34.0267352803716	8.96615527828485e-254	2.62260041889832e-251	"Aebp2"
"ENSMUSG00000020057"	6251.90764106229	-2.5962658835261	0.0773913178095653	-33.5472499630341	9.87390176056711e-247	2.76254599257606e-244	"Dram1"
"ENSMUSG00000039747"	1512.08057107764	-3.29362499678718	0.0982847148271897	-33.5110602149911	3.3260955623182e-246	8.91809372646568e-244	"Orai2"
"ENSMUSG00000043953"	4265.41008884231	-6.24909284012188	0.18918794830848	-33.0311359470553	2.90289877034305e-239	7.47206143486302e-237	"Ccrl2"
"ENSMUSG00000055994"	1774.3665813439	-4.47226470025939	0.136868269566823	-32.6756867345056	3.46011884411472e-234	8.56379413918394e-232	"Nod2"
"ENSMUSG00000026875"	5984.86692438148	-4.71957586868872	0.145468001374357	-32.4440827130293	6.56431225162695e-231	1.56449441997109e-228	"Traf1"
"ENSMUSG00000052144"	1035.48619409687	-2.3143483355206	0.0722419523402016	-32.0360712930608	3.43181105309988e-225	7.88703718810634e-223	"Ppp4r2"
"ENSMUSG00000021457"	22544.5504878965	-2.57856929478709	0.0805897172248791	-31.9962568871138	1.22930472352703e-224	2.72778479168842e-222	"Syk"
"ENSMUSG00000034858"	258.843106942903	5.14036476784873	0.163281942899848	31.4815262273162	1.55506860023767e-217	3.3356221475098e-215	"Fam214a"
"ENSMUSG00000052310"	3764.10664956678	-1.11547621350982	0.0354843095689321	-31.4357592710909	6.57147222540625e-217	1.36411044420933e-214	"Slc39a1"
"ENSMUSG00000047810"	2750.721550944	-2.12673929781478	0.0680352857399803	-31.259357180373	1.66591303085449e-214	3.35004698548395e-212	"Ccdc88b"
"ENSMUSG00000024750"	4602.46110838617	-1.99267104778199	0.0640684405432556	-31.1022249158171	2.24732484732677e-212	4.3822834522872e-210	"Zfand5"
"ENSMUSG00000049327"	1601.32699599511	-1.89661833050723	0.0614847438163811	-30.846974595378	6.15020476397033e-209	1.16401669576909e-206	"Kmt5a"
"ENSMUSG00000032688"	7865.80371121985	-4.24761174924371	0.13774192975583	-30.8374636305248	8.24933316071478e-209	1.5166988254057e-206	"Malt1"
"ENSMUSG00000016283"	1029.35454585255	-6.11153306236739	0.200042433149164	-30.5511833972258	5.45360729123734e-205	9.74832303308675e-203	"H2-M2"
"ENSMUSG00000024535"	243.935570228699	4.001026890593	0.132780679453761	30.1325984100442	1.81338045058948e-199	3.15381167555225e-197	"Snx24"
"ENSMUSG00000017652"	9129.24015947788	-6.1704667291361	0.204997490332921	-30.1002061982081	4.81532166259097e-199	8.15436707862444e-197	"Cd40"
"ENSMUSG00000047945"	19625.8312408026	-5.02575923843615	0.168818450993047	-29.7702011176677	9.49942615155069e-195	1.56740531500586e-192	"Marcksl1"
"ENSMUSG00000027368"	2729.86969336695	-6.40751280689762	0.215686563279613	-29.7075196037642	6.1400082128609e-194	9.87773821243997e-192	"Dusp2"
"ENSMUSG00000021725"	1181.62355222613	-1.95917707960561	0.0661963492690901	-29.5964520889438	1.659913521743e-192	2.60525451522346e-190	"Parp8"
"ENSMUSG00000055782"	291.883744556163	5.13080905335756	0.17351725362022	29.5694459560052	3.69358444381453e-192	5.6590990228444e-190	"Abcd2"
"ENSMUSG00000031609"	2834.65365677481	-3.35811550219215	0.113634292486867	-29.5519550366387	6.19803036066523e-192	9.27542450485599e-190	"Sap30"
"ENSMUSG00000017561"	1953.58857053823	-1.5867340949519	0.0538317715507265	-29.4757918835478	5.88314113368159e-191	8.60409390800933e-189	"Crlf3"
"ENSMUSG00000025591"	2812.93978660377	-5.36502843221743	0.182267008720342	-29.4349946810679	1.95929605397774e-190	2.80179335718817e-188	"Tma16"
"ENSMUSG00000027995"	8143.2266253389	-2.76899693683187	0.0942527858726982	-29.3784094676183	1.03655682731778e-189	1.45005286604129e-187	"Tlr2"
"ENSMUSG00000041782"	423.184453866233	-7.38967287788988	0.252839534217475	-29.2267303084564	8.87353170144034e-188	1.21491864890997e-185	"Lad1"
"ENSMUSG00000042622"	866.099968623876	-5.09105741131264	0.174823966085826	-29.1210497353281	1.94377136704507e-186	2.6058684889448e-184	"Maff"
"ENSMUSG00000024789"	6419.71167425384	-3.83363801624467	0.133817067352001	-28.6483487652619	1.68080248690729e-180	2.20733959249967e-178	"Jak2"
"ENSMUSG00000032724"	522.603125246183	-5.42459817305718	0.189471485877011	-28.6301558672442	2.83186654478148e-180	3.64461224313376e-178	"Abtb2"
"ENSMUSG00000030142"	49967.3142277587	-6.10399223662682	0.213364943647123	-28.6082246328244	5.30874081948769e-180	6.69838179870652e-178	"Clec4e"
"ENSMUSG00000021298"	1871.82151596125	-2.24676459435375	0.0786555415571587	-28.5646065092697	1.84998495979427e-179	2.28935638774541e-177	"Gpr132"
"ENSMUSG00000067714"	219.452146454122	5.82022288505088	0.205339796522357	28.3443491404121	9.82605438006517e-177	1.19303131954187e-174	"Lpar5"
"ENSMUSG00000027646"	2208.36095783562	-4.26281055921852	0.151204607609159	-28.1923324072058	7.26081708462145e-175	8.65247369250722e-173	"Src"
"ENSMUSG00000031429"	965.201963351942	-1.6878435889748	0.0602143027472807	-28.0306092068968	6.88494869020717e-173	8.05538996754239e-171	"Psmd10"
"ENSMUSG00000024404"	4981.83919089235	-1.45996532360917	0.0525333955805337	-27.7911851589918	5.54379181868088e-170	6.37041077735919e-168	"Riok3"
"ENSMUSG00000064289"	2046.72386190509	-2.46293845037115	0.0889531466482349	-27.6880418869367	9.72749868070775e-169	1.09818340369043e-166	"Tank"
"ENSMUSG00000033538"	1630.5136226192	-3.15283906554645	0.114520196831517	-27.5308561526919	7.50280148172864e-167	8.32422888533169e-165	"Casp4"
"ENSMUSG00000028654"	787.381330517596	-5.66470231522842	0.20580830439113	-27.524167851181	9.02168489975612e-167	9.83975293727638e-165	"Mycl"
"ENSMUSG00000020275"	4230.71417221856	-3.12527202950778	0.115401533002979	-27.0817202179378	1.61673035307995e-161	1.73394330367825e-159	"Rel"
"ENSMUSG00000025321"	980.5207857096	-6.71348610817263	0.248242843219929	-27.04402681299	4.49015261350041e-161	4.73674296194674e-159	"Itgb8"
"ENSMUSG00000042608"	1958.43344320518	-2.66626989247917	0.0991323787189298	-26.8960548201799	2.44244296401576e-159	2.53501943120023e-157	"Stk40"
"ENSMUSG00000097415"	427.985806462483	1.88400783731288	0.0700663905303871	26.8888952756286	2.96181460793932e-159	3.02528206382373e-157	"AU020206"
"ENSMUSG00000043008"	439.649437483815	2.78508513703891	0.10376929819958	26.8392018194278	1.12752974393881e-158	1.13369592222597e-156	"Klhl6"
"ENSMUSG00000038352"	3280.69286164253	-3.06228839016988	0.114203728855977	-26.8142592264369	2.2035828273343e-158	2.18154699906096e-156	"Arl5c"
"ENSMUSG00000020178"	1683.54400959103	-6.71306432617073	0.25055479328101	-26.7927994442385	3.9199579022594e-158	3.82195895470292e-156	"Adora2a"
"ENSMUSG00000029050"	1509.900752525	2.40576450763486	0.089866041697414	26.7705627419895	7.11670742949658e-158	6.83522571773291e-156	"Ski"
"ENSMUSG00000037752"	548.401275981945	-2.77976764818353	0.104132984732358	-26.6944009655353	5.46680587850071e-157	5.17336703355178e-155	"Xkr8"
"ENSMUSG00000019854"	1650.54516367574	-2.53154118734957	0.0949777872161231	-26.6540341857936	1.60700273046456e-156	1.49870472036804e-154	"Reps1"
"ENSMUSG00000042978"	129.296244832912	3.8561908944524	0.146653956118447	26.294489398826	2.21722380210668e-152	2.01076485667456e-150	"Sbk1"
"ENSMUSG00000027555"	1682.87437231866	-3.28288559070255	0.124850815558903	-26.2944665279638	2.21855951552282e-152	2.01076485667456e-150	"Car13"
"ENSMUSG00000021929"	6493.2041429934	-2.95468718990865	0.112490341792118	-26.2661411000859	4.67548868881717e-152	4.17871801563034e-150	"Kpna3"
"ENSMUSG00000020901"	13835.3563393393	-2.42463068845049	0.0927049979187019	-26.15426075061	8.81461628450604e-151	7.77014462887622e-149	"Pik3r5"
"ENSMUSG00000021384"	1096.18249607239	3.48642404146456	0.133641269374884	26.0879297074365	4.9977992531806e-150	4.34605921543475e-148	"Susd3"
"ENSMUSG00000045382"	869.662703937695	4.84705123691705	0.18654854633319	25.9827874952177	7.75125207468166e-149	6.65057428007686e-147	"Cxcr4"
"ENSMUSG00000038037"	1047.7135320723	-6.39395444110958	0.246532418118657	-25.9355523703667	2.64657978957717e-148	2.24088696656962e-146	"Socs1"
"ENSMUSG00000029007"	1981.25236369602	-1.60323074542514	0.0618541559665294	-25.9195315233576	4.01190193720443e-148	3.35280376180656e-146	"Agtrap"
"ENSMUSG00000019189"	2067.38824776595	-1.84709739843824	0.0712791786026699	-25.9135617812669	4.68427048569898e-148	3.86452315070166e-146	"Rnf145"
"ENSMUSG00000022094"	4989.54205315868	-4.49129148464602	0.173477917833066	-25.8897013565028	8.69851733740784e-148	7.08543785648347e-146	"Slc39a14"
"ENSMUSG00000029560"	2084.81268115082	1.78471060784815	0.069220672073619	25.7829136063579	1.37864965495934e-146	1.10895131620792e-144	"Snx8"
"ENSMUSG00000036067"	7803.04772287189	-4.53234945150745	0.175961267055268	-25.7576540982958	2.64594016430081e-146	2.1020524638612e-144	"Slc2a6"
"ENSMUSG00000052102"	678.341347714713	2.40498575443554	0.0934547830214758	25.7342179466928	4.84196035638844e-146	3.79975791382435e-144	"Gnpda1"
"ENSMUSG00000027367"	3298.81190229447	-2.88861389699766	0.112253669742933	-25.7329128180197	5.00759545121304e-146	3.882394786573e-144	"Stard7"
"ENSMUSG00000039908"	217.96515329002	4.16827336666709	0.162132659908125	25.7090296861169	9.26439872431855e-146	7.09719116559403e-144	"Slc26a11"
"ENSMUSG00000038459"	2185.84384492813	-2.5997051627656	0.101388278413773	-25.6410820209021	5.31637907074096e-145	4.02481168473154e-143	"Abhd17c"
"ENSMUSG00000022125"	2617.67263522211	-1.99427737628527	0.0782651903290018	-25.4810263400877	3.19969946363215e-143	2.39419372656661e-141	"Cln5"
"ENSMUSG00000102037"	307.680125988	-6.95990782149252	0.275381591910096	-25.2736857725941	6.2201080154489e-141	4.60073506659927e-139	"Bcl2a1a"
"ENSMUSG00000020088"	2488.78041732243	-0.871481274563908	0.0347283493075258	-25.094232577736	5.74920996688066e-139	4.20410978828148e-137	"Sar1a"
"ENSMUSG00000000282"	601.670588052004	2.8656043539197	0.114407074499582	25.047440173205	1.86164887907018e-138	1.34603489177715e-136	"Mnt"
"ENSMUSG00000000982"	32232.1208705687	-6.64631247348219	0.268107113688696	-24.7897654860413	1.1559334543469e-135	8.26492419858037e-134	"Ccl3"
