"IFNa+LPS_rep1"	"IFNa+LPS_rep2"	"IFNa+LPS_rep3"	"IFNa_rep1"	"IFNa_rep2"	"IFNa_rep3"	"IFNg+LPS_rep1"	"IFNg+LPS_rep2"	"IFNg+LPS_rep3"	"IFNg_rep1"	"IFNg_rep2"	"IFNg_rep3"	"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"LPS_rep4"	"LPS_rep5"	"LPS_rep6"	"LPS_rep7"	"LPS_rep8"	"LPS_rep9"	"unstimulated_rep1"	"unstimulated_rep2"	"unstimulated_rep3"	"unstimulated_rep4"	"unstimulated_rep5"	"unstimulated_rep6"	"unstimulated_rep7"	"unstimulated_rep8"	"unstimulated_rep9"
"ENSMUSG00000000001"	2177	2359	2689	2581	2067	2323	2751	2848	2583	2549	2911	2479	3975	5004	4167	2568	3951	4578	4104	3312	4075	4027	3774	4331	3103	3652	3892	3597	3447	3230
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	1	0	1	1	0	0	3	4	3	1	0	2	1	5	5	4	3	5	5	4	6	5	8	7	1	7	6	2	9	4
"ENSMUSG00000000056"	220	209	290	339	289	322	48	90	51	329	285	269	147	204	176	106	186	241	166	123	178	775	730	772	580	562	700	675	596	632
"ENSMUSG00000000078"	16530	17393	20113	13120	10847	12941	22432	20987	23109	13278	16943	15387	18704	20381	17673	14146	15400	17448	25416	18209	15241	9139	7679	8170	7452	7510	8583	8990	8419	7981
"ENSMUSG00000000085"	163	219	203	196	197	210	192	195	196	212	271	248	321	459	336	339	355	415	327	307	329	430	411	410	333	379	375	374	376	348
"ENSMUSG00000000093"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSMUSG00000000125"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	2	5	4	0	4	3	7	8	5	9	8	12	0	1	1	1	0	5	3	1	1	5	4	3	2	1	1	1	3	3
"ENSMUSG00000000134"	2542	2563	2861	2318	2060	2239	1831	2062	1900	2500	2488	2267	2419	3605	2798	2903	3524	3912	2821	2441	2833	3933	3669	4255	3385	3498	3891	3715	3536	2685
"ENSMUSG00000000148"	128	127	132	168	130	120	46	77	48	215	195	176	103	187	136	126	166	200	121	102	129	439	408	487	385	386	434	422	413	385
"ENSMUSG00000000154"	27	20	44	37	25	30	28	35	30	46	49	41	52	65	38	71	47	84	42	50	56	100	73	101	80	72	90	102	78	86
"ENSMUSG00000000168"	264	319	332	379	366	355	419	433	353	621	732	548	647	835	626	664	687	804	589	550	715	991	919	1042	765	796	870	903	889	802
"ENSMUSG00000000171"	1083	1070	1286	1361	1131	1136	1555	1832	1304	2039	2193	1743	1420	1781	1408	1863	1579	1855	1424	1228	1353	2636	2255	2487	1847	2422	2263	2317	2183	1594
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	1	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	5	3	3	5	3	5	4	8
"ENSMUSG00000000204"	2631	1766	1996	2122	1794	1691	229	521	547	145	78	135	181	175	167	113	104	81	393	122	53	8	5	2	8	5	7	19	23	1
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0	2	0	0	1	3	0	2	3	2	1	0	1	1	0	1	3	4	1	3	0	1	0	2	1
"ENSMUSG00000000275"	9056	8479	10015	8532	7477	8084	7158	10967	8157	6451	6068	6128	6079	6395	5505	4981	5798	6665	6589	4405	3579	5050	4126	4810	4297	5571	6391	5107	4571	4644
"ENSMUSG00000000282"	316	267	235	468	327	284	36	51	40	370	213	241	102	108	103	98	180	203	121	76	123	1374	1292	1514	1122	1398	1562	1063	1084	1123
"ENSMUSG00000000290"	17363	19476	18646	21441	17318	17620	20545	23961	17308	25275	25354	21142	20800	28291	19056	17730	21901	23528	16362	16671	21295	31840	31124	34128	26857	26799	29207	26549	28301	27078
"ENSMUSG00000000301"	5	12	9	7	11	8	16	10	10	21	24	12	18	23	11	36	17	30	20	18	24	42	29	35	18	25	25	27	26	27
"ENSMUSG00000000303"	15	16	8	8	12	8	4	18	14	6	7	7	14	8	7	6	6	8	31	7	1	8	6	2	5	9	7	13	8	10
"ENSMUSG00000000317"	1	0	0	1	0	0	0	0	1	2	0	2	3	1	4	4	2	3	1	1	0	2	1	2	2	1	1	4	4	3
"ENSMUSG00000000318"	122	124	150	153	110	98	478	466	531	351	455	405	221	269	177	396	435	485	284	237	194	736	474	628	598	1016	1048	726	607	399
"ENSMUSG00000000320"	25	6	9	19	8	3	2	4	3	6	5	13	10	10	5	28	12	37	59	10	6	18	13	18	12	28	43	18	14	2
"ENSMUSG00000000339"	402	425	612	472	417	470	394	477	336	429	458	403	387	533	423	576	414	512	452	331	436	535	436	527	374	493	464	435	499	342
"ENSMUSG00000000346"	4328	4418	4652	5598	4745	4312	5301	5930	4912	5501	6107	5355	5973	7644	6252	7504	7278	8575	6856	5675	5680	10060	8765	9507	7823	9838	9833	9747	8792	5968
"ENSMUSG00000000355"	196	237	277	329	232	239	360	402	323	377	442	306	424	495	365	624	451	489	423	333	432	690	526	570	433	589	571	575	572	387
"ENSMUSG00000000359"	1	0	0	0	0	0	1	1	0	1	1	0	1	2	1	0	0	3	3	0	0	5	2	6	5	3	4	3	3	3
"ENSMUSG00000000374"	699	778	879	870	660	795	840	850	838	1042	1275	1150	1548	2379	1901	1045	2100	2354	1602	1388	1901	1597	1457	1681	1442	1519	1852	1504	1533	1548
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000385"	2	0	3	0	1	6	4	4	4	5	8	1	6	4	6	5	1	3	2	5	4	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000386"	19459	24725	26703	27396	28933	27286	16230	21621	24765	10999	12582	13792	7344	8529	8086	6631	5251	6408	10028	5220	2381	386	122	103	309	284	312	498	447	150
"ENSMUSG00000000392"	3	8	10	4	7	6	9	8	7	1	8	5	1	4	3	0	0	1	2	3	2	2	3	0	1	1	2	0	3	0
"ENSMUSG00000000394"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000402"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000411"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
"ENSMUSG00000000552"	901	1005	1151	1311	1141	1241	974	1184	924	1360	1298	1337	549	797	517	713	811	863	664	609	659	1649	1514	1753	1252	1347	1480	1451	1393	1284
"ENSMUSG00000000560"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000567"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"ENSMUSG00000000579"	63	48	73	72	64	48	24	55	41	49	31	30	39	46	29	45	39	42	25	25	31	77	58	74	52	70	64	55	41	39
"ENSMUSG00000000581"	373	396	518	583	497	439	440	497	424	623	686	590	632	751	621	998	696	765	661	620	655	1046	807	976	725	949	906	888	864	651
"ENSMUSG00000000594"	3432	4382	3813	5010	4121	3776	5547	6884	4292	11131	10815	8308	4278	5125	3562	5278	5783	6025	4462	3734	3910	9941	8892	8742	7057	9104	9528	8202	8100	5946
