"IFNa+LPS_rep1"	"IFNa+LPS_rep2"	"IFNa+LPS_rep3"	"IFNa_rep1"	"IFNa_rep2"	"IFNa_rep3"	"IFNg+LPS_rep1"	"IFNg+LPS_rep2"	"IFNg+LPS_rep3"	"IFNg_rep1"	"IFNg_rep2"	"IFNg_rep3"	"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"LPS_rep4"	"LPS_rep5"	"LPS_rep6"	"LPS_rep7"	"LPS_rep8"	"LPS_rep9"	"unstimulated_rep1"	"unstimulated_rep2"	"unstimulated_rep3"	"unstimulated_rep4"	"unstimulated_rep5"	"unstimulated_rep6"	"unstimulated_rep7"	"unstimulated_rep8"	"unstimulated_rep9"
"ENSMUSG00000000001"	10	13	21	19	17	18	21	29	25	19	22	15	19	53	51	10	29	30	38	24	39	21	12	17	29	17	28	36	23	25
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	2	2	0	1	1
"ENSMUSG00000000056"	5	6	8	3	5	6	3	0	4	6	6	5	1	5	5	1	2	4	1	1	3	18	12	13	15	6	12	11	13	25
"ENSMUSG00000000078"	71	81	99	51	41	53	135	96	150	52	74	95	121	177	132	31	78	70	124	97	86	34	27	22	23	25	25	35	20	38
"ENSMUSG00000000085"	3	3	2	5	4	3	7	10	6	4	4	18	3	10	18	1	5	5	7	5	7	10	8	15	14	10	19	11	14	15
"ENSMUSG00000000093"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
"ENSMUSG00000000134"	4	4	6	7	7	2	2	1	3	0	4	9	6	8	10	3	7	12	2	3	8	11	14	13	12	13	21	12	11	11
"ENSMUSG00000000148"	3	2	2	3	2	5	1	1	1	3	5	2	0	4	1	0	4	1	0	1	3	7	2	3	11	2	7	10	4	8
"ENSMUSG00000000154"	0	1	0	1	0	1	1	0	0	3	4	1	1	2	1	0	0	0	0	0	1	5	8	2	3	7	3	3	6	4
"ENSMUSG00000000168"	2	5	4	2	4	5	4	7	8	11	8	19	8	12	4	2	5	8	3	10	4	9	8	10	6	9	11	16	12	11
"ENSMUSG00000000171"	2	10	8	6	7	5	11	7	12	24	17	18	7	15	16	5	7	6	8	5	6	18	13	13	16	17	18	28	11	23
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"ENSMUSG00000000204"	651	567	595	633	608	704	87	86	188	46	20	42	55	52	61	14	29	35	109	53	25	3	1	1	2	1	1	1	7	2
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	2	0	0
"ENSMUSG00000000275"	142	303	526	219	329	292	181	230	316	169	166	312	122	224	233	16	123	169	198	182	207	90	49	87	108	114	187	150	65	129
"ENSMUSG00000000282"	2	2	3	2	3	2	1	1	2	4	3	5	1	5	1	1	6	5	2	2	3	20	11	19	11	7	18	13	9	23
"ENSMUSG00000000290"	111	116	131	121	149	150	49	78	81	226	205	313	49	94	124	16	75	76	42	48	51	203	161	187	231	125	157	162	142	196
"ENSMUSG00000000301"	0	1	0	0	0	0	0	0	1	0	1	1	0	2	0	1	2	2	0	1	1	0	5	3	3	0	2	2	1	1
"ENSMUSG00000000303"	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	2	2	0	0	0	0	1	2	0	0	2	0	0
"ENSMUSG00000000317"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000318"	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	3	5	2	1	3	8	2	1
"ENSMUSG00000000320"	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0
"ENSMUSG00000000339"	5	7	10	9	8	11	15	13	9	10	13	14	7	9	18	5	5	9	8	8	11	8	5	11	12	9	14	14	4	13
"ENSMUSG00000000346"	9	7	5	4	2	11	3	6	8	7	15	11	3	10	5	0	7	2	2	2	6	18	11	11	17	10	20	8	6	14
"ENSMUSG00000000355"	11	15	23	27	24	28	16	24	27	19	29	26	29	58	55	11	23	22	19	18	41	61	26	29	45	37	40	58	41	48
"ENSMUSG00000000359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	1	0	0	0
"ENSMUSG00000000374"	15	14	18	20	20	19	10	18	17	25	34	37	37	77	74	20	49	75	42	42	56	34	42	54	53	27	45	39	31	57
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000385"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000386"	2535	3288	3084	3989	4588	4700	5583	4483	8899	2522	3663	5831	2720	3736	3804	680	1780	1956	3106	2391	925	97	27	18	56	45	46	93	73	47
"ENSMUSG00000000392"	6	9	11	11	15	10	4	17	9	7	15	7	0	3	5	2	2	3	8	1	2	2	0	0	0	0	0	1	1	0
"ENSMUSG00000000394"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000402"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000411"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000552"	29	36	34	44	68	39	43	36	38	78	74	92	21	23	32	13	32	38	21	24	20	99	80	93	72	75	91	77	57	64
"ENSMUSG00000000560"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000567"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000579"	10	12	8	7	11	4	5	9	5	2	1	3	0	4	2	4	5	4	0	2	2	23	8	7	7	11	7	11	6	15
"ENSMUSG00000000581"	2	3	8	13	6	3	3	8	4	14	9	7	9	9	9	5	5	6	5	5	6	14	8	14	8	7	12	14	12	19
"ENSMUSG00000000594"	5	15	7	7	11	7	12	20	12	98	89	122	3	1	1	0	3	4	2	4	1	35	25	29	40	22	36	29	23	41
"ENSMUSG00000000627"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000632"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000673"	0	1	2	0	0	0	0	0	1	1	2	3	0	1	0	0	1	4	1	0	0	7	4	1	3	6	5	3	2	5
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000711"	12	18	11	8	12	16	25	26	24	17	17	23	22	30	35	4	19	37	17	18	19	23	23	26	27	25	31	22	15	26
