"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000000982"	-3.87109444529636	10.8446931007128	304.468570008189	4.70119771524189e-20	1.51942710156618e-16	"Ccl3"
"ENSMUSG00000050335"	-3.09093942416058	12.1961434960557	151.326333055549	5.08591492138999e-15	8.21883851296622e-12	"Lgals3"
"ENSMUSG00000042622"	-3.1042610843897	5.6555015714225	137.054305647299	2.35675030919411e-14	2.53900566643845e-11	"Maff"
"ENSMUSG00000018339"	3.02959835789947	3.37932398651946	130.471861010029	4.9890319246702e-14	4.03113779513352e-11	"Gpx3"
"ENSMUSG00000023992"	-3.40080763991846	9.7741311733505	127.621875194117	6.96646031962795e-14	4.50311995060751e-11	"Trem2"
"ENSMUSG00000004207"	-2.40268511385873	13.43598013471	104.33860818677	1.35160951124483e-12	7.28066990057215e-10	"Psap"
"ENSMUSG00000024833"	2.29386789597093	4.69447716123243	96.7266134797812	3.96499283031757e-12	1.83069383251234e-09	"Pola2"
"ENSMUSG00000028602"	2.79368087628617	3.15004988277436	95.6251940404842	4.65651257068046e-12	1.88123107855491e-09	"Tnfrsf8"
"ENSMUSG00000028581"	-2.43533918505228	10.8178867645438	90.4354881597615	1.01161387173467e-11	2.97230548495131e-09	"Laptm5"
"ENSMUSG00000026388"	-2.62896788917599	2.11591154970753	91.3806487769609	8.76274364367283e-12	2.97230548495131e-09	"3110009E18Rik"
"ENSMUSG00000043017"	-3.3122840170251	5.70633200426497	90.6825645937881	9.74237477692756e-12	2.97230548495131e-09	"Ptgir"
"ENSMUSG00000028673"	-2.85488943201861	7.91646608415876	88.9726987244349	1.26609309718223e-11	3.41001074174413e-09	"Fuca1"
"ENSMUSG00000015340"	2.16140593505135	11.5565690129486	88.408753286676	1.38145751230699e-11	3.43451590752015e-09	"Cybb"
"ENSMUSG00000044811"	-2.34321413896904	7.70645342985588	84.608827499087	2.51212801724067e-11	5.79942696551561e-09	"Cd300c2"
"ENSMUSG00000040522"	1.99669053320748	7.63116095678044	78.8738688673503	6.42321384963946e-11	1.38398847746898e-08	"Tlr8"
"ENSMUSG00000026687"	-2.94557883698672	7.16446148574327	75.5322274976303	1.1342675613998e-10	2.29122047402759e-08	"Aldh9a1"
"ENSMUSG00000039879"	1.73051216445885	7.09201079034783	73.9642967783472	1.48980705080761e-10	2.83238611071188e-08	"Heca"
"ENSMUSG00000028063"	-2.95889847204797	9.01641538484214	72.409169587856	1.95993307416158e-10	3.5191687198279e-08	"Lmna"
"ENSMUSG00000000594"	-2.97797869126438	8.53721100538022	71.5265728140804	2.29401786698622e-10	3.90224512952603e-08	"Gm2a"
"ENSMUSG00000035443"	-1.74907812707636	4.72952382701109	70.3201540108109	2.85060134423639e-10	4.60657177228601e-08	"Thyn1"
"ENSMUSG00000024983"	1.66377303738868	5.79600400221852	69.7393945260684	3.16759479993626e-10	4.87507923494953e-08	"Vti1a"
"ENSMUSG00000046718"	2.56491281632788	7.94632269572916	65.021533128058	7.62510653065345e-10	1.07848035043077e-07	"Bst2"
"ENSMUSG00000022010"	-2.3092302781279	6.73039406312605	64.9874155431151	7.67482922645659e-10	1.07848035043077e-07	"Tsc22d1"
"ENSMUSG00000030560"	1.6136271819585	9.80165099586113	60.719613925403	1.76136633354354e-09	2.37197332917197e-07	"Ctsc"
"ENSMUSG00000027360"	-1.91687844437819	4.20354973906969	60.4508212942221	1.85822337616496e-09	2.40231118070606e-07	"Hdc"
"ENSMUSG00000015488"	2.6855885719519	4.19051468135282	59.7383711025078	2.14304385452329e-09	2.66396836069972e-07	"Cacfd1"
"ENSMUSG00000068220"	-2.03808313672601	9.74419118352227	59.3738768183293	2.30618173354489e-09	2.76058494919151e-07	"Lgals1"
"ENSMUSG00000037260"	-1.54680402932823	9.1449481712461	58.61579866518	2.68874850402309e-09	2.99656385000091e-07	"Hgsnat"
"ENSMUSG00000032366"	-2.38260293192681	6.665137918947	58.7657382124333	2.60810022533307e-09	2.99656385000091e-07	"Tpm1"
"ENSMUSG00000062585"	4.23447274338109	4.96734782771144	58.2620444043432	2.88959414394525e-09	3.11305609107702e-07	"Cnr2"
"ENSMUSG00000005142"	-1.83313111341517	9.83575374227785	56.9396556595119	3.79168788501016e-09	3.95314040140414e-07	"Man2b1"
"ENSMUSG00000031996"	-1.84597686428997	9.3191632688792	56.3205307245296	4.31172160395423e-09	4.35483881999377e-07	"Aplp2"
"ENSMUSG00000059878"	3.84342246400828	4.04911776319382	55.3707295312457	5.26027218323228e-09	5.15187869582022e-07	"Zfp422"
"ENSMUSG00000069792"	2.71670804104834	6.74649098420632	53.0531347356134	8.62042114053572e-09	7.78451678873454e-07	"Wfdc17"
"ENSMUSG00000037960"	-1.89081680737231	7.47713129390192	53.0261069982981	8.67087266071917e-09	7.78451678873454e-07	"Card19"
"ENSMUSG00000031367"	-2.090699164052	6.86637070560534	53.0849335420406	8.56145869111981e-09	7.78451678873454e-07	"Ap1s2"
"ENSMUSG00000021190"	-1.55148828129085	10.4609890432363	52.8026938866588	9.09999281294427e-09	7.94896669498267e-07	"Lgmn"
"ENSMUSG00000041936"	2.28986248904661	5.58825970186988	52.1984655766886	1.03762719135874e-08	8.82529232229328e-07	"Agrn"
"ENSMUSG00000032661"	1.81513505523574	7.77005593628509	50.7790761309073	1.41736833440809e-08	1.17459857866845e-06	"Oas3"
"ENSMUSG00000026688"	-2.87123727097155	5.14321215463264	50.5460739969743	1.49254242133028e-08	1.20597427643487e-06	"Mgst3"
"ENSMUSG00000026390"	3.15441191713872	7.62081905966233	49.235496699872	2.00124084568697e-08	1.57756351542933e-06	"Marco"
"ENSMUSG00000020057"	1.47769083059585	8.60418256575442	49.0450303336078	2.08916387499314e-08	1.60766134380425e-06	"Dram1"
"ENSMUSG00000035042"	2.91481752538314	9.89976615511883	48.7178229513944	2.24982655929769e-08	1.69103242782561e-06	"Ccl5"
"ENSMUSG00000031827"	-2.14684531153255	8.82858079384954	47.7605242538401	2.79899653531265e-08	2.05599018230238e-06	"Cotl1"
"ENSMUSG00000036622"	-2.2316466123298	8.13598604638255	47.4046775087912	3.03764322046679e-08	2.18170286412192e-06	"Atp13a2"
"ENSMUSG00000030047"	1.50879944940892	6.76150646615741	46.776535166415	3.51263103830397e-08	2.46800511213009e-06	"Arhgap25"
"ENSMUSG00000041797"	-2.54167967290081	5.62395478686655	46.6337470856281	3.63113082866283e-08	2.49698188047623e-06	"Abca9"
