"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000024472"	1475.51982574104	-2.90507264509844	0.071305807349518	-40.7410385364366	0	0	"Dcp2"
"ENSMUSG00000025278"	1722.91953438512	-4.91917551389565	0.0978611264510566	-50.2669005793213	0	0	"Flnb"
"ENSMUSG00000043953"	2314.39092070136	-5.46910952433805	0.13640140557942	-40.0956977027164	0	0	"Ccrl2"
"ENSMUSG00000017009"	8888.74100148668	-5.48493779994432	0.141793024292682	-38.6827054948949	0	0	"Sdc4"
"ENSMUSG00000026981"	4814.43119203978	-5.92233581883827	0.125178731847405	-47.3110386360014	0	0	"Il1rn"
"ENSMUSG00000053113"	4310.21686727115	-7.84610134127384	0.142899679503376	-54.906360661841	0	0	"Socs3"
"ENSMUSG00000017652"	4564.82071555013	-8.53008054103773	0.203165876633484	-41.9857934924091	0	0	"Cd40"
"ENSMUSG00000000982"	5996.04159857653	-8.58048352754081	0.190472329004946	-45.0484517744202	0	0	"Ccl3"
"ENSMUSG00000105504"	7792.28634356627	-10.1734983148809	0.232776504003073	-43.705005187064	0	0	"Gbp5"
"ENSMUSG00000002307"	2563.86627430429	-3.9226035441506	0.106160601561764	-36.9497109703965	7.36170906708426e-299	4.0364250814823e-296	"Daxx"
"ENSMUSG00000037331"	2829.01013485704	-2.38814185767893	0.0648878283138995	-36.8041575706021	1.5841392808694e-296	7.89621425182449e-294	"Larp1"
"ENSMUSG00000018930"	3943.1512110395	-9.6415463486033	0.264498531912042	-36.4521733973539	6.35502449863557e-291	2.90371661050157e-288	"Ccl4"
"ENSMUSG00000030966"	1205.58748421148	-4.62860972262604	0.132020180071349	-35.0598652427573	2.75840968789137e-269	1.16341233220834e-266	"Trim21"
"ENSMUSG00000026288"	1924.44084496399	3.33972190078887	0.0953283662766613	35.0338732449935	6.86429193997855e-269	2.68835090763588e-266	"Inpp5d"
"ENSMUSG00000032688"	3044.08987734126	-4.91558730148608	0.14077204897082	-34.9187735592669	3.85824328429771e-267	1.41031652852029e-264	"Malt1"
"ENSMUSG00000045382"	2380.79286596855	3.83402779056997	0.109963955269958	34.8662230378813	2.41753750666045e-266	8.28459884313703e-264	"Cxcr4"
"ENSMUSG00000021929"	4378.8556376793	-3.23176975827203	0.093225654360152	-34.666098945114	2.55560102543962e-263	8.24256495440321e-261	"Kpna3"
"ENSMUSG00000028599"	24771.0777419864	-2.38734980181424	0.0702064314204674	-34.0047165695741	1.89743030282021e-253	5.77978352797957e-251	"Tnfrsf1b"
"ENSMUSG00000027351"	3195.53511721808	-3.81969554567737	0.114106257905478	-33.4748997626536	1.1178565446985e-245	3.22589864977995e-243	"Spred1"
"ENSMUSG00000032487"	5278.05900359557	-9.91387807761976	0.296178492878869	-33.4726467855798	1.2055017642926e-245	3.30488308680815e-243	"Ptgs2"
"ENSMUSG00000039232"	787.393479830794	-3.80818926063782	0.11440451646872	-33.287053502639	5.9438185858408e-243	1.551902728865e-240	"Stx11"
"ENSMUSG00000006818"	4987.04324050584	-3.96781224907759	0.119726171473251	-33.1407260438797	7.70356610857042e-241	1.91993877151325e-238	"Sod2"
"ENSMUSG00000019122"	14838.0459237487	-3.40119022584158	0.102949791398846	-33.0373687952874	2.36227230785591e-239	5.63145176694519e-237	"Ccl9"
"ENSMUSG00000022895"	1124.50915726918	-4.34501609639489	0.131991482957496	-32.9189126376742	1.17880714712797e-237	2.69308316154277e-235	"Ets2"
"ENSMUSG00000030162"	1344.88214027948	-6.04733968572487	0.185678100498615	-32.5689441538097	1.12928969217482e-232	2.47675815287782e-230	"Olr1"
"ENSMUSG00000024401"	4496.3353139676	-6.69221932542016	0.20700522305612	-32.3287462346101	2.7603764265234e-229	5.82120921024147e-227	"Tnf"
"ENSMUSG00000029826"	2778.32033003418	-2.27963735887388	0.0708758789561451	-32.1637966604185	5.66502405923884e-227	1.15041951543728e-224	"Zc3hav1"
"ENSMUSG00000037242"	13455.4451267913	-2.8899108968626	0.0918826026688055	-31.4522098081984	3.91550902155969e-217	7.66740570186136e-215	"Clic4"
"ENSMUSG00000027646"	1669.01426852648	-4.51144812282665	0.143846495309137	-31.3629338909593	6.4826980908515e-216	1.22567702179789e-213	"Src"
"ENSMUSG00000031609"	818.349638691682	-3.08047586490064	0.102110769344697	-30.1679821302867	6.23249916342267e-200	1.13909309710155e-197	"Sap30"
"ENSMUSG00000030156"	2580.13567881082	-9.2219196382583	0.310535676877706	-29.6968120731907	8.44202840893697e-194	1.49314973439359e-191	"Cd69"
"ENSMUSG00000038058"	729.427077013119	-5.6230036393818	0.189414665319984	-29.6862105681346	1.15692830101276e-193	1.98232433576656e-191	"Nod1"
"ENSMUSG00000020806"	1903.24613494872	-2.80466412044154	0.0945078629497476	-29.6765161427134	1.54316903857499e-193	2.56399873894142e-191	"Rhbdf2"
"ENSMUSG00000061731"	870.678145072759	-4.53772907562818	0.154522085003314	-29.3662169749448	1.48355366709659e-189	2.39244845785018e-187	"Ext1"
"ENSMUSG00000024789"	6053.53419759924	-4.47892606600923	0.153083092824971	-29.2581367632168	3.53813661335536e-188	5.54274372886499e-186	"Jak2"
"ENSMUSG00000035356"	2357.6917999584	-6.26919156178628	0.215515491746382	-29.0892850021373	4.90491018423038e-186	7.4704507055931e-184	"Nfkbiz"
"ENSMUSG00000004947"	451.886646897994	-3.20810849896217	0.11193853543299	-28.6595539824856	1.21872775928721e-180	1.80602278491129e-178	"Dtx2"
"ENSMUSG00000051413"	1558.37324481296	-2.87740080326083	0.102210225039318	-28.1517901183952	2.2784664606997e-174	3.28758726421486e-172	"Plagl2"
"ENSMUSG00000024772"	5574.13872701176	-4.07836198107384	0.145622983429331	-28.0063070061534	1.36141955849564e-172	1.91401626646964e-170	"Ehd1"
"ENSMUSG00000026031"	5508.37367321596	-3.93321163742148	0.141025027904621	-27.8901674111465	3.51129446897263e-171	4.81310689334424e-169	"Cflar"
"ENSMUSG00000019082"	620.898495369412	-3.69500538912969	0.133021935474095	-27.7774141231712	8.13187611277972e-170	1.08748967625296e-167	"Slc25a22"
"ENSMUSG00000038866"	825.793298556695	-3.06600888092034	0.110941141137876	-27.6363560846192	4.07136472893928e-168	5.31506971637478e-166	"Zcchc2"
"ENSMUSG00000027555"	928.465107699963	-2.99561080811418	0.109057712663062	-27.468124307441	4.22095059396658e-166	5.382202815516e-164	"Car13"
"ENSMUSG00000060519"	3408.34509415928	-4.3199981180679	0.157376497048478	-27.4500843460581	6.93150379851521e-166	8.63759893801339e-164	"Tor3a"
"ENSMUSG00000020190"	947.950508242057	3.47196719983088	0.127644783063689	27.2002279803204	6.45467888194936e-163	7.86466762438408e-161	"Mknk2"
"ENSMUSG00000031596"	2977.0089371529	-5.77905126928559	0.213055014544945	-27.1246902197013	5.03687067688377e-162	6.0037308524682e-160	"Slc7a2"
"ENSMUSG00000031712"	1179.37348831666	-6.7708188844189	0.251451517129119	-26.9269359028847	1.06268452897947e-159	1.23972324944563e-157	"Il15"
"ENSMUSG00000050578"	1906.02005762415	-5.89145537885763	0.219898968022631	-26.7916463266499	4.04312706333422e-158	4.61843035172115e-156	"Mmp13"
"ENSMUSG00000021133"	2864.76839840665	-2.43177758854168	0.09106693946256	-26.7031878186864	4.32221469721e-157	4.83647003771478e-155	"Susd6"
"ENSMUSG00000041773"	1059.64819043802	4.52390430076405	0.170466318991212	26.5384055192584	3.49525554326953e-155	3.83289722874937e-153	"Enc1"
"ENSMUSG00000006219"	710.557731835857	3.08768842214967	0.117131249487799	26.3609278962854	3.84645240683498e-153	4.13531344052474e-151	"Fblim1"
"ENSMUSG00000021025"	3874.73399831196	-3.35711680005181	0.128013552888509	-26.2246982784364	1.38958805804392e-151	1.46521371581824e-149	"Nfkbia"
"ENSMUSG00000031792"	913.886223093173	-3.24931228260594	0.124530654933921	-26.0924692344236	4.43881307614072e-150	4.59207775405275e-148	"Usb1"
"ENSMUSG00000003283"	2267.90793547717	-3.01591623490198	0.115939645778859	-26.0128122234776	3.54708453928371e-149	3.60160454238751e-147	"Hck"
"ENSMUSG00000039531"	728.770860940673	-3.93299850023159	0.151379535384453	-25.9810448634494	8.11081352604838e-149	8.08574373878605e-147	"Zup1"
"ENSMUSG00000020901"	5411.96377466058	-1.92696254109313	0.0742877964579815	-25.9391533060622	2.41025125903544e-148	2.35989422380202e-146	"Pik3r5"
"ENSMUSG00000032691"	5159.96091252309	-5.52560042044397	0.213125625393796	-25.926494809032	3.34841888808283e-148	3.2209439935716e-146	"Nlrp3"
"ENSMUSG00000020841"	9990.90878798558	-1.86785870358016	0.0723230597524044	-25.8265995655427	4.45798185049385e-147	4.21433008383755e-145	"Cpd"
"ENSMUSG00000042677"	1089.25034063998	-3.18731223354932	0.123541687697289	-25.7994875491673	8.98527401362015e-147	8.35021312147107e-145	"Zc3h12a"
"ENSMUSG00000025044"	4811.26213163378	-2.92720751207114	0.113654482621864	-25.7553194959337	2.81017842232176e-146	2.5680347149317e-144	"Msr1"
"ENSMUSG00000041642"	448.92627032737	3.13580586200772	0.121850124340843	25.7349418309673	4.7524618538409e-146	4.2717620237065e-144	"Kif21b"
"ENSMUSG00000026896"	6221.18866845645	-5.52740996823898	0.214981716538071	-25.7110700260882	8.79024510997733e-146	7.77369579645253e-144	"Ifih1"
"ENSMUSG00000014599"	836.868679077817	-4.88327212169095	0.190821431068769	-25.5907949874409	1.9315331904527e-144	1.68104706083367e-142	"Csf1"
"ENSMUSG00000045551"	542.024991432824	-7.07172961114636	0.278109742318542	-25.4278384935056	1.24162545610648e-142	1.06372380872373e-140	"Fpr1"
"ENSMUSG00000035208"	4672.65220123373	-4.45688716185139	0.176470366835894	-25.2557256029053	9.79874526629128e-141	8.26561850693463e-139	"Slfn8"
"ENSMUSG00000020057"	2118.98676798504	-3.15661393844218	0.126009518202758	-25.0505992203143	1.71979627682378e-138	1.42873378573102e-136	"Dram1"
"ENSMUSG00000047945"	5219.95788821425	-5.21790928529619	0.208908020865658	-24.9770653308313	1.08536412939878e-137	8.88216644999033e-136	"Marcksl1"
"ENSMUSG00000032724"	348.576311975932	-5.82502366067864	0.235843833632993	-24.6986472826049	1.10587980244988e-134	8.91696905416572e-133	"Abtb2"
"ENSMUSG00000023341"	559.341545706085	-7.20725925399415	0.295577929323898	-24.3836177839122	2.5519590253987e-131	2.02788280235668e-129	"Mx2"
"ENSMUSG00000037824"	576.499307677415	2.30037080595805	0.0943995222824878	24.3684581270895	3.69512177982612e-131	2.8943361026838e-129	"Tspan14"
"ENSMUSG00000023460"	1074.95216333007	-2.0112653491266	0.0828431037010078	-24.2780057635882	3.34754934107314e-130	2.5851567657893e-128	"Rab12"
"ENSMUSG00000023961"	611.721377739284	-5.39082699352897	0.222378920471299	-24.2416276781266	8.10311610166e-130	6.17074799797247e-128	"Enpp4"
"ENSMUSG00000025321"	525.463293541596	-7.8939808504439	0.326043586804362	-24.2114280725925	1.68630125375885e-129	1.26657394169312e-127	"Itgb8"
"ENSMUSG00000021733"	1544.25849775251	-2.47171163574027	0.102164949441892	-24.1933427192277	2.61428579185032e-129	1.93704445901558e-127	"Slc4a7"
"ENSMUSG00000030142"	11837.0104167063	-5.05245343071483	0.210022315509194	-24.0567456770738	7.09548235309926e-128	5.18727063227243e-126	"Clec4e"
"ENSMUSG00000025076"	522.57175574701	-3.58982365016964	0.149963733680745	-23.9379452755687	1.23382106783057e-126	8.90136962488817e-125	"Casp7"
"ENSMUSG00000059588"	2450.09829433254	-3.00466932739204	0.126022717507889	-23.8422832550326	1.21761955429654e-125	8.67040002104923e-124	"Calcrl"
"ENSMUSG00000031652"	2014.35333865485	-2.55848863586773	0.107805931251977	-23.7323550397958	1.67165695782325e-124	1.1750891153519e-122	"N4bp1"
"ENSMUSG00000017144"	555.676046749282	-3.94711212493667	0.16899421413821	-23.3564926767763	1.18393655961505e-120	8.21711918527765e-119	"Rnd3"
"ENSMUSG00000037348"	391.999151121178	2.78333680061714	0.11953790912268	23.2841348911384	6.41951579746026e-120	4.39977563968433e-118	"Paqr7"
"ENSMUSG00000005973"	207.952477108986	-3.57080422578476	0.154309943629879	-23.1404674370792	1.81337773077676e-118	1.22750001208012e-116	"Rcn1"
"ENSMUSG00000033538"	884.350750045874	-3.99574587580693	0.17334613603353	-23.0506774897714	1.44806722015692e-117	9.68262508307362e-116	"Casp4"
"ENSMUSG00000046879"	3750.45107180154	-4.47456287755581	0.194861791125914	-22.9627514542576	1.09893471573486e-116	7.2595892124991e-115	"Irgm1"
"ENSMUSG00000023947"	1290.23842559114	-4.08784748958051	0.178337056811359	-22.9220306910444	2.80202165932409e-116	1.8289862807231e-114	"Nfkbie"
"ENSMUSG00000019850"	3934.37227179705	-4.57642075023897	0.199831739315511	-22.9013707527879	4.50232449085704e-116	2.9042641392199e-114	"Tnfaip3"
"ENSMUSG00000029313"	3114.9966420893	-2.21100986997985	0.0973543997816116	-22.7109393611347	3.49296071996017e-114	2.22696553808624e-112	"Aff1"
"ENSMUSG00000038301"	3028.45790897207	-2.17309404006309	0.0957051449188886	-22.7061360379823	3.89633697018182e-114	2.45558800086287e-112	"Snx10"
"ENSMUSG00000025154"	490.987911848886	5.78691069340866	0.25499241565667	22.6944424151044	5.08349311121817e-114	3.16736281009196e-112	"Arhgap19"
"ENSMUSG00000064289"	1233.12769493089	-3.07850338083486	0.135676164116163	-22.6900826750903	5.61320802238749e-114	3.45811456030905e-112	"Tank"
"ENSMUSG00000020178"	690.30475801041	-7.90875441205774	0.348941044827449	-22.6650161375215	9.92117268813324e-114	6.04419887211495e-112	"Adora2a"
"ENSMUSG00000022035"	464.775572873679	-3.02548448008446	0.134024604156772	-22.5740974884393	7.78835367770578e-113	4.69269705657811e-111	"Ccdc25"
"ENSMUSG00000046031"	1004.88857764042	-6.78181805858248	0.300642554214019	-22.5577449483572	1.1272447441185e-112	6.71813362174099e-111	"Calhm6"
"ENSMUSG00000029009"	1643.3188168172	-3.44707440484591	0.153220674267056	-22.4974496511994	4.39624432234617e-112	2.59189329241119e-110	"Mthfr"
"ENSMUSG00000029581"	368.030628543568	-7.25870347183212	0.323495444852509	-22.4383483209217	1.66307516757075e-111	9.70068206786216e-110	"Fscn1"
"ENSMUSG00000024663"	438.364166811588	3.47392551891753	0.155208713883124	22.3822840355051	5.85665496681592e-111	3.38021465084755e-109	"Rab3il1"
"ENSMUSG00000001052"	1151.68638581456	-1.61750724188817	0.0722702225492361	-22.3813790082935	5.97673874213451e-111	3.41358942949204e-109	"Sec24b"
"ENSMUSG00000029050"	1637.51913516157	2.3118254845565	0.103450673010997	22.3471285132262	1.28762849310209e-110	7.27841961616368e-109	"Ski"
"ENSMUSG00000026875"	1963.82813632061	-5.11591303827923	0.229971412985733	-22.2458651354054	1.23683936622473e-109	6.91999004592875e-108	"Traf1"
"ENSMUSG00000032265"	1173.24838434738	-2.35696411633426	0.106856178772237	-22.0573498267996	8.12030080321626e-108	4.49733427313482e-106	"Tent5a"
"ENSMUSG00000015396"	1177.35836554643	-4.32507170781582	0.197563204463129	-21.8920912908304	3.09007931195067e-106	1.69429048674255e-104	"Cd83"
"ENSMUSG00000028268"	3048.59207448045	-6.43495101364907	0.294727696106775	-21.8335470288404	1.11429396627165e-105	6.04918199709647e-104	"Gbp3"
"ENSMUSG00000035517"	850.704245577587	-2.34878831693125	0.107620675359476	-21.8246940849032	1.35239465922142e-105	7.26978423187358e-104	"Tdrd7"
"ENSMUSG00000050029"	2074.69538701786	-2.73037952249705	0.1254372222324	-21.7669003977018	4.77873985215387e-105	2.5438670494524e-103	"Rap2c"
"ENSMUSG00000026979"	1092.49945856916	-1.67661890800885	0.077135170814382	-21.7361145416203	9.34858583380325e-105	4.92868231987916e-103	"Psd4"
"ENSMUSG00000017929"	2232.58208028332	-2.25334567754277	0.104020602566162	-21.6624939863191	4.63452320220523e-104	2.42010387787536e-102	"B4galt5"
"ENSMUSG00000051306"	302.830122262498	-2.50746729438022	0.115766119209412	-21.6597680867612	4.91703007214499e-104	2.54340338543122e-102	"Usp42"
"ENSMUSG00000020464"	508.191890505322	-2.75353746143287	0.127733211415528	-21.5569422464088	4.55741394606687e-103	2.33535520245651e-101	"Pnpt1"
"ENSMUSG00000038507"	2460.82121974717	-3.50834629992549	0.163106749518831	-21.5095102457452	1.2683636311034e-102	6.43929424938883e-101	"Parp12"
"ENSMUSG00000048756"	368.412941988223	2.49466793649332	0.11630135916987	21.4500325215426	4.56333011860827e-102	2.29548064590176e-100	"Foxo3"
"ENSMUSG00000037752"	446.856867390081	-4.31541301975164	0.201341384040808	-21.4333135749031	6.53590758959322e-102	3.2578528467036e-100	"Xkr8"
"ENSMUSG00000055994"	434.71948444479	-5.20571086127054	0.243915704117337	-21.3422537925902	4.60218966480188e-101	2.27331584973952e-99	"Nod2"
"ENSMUSG00000063550"	1594.49879215077	-1.70411716376845	0.0799061290462669	-21.3264887701134	6.44693474613425e-101	3.15611992973697e-99	"Nup98"
"ENSMUSG00000010307"	745.469884213741	4.05748519661397	0.190595614139057	21.2884499726928	1.45253115251727e-100	7.04798965420548e-99	"Tmem86a"
"ENSMUSG00000031701"	2613.34770719559	-1.8516556823621	0.0871979520675109	-21.235082229093	4.52899105509306e-100	2.17828578553292e-98	"Dnaja2"
"ENSMUSG00000029640"	1079.64305847882	-2.16862843942397	0.102531256995288	-21.1509007396996	2.70723097941812e-99	1.29076064870865e-97	"Usp12"
