"Control_LPS_rep1"	"Control_LPS_rep2"	"Control_LPS_rep3"	"Control_LPS_rep4"	"Control_untreated_rep1"	"Control_untreated_rep2"	"Control_untreated_rep3"	"Control_untreated_rep4"	"Dropout_LPS_rep1"	"Dropout_LPS_rep2"	"Dropout_LPS_rep3"	"Dropout_LPS_rep4"	"Dropout_untreated_rep1"	"Dropout_untreated_rep2"	"Dropout_untreated_rep3"	"Dropout_untreated_rep4"
"ENSMUSG00000000001"	2345	1804	1760	1526	1982	2082	1533	1325	2051	1794	1525	1482	2485	2124	1548	414
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000056"	59	47	33	37	316	279	239	221	73	40	33	24	496	283	220	46
"ENSMUSG00000000078"	10621	6305	7620	5519	2881	2796	2200	1925	11589	7770	7379	6790	4441	3415	2392	988
"ENSMUSG00000000085"	87	74	78	57	128	102	87	81	50	58	78	70	180	135	97	18
"ENSMUSG00000000093"	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000125"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	6	1	6	3	9	11	11	9	3	7	7	8	22	10	11	2
"ENSMUSG00000000134"	1289	1098	1130	1045	1662	1616	1247	1220	1139	1034	969	1015	2000	1562	1217	433
"ENSMUSG00000000148"	76	49	44	48	204	183	176	150	51	58	42	35	289	181	179	45
"ENSMUSG00000000154"	25	25	19	17	28	35	32	24	19	17	19	14	35	41	24	19
"ENSMUSG00000000168"	241	223	245	221	395	466	374	297	233	254	224	198	527	494	339	108
"ENSMUSG00000000171"	484	424	560	387	775	723	687	557	399	421	380	350	940	729	584	470
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000204"	385	154	277	193	30	4	0	3	411	150	283	254	18	3	0	1
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000275"	4382	3891	3798	3038	2842	2163	1514	1377	4827	4084	3704	3327	3417	2331	1704	357
"ENSMUSG00000000282"	113	104	81	93	752	728	615	581	150	165	108	157	1198	984	713	150
"ENSMUSG00000000290"	6028	4951	5042	4128	7700	7150	5648	5115	5946	4961	4447	4112	9436	7142	5552	1267
"ENSMUSG00000000301"	5	10	6	2	6	14	4	3	3	7	6	5	8	12	5	2
"ENSMUSG00000000303"	2	2	6	6	1	3	2	0	1	4	2	7	1	0	1	1
"ENSMUSG00000000317"	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
"ENSMUSG00000000318"	21	44	55	45	34	31	48	35	31	28	61	92	57	41	62	34
"ENSMUSG00000000320"	6	4	4	4	4	0	1	1	0	1	2	3	2	0	1	1
"ENSMUSG00000000339"	145	147	146	121	188	199	155	127	147	152	124	124	181	195	158	40
"ENSMUSG00000000346"	3048	2433	2811	2293	4112	3773	3424	3006	2927	2458	2459	2373	5129	3834	3376	2041
"ENSMUSG00000000355"	112	101	101	93	186	194	129	116	134	98	114	105	232	197	121	155
"ENSMUSG00000000359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000374"	894	642	636	558	1013	929	805	684	929	708	604	567	1330	1017	765	186
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000385"	1	0	1	1	0	0	0	0	2	0	1	2	0	0	0	0
"ENSMUSG00000000386"	5787	4398	6727	4791	180	24	23	26	5954	4527	6719	5366	220	17	39	5
"ENSMUSG00000000392"	1	1	1	1	1	2	0	0	3	2	1	2	5	0	1	0
"ENSMUSG00000000394"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000402"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000411"	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
