"Control_LPS_rep1"	"Control_LPS_rep2"	"Control_LPS_rep3"	"Control_LPS_rep4"	"Control_untreated_rep1"	"Control_untreated_rep2"	"Control_untreated_rep3"	"Control_untreated_rep4"	"Dropout_LPS_rep1"	"Dropout_LPS_rep2"	"Dropout_LPS_rep3"	"Dropout_LPS_rep4"	"Dropout_untreated_rep1"	"Dropout_untreated_rep2"	"Dropout_untreated_rep3"	"Dropout_untreated_rep4"
"ENSMUSG00000000001"	25	12	8	8	17	17	12	14	24	12	16	15	32	13	9	16
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000056"	1	1	2	0	11	5	5	3	0	2	0	0	9	6	6	5
"ENSMUSG00000000078"	48	21	27	12	20	9	5	8	54	20	14	19	22	14	7	9
"ENSMUSG00000000085"	7	6	9	6	21	15	8	15	8	4	9	12	38	12	13	14
"ENSMUSG00000000093"	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	0	0	0	0	0	2	0	1	0	0	0	1	3	1	1	0
"ENSMUSG00000000134"	3	1	5	3	10	5	7	13	5	6	2	4	12	6	3	0
"ENSMUSG00000000148"	2	1	0	0	1	4	3	0	0	0	2	0	8	1	3	0
"ENSMUSG00000000154"	0	0	0	1	3	2	0	0	0	1	0	0	5	1	0	0
"ENSMUSG00000000168"	4	1	0	0	4	0	1	4	7	2	3	4	14	4	3	3
"ENSMUSG00000000171"	5	2	6	6	10	5	6	7	10	0	1	0	22	4	3	0
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000204"	123	86	168	80	5	1	1	0	135	97	98	91	3	1	1	0
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000275"	149	79	98	71	110	57	43	44	180	82	107	100	180	61	42	49
"ENSMUSG00000000282"	3	1	4	4	15	12	10	5	6	5	5	2	25	10	10	2
"ENSMUSG00000000290"	37	41	36	31	82	63	39	48	43	40	51	45	174	69	48	10
"ENSMUSG00000000301"	1	0	0	0	3	1	2	0	2	0	0	1	3	1	0	0
"ENSMUSG00000000303"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000317"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000318"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000320"	0	0	0	0	0	0	1	2	0	1	0	1	1	0	0	0
"ENSMUSG00000000339"	4	1	5	3	10	7	4	8	5	2	4	5	16	6	2	4
"ENSMUSG00000000346"	4	2	3	7	7	8	5	6	7	3	4	6	11	9	3	3
"ENSMUSG00000000355"	18	4	8	4	32	16	21	22	19	5	6	9	52	19	19	4
"ENSMUSG00000000359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000374"	30	14	16	11	31	22	13	10	30	10	16	14	69	26	16	5
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000385"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000386"	1952	765	1386	872	24	0	3	5	2063	760	1247	992	11	3	8	0
"ENSMUSG00000000392"	5	2	1	3	1	0	0	1	9	5	8	6	1	0	0	0
"ENSMUSG00000000394"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000402"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000411"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0
"ENSMUSG00000000552"	21	8	30	16	53	61	35	51	30	14	17	32	73	39	33	12
"ENSMUSG00000000560"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000567"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000579"	2	2	0	1	10	5	2	5	5	2	2	1	15	4	8	0
"ENSMUSG00000000581"	7	2	3	4	11	3	2	7	4	2	2	2	9	5	6	0
"ENSMUSG00000000594"	1	1	0	1	13	5	3	5	1	2	3	2	7	2	1	0
"ENSMUSG00000000627"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000632"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000673"	0	0	0	0	1	2	0	0	1	0	0	0	2	0	4	2
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000711"	30	16	11	12	38	20	26	12	16	12	13	13	33	27	8	17
"ENSMUSG00000000732"	108	37	35	43	17	11	4	10	98	28	26	30	21	5	9	0
"ENSMUSG00000000753"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000776"	0	0	2	0	1	1	0	4	1	0	2	0	2	0	0	0
"ENSMUSG00000000787"	3	5	3	1	14	6	12	7	6	2	1	8	16	8	7	6
"ENSMUSG00000000791"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000792"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000794"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000805"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000811"	0	0	1	0	5	2	0	0	2	2	2	1	3	7	2	0
"ENSMUSG00000000817"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000826"	10	6	8	6	24	22	5	21	14	6	6	9	24	16	12	19
"ENSMUSG00000000869"	5	2	4	1	50	47	52	61	3	2	2	4	103	68	56	40
"ENSMUSG00000000876"	0	1	0	0	3	1	1	2	0	0	1	0	4	0	1	0
