"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000000982"	-5.27991567931143	9.76530126355823	110.596496753823	1.66866479880093e-12	3.44579280952391e-09	"Ccl3"
"ENSMUSG00000035042"	5.7745860797885	9.73898675917284	96.9331729979485	9.81303243700645e-12	1.01319559912092e-08	"Ccl5"
"ENSMUSG00000040026"	4.57397561696146	10.2260131056512	63.2047826749823	1.99744577544727e-09	1.03118138157465e-06	"Saa3"
"ENSMUSG00000028602"	3.85758374564525	4.62894360008743	63.4225639479796	1.91922991532838e-09	1.03118138157465e-06	"Tnfrsf8"
"ENSMUSG00000031712"	-2.70181406284998	7.59276442212997	60.3310545458926	3.41282268843833e-09	1.40949577032503e-06	"Il15"
"ENSMUSG00000026390"	6.85595675448994	6.95476687457043	59.0589965668526	7.76290465739812e-09	2.29005687393245e-06	"Marco"
"ENSMUSG00000028673"	-3.45478844287084	7.67384368813814	56.2164716503818	7.56653465156443e-09	2.29005687393245e-06	"Fuca1"
"ENSMUSG00000079227"	-2.09145938483701	8.33115908817856	52.8027758457657	1.50670321170632e-08	3.88917766521693e-06	"Ccr5"
"ENSMUSG00000040522"	2.02885156428031	8.38141916415977	50.4266524183927	2.47349511640615e-08	5.67529712819856e-06	"Tlr8"
"ENSMUSG00000015340"	1.79555475247076	11.4513377937612	49.8936450192494	2.76975044050725e-08	5.71953465964747e-06	"Cybb"
"ENSMUSG00000044811"	-2.53515409259043	7.59148099142215	48.1078916779402	4.06784846762355e-08	7.63646098694785e-06	"Cd300c2"
"ENSMUSG00000015854"	-2.92860465520244	8.75996277892428	47.0562546129011	5.12140120113958e-08	8.81307790029436e-06	"Cd5l"
"ENSMUSG00000034997"	-3.92404938182343	2.85873265274656	46.1282904831914	6.2913507238716e-08	9.99356864984219e-06	"Htr2a"
"ENSMUSG00000069792"	5.83601344000939	7.49089533099639	42.6153295617154	2.09873758794441e-07	3.095637942218e-05	"Wfdc17"
"ENSMUSG00000017561"	-1.75050976401047	7.46344207544308	40.1734765096583	2.50212905685266e-07	3.44459766826717e-05	"Crlf3"
