"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000053113"	2940.37530682205	-5.86017974118223	0.168429826758483	-34.7930046237316	3.10319491244743e-265	2.14834183788736e-261	"Socs3"
"ENSMUSG00000003541"	1307.68475610467	-6.36216271567801	0.222694943211574	-28.568959060887	1.63343820195913e-179	5.65414633608151e-176	"Ier3"
"ENSMUSG00000035673"	2006.8636099949	-3.82485412077915	0.172330970204771	-22.1948156865495	3.85427748365395e-109	8.89438767311209e-106	"Sbno2"
"ENSMUSG00000030748"	4073.49354456879	-2.97937196056051	0.143114219780243	-20.8181406790705	2.96467658839443e-96	5.13111400536366e-93	"Il4ra"
"ENSMUSG00000024750"	1873.30743408404	-3.69264268162387	0.183709824038341	-20.1004094416485	7.31873147145682e-90	1.01335155953791e-86	"Zfand5"
"ENSMUSG00000055435"	1942.46290417925	2.98617102123251	0.151658194309756	19.690139624987	2.6196652861607e-86	3.02265712934842e-83	"Maf"
"ENSMUSG00000015396"	1389.60764086495	-3.61895200226314	0.192082411899282	-18.8406214107761	3.50822633736607e-79	3.46963584765505e-76	"Cd83"
"ENSMUSG00000027540"	4420.43665055925	-2.07204204753438	0.116235596447811	-17.8262263098096	4.42285209654543e-71	3.827425633048e-68	"Ptpn1"
"ENSMUSG00000020077"	1083.2288487559	-3.93312165165339	0.238063008632815	-16.5213473283444	2.57579076775637e-61	1.98135549835304e-58	"Srgn"
"ENSMUSG00000063234"	1367.89476783472	-3.28254238080212	0.203061056037779	-16.16529749649	8.86091391295701e-59	6.13441070194014e-56	"Gpr84"
"ENSMUSG00000049130"	620.920023955288	-3.99943719378258	0.247501292956777	-16.1592577800433	9.77312594300267e-59	6.15085008212795e-56	"C5ar1"
"ENSMUSG00000022952"	1325.21378225116	-3.50457616992945	0.220730254649337	-15.8771899008453	9.11724405307725e-57	5.25989004828782e-54	"Runx1"
"ENSMUSG00000037405"	1029.01261594715	-3.28264817147668	0.213996601974933	-15.3397210104355	4.14974586125968e-53	2.20989927673083e-50	"Icam1"
"ENSMUSG00000038612"	2102.28287138594	-2.60306866988475	0.188209245950206	-13.8307162155755	1.66355872801161e-43	8.22629791001739e-41	"Mcl1"
"ENSMUSG00000004040"	2184.97073635818	-2.62066767326722	0.196270191390198	-13.3523468576905	1.14775110417317e-40	5.29725392946056e-38	"Stat3"
"ENSMUSG00000028381"	616.637099106328	-3.64500442543918	0.278679452865596	-13.0795592856181	4.30931402113398e-39	1.86458631051941e-36	"Ugcg"
"ENSMUSG00000024014"	487.254814137014	-4.85586440955076	0.373265440354615	-13.0091454621074	1.08549135623489e-38	4.42050391718481e-36	"Pim1"
"ENSMUSG00000029135"	1271.88248853722	-5.23430108778996	0.415577512428952	-12.5952462085754	2.24259083170968e-36	8.6252535155145e-34	"Fosl2"
"ENSMUSG00000010307"	514.903519273831	3.25848335941223	0.26405561456559	12.3401404085761	5.50597813258602e-35	2.00620455852069e-32	"Tmem86a"
"ENSMUSG00000021281"	579.497746466443	-3.37629225245439	0.280045996042375	-12.0562061238808	1.79879817661498e-33	6.22653988835276e-31	"Tnfaip2"
"ENSMUSG00000032501"	1462.49394478178	-1.95025052063818	0.169840716104035	-11.4828208769655	1.60942394905246e-30	5.30573428537629e-28	"Trib1"
"ENSMUSG00000025402"	493.235280879881	-3.40307699882014	0.297512333145235	-11.4384400903437	2.68672703374503e-30	8.45464147937131e-28	"Nab2"
"ENSMUSG00000036353"	8378.59837480517	1.50572466247634	0.13481445497812	11.1688665931314	5.79151501141894e-29	1.7432460184371e-26	"P2ry12"
"ENSMUSG00000052423"	414.087710957437	-3.32947195411942	0.29967622569665	-11.1102305375726	1.11870323398732e-28	3.22699270370593e-26	"B4galt3"
"ENSMUSG00000040229"	1431.89784917492	2.63922247125903	0.248458871066227	10.6223716622923	2.34525620411425e-26	6.49448348043317e-24	"Gpr34"
"ENSMUSG00000021025"	4958.0620984398	-3.25870363062629	0.312694897005427	-10.4213521289723	1.98116346552636e-25	5.27522871993807e-23	"Nfkbia"
"ENSMUSG00000072844"	396.843991598391	-3.59120533660662	0.353053044487963	-10.1718577213093	2.64809211093231e-24	6.78990432740163e-22	"G530011O06Rik"
"ENSMUSG00000039942"	167.950368133782	-7.55743916523619	0.755998837979901	-9.9966280178821	1.57674741529367e-23	3.8985079843136e-21	"Ptger4"
"ENSMUSG00000002897"	1925.29921866832	-1.56060234686453	0.157053875544902	-9.93673248399622	2.8812321557713e-23	6.87819662565679e-21	"Il17ra"
"ENSMUSG00000027368"	293.317951902975	-11.7877518692254	1.22972542186156	-9.58567795677599	9.18523988694651e-22	2.11964719124436e-19	"Dusp2"
"ENSMUSG00000053716"	551.441360415594	2.43980833609538	0.255666503511801	9.54293308893614	1.38848630989184e-21	3.10080345915523e-19	"Dusp7"
"ENSMUSG00000039191"	664.391699643691	-2.55492517963308	0.272817567173487	-9.36495844495372	7.60802238261583e-21	1.64594809233904e-18	"Rbpj"
"ENSMUSG00000023067"	344.410589060902	-3.6906518304878	0.396794807207079	-9.30115960051293	1.38922180032403e-20	2.91441894655856e-18	"Cdkn1a"
"ENSMUSG00000025612"	993.052898385893	-2.57420282997187	0.27909160461751	-9.22350506923977	2.87543743907349e-20	5.85489805608993e-18	"Bach1"
"ENSMUSG00000018930"	465.013914451209	-2.78170940196576	0.302515603651629	-9.1952592474176	3.74091434302874e-20	7.29449173228558e-18	"Ccl4"
"ENSMUSG00000053175"	222.691274009919	-11.3902478575347	1.23890970729679	-9.19376754451893	3.79317784720902e-20	7.29449173228558e-18	"Bcl3"
"ENSMUSG00000039633"	314.344896198495	-3.41198923309445	0.372935124586869	-9.14901549397955	5.74547501620716e-20	1.07502496046492e-17	"Lonrf1"
"ENSMUSG00000069662"	7617.67844006479	1.12567846164004	0.12330671355837	9.12909304899429	6.90755332883691e-20	1.25844714988258e-17	"Marcks"
"ENSMUSG00000037447"	277.515451225576	-9.86155401629559	1.10961466679043	-8.8873681210615	6.25734233565196e-19	1.11075848691586e-16	"Arid5a"
"ENSMUSG00000020108"	517.684226100449	-3.2546439298786	0.36688351557146	-8.87105523072941	7.2456004998525e-19	1.25403230651197e-16	"Ddit4"
"ENSMUSG00000030203"	618.605222414299	-2.57820399332229	0.291560464648277	-8.84277639093662	9.33689694570058e-19	1.57656920866061e-16	"Dusp16"
"ENSMUSG00000020893"	242.526312579486	-3.98991427965442	0.469442670818641	-8.49925779583816	1.90806730933781e-17	3.14513094822516e-15	"Per1"
"ENSMUSG00000030795"	2475.54976427605	-1.42612684973155	0.169250051406387	-8.42615312598796	3.57214658452829e-17	5.75115600109054e-15	"Fus"
"ENSMUSG00000074656"	1392.94271951324	-1.56674853227016	0.186616840537713	-8.39553669302174	4.63770937574615e-17	7.29701409279331e-15	"Eif2s2"
"ENSMUSG00000019122"	412.793902426158	-2.8553213159967	0.340489696473465	-8.38592575801841	5.03280925691005e-17	7.74269744124184e-15	"Ccl9"
"ENSMUSG00000030921"	995.826925646491	-1.68423104374328	0.201371997905707	-8.36377977702707	6.07402494636758e-17	9.14140754428321e-15	"Trim30a"
"ENSMUSG00000105504"	144.19317416474	-5.30249869246674	0.634801101660283	-8.35300801872962	6.65461306630551e-17	9.80210345915597e-15	"Gbp5"
"ENSMUSG00000027399"	408.409241263333	-2.63098833707166	0.316976915547315	-8.30025218880309	1.0389062595293e-16	1.49840584056694e-14	"Il1a"
"ENSMUSG00000020032"	348.282617465798	2.841910532678	0.343094996372586	8.28315936613605	1.19949730940897e-16	1.69471834143638e-14	"Nuak1"
"ENSMUSG00000030737"	3711.07165796848	0.977711239241307	0.118198411705804	8.27177984146548	1.31973836616738e-16	1.82730974179535e-14	"Slco2b1"
"ENSMUSG00000020423"	1225.58789409293	-1.84049316588852	0.223757535370832	-8.22539076879925	1.945555033086e-16	2.64099558706949e-14	"Btg2"
"ENSMUSG00000038059"	390.094232694652	-3.02030491146855	0.367344194905989	-8.22200256149825	2.00132912993447e-16	2.66446183971852e-14	"Smim3"
"ENSMUSG00000022951"	1178.587921793	-5.15527511590609	0.631416818357323	-8.16461482498664	3.22462470169297e-16	4.21208996411706e-14	"Rcan1"
"ENSMUSG00000024679"	2777.08643344387	-2.77221897255214	0.343965216870407	-8.05959101846222	7.65501268077504e-16	9.81400977574178e-14	"Ms4a6d"
"ENSMUSG00000026121"	1358.97487133841	-1.86077440174766	0.231414247487984	-8.04088089625629	8.91949214284898e-16	1.12272080190806e-13	"Sema4c"
"ENSMUSG00000029860"	325.886268008326	-2.54518271360365	0.31852413326562	-7.99054905984533	1.34339092642236e-15	1.66076703278964e-13	"Zyx"
"ENSMUSG00000036362"	6590.07530970147	0.912037540528839	0.114275157766883	7.98106568699173	1.45075231362863e-15	1.76202776618439e-13	"P2ry13"
"ENSMUSG00000021886"	303.229157752893	-3.34088707941634	0.419083285925662	-7.97189291870006	1.562621775547e-15	1.8651776813986e-13	"Gpr65"
"ENSMUSG00000031665"	1132.46430021138	3.71695078701974	0.468070122755328	7.94101269514843	2.00537147124063e-15	2.35308249074557e-13	"Sall1"
"ENSMUSG00000079227"	6644.44531801521	-1.01297243347188	0.127829835966544	-7.92438186134412	2.29284017096174e-15	2.64555541726136e-13	"Ccr5"
"ENSMUSG00000028678"	111.608499307613	-10.3934604509185	1.31862232790605	-7.882060109981	3.22027031894604e-15	3.65474285542024e-13	"Kif2c"
"ENSMUSG00000022462"	1335.91274770346	-1.52109542704571	0.193469846066613	-7.86218347701581	3.77494542516716e-15	4.21515277071487e-13	"Slc38a2"
"ENSMUSG00000039982"	589.138703583507	2.16287844071698	0.275266988333325	7.85738403944727	3.92238843804341e-15	4.31026907247214e-13	"Dtx4"
"ENSMUSG00000026317"	307.856934850893	3.00137961021929	0.385533693527303	7.78499949708478	6.9713484737296e-15	7.54103835681719e-13	"Cln8"
"ENSMUSG00000038400"	791.697519516463	1.8008853000757	0.23155174930984	7.77746359266725	7.39930542878168e-15	7.88082945899317e-13	"Pmepa1"
"ENSMUSG00000042364"	1178.43528896766	-1.63745216627427	0.211226678754361	-7.75210866321718	9.0378997971853e-15	9.45636551573222e-13	"Snx18"
"ENSMUSG00000019979"	253.120435174771	-3.82199275925785	0.493127323300707	-7.75051914316094	9.15176209091519e-15	9.45636551573222e-13	"Apaf1"
"ENSMUSG00000037820"	1115.01624912022	-3.46606434227548	0.447894921029651	-7.73856585448091	1.00544467872825e-14	1.0236313986523e-12	"Tgm2"
"ENSMUSG00000058755"	470.282808242302	-3.12939970171349	0.406855241098495	-7.69167847823273	1.45217176214931e-14	1.45701233468981e-12	"Osm"
"ENSMUSG00000040687"	255.843741016834	3.13405557625208	0.41367114272541	7.57620063996689	3.5582138912099e-14	3.46950912237269e-12	"Madd"
"ENSMUSG00000027315"	873.977437257387	-1.74955015205704	0.230892591038057	-7.57733344405438	3.52729400285002e-14	3.46950912237269e-12	"Spint1"
"ENSMUSG00000027995"	722.690190698872	-2.23976029951555	0.299536589955039	-7.4774180338093	7.57970124821659e-14	7.28809329741714e-12	"Tlr2"
"ENSMUSG00000035621"	437.562199465767	-2.71597834494488	0.366294713511649	-7.41473530673412	1.21867954786281e-13	1.15574226162387e-11	"Midn"
"ENSMUSG00000042265"	86.4719062990046	-10.0256136818603	1.36555839007774	-7.34176857958413	2.10789643261401e-13	1.97202256797119e-11	"Trem1"
"ENSMUSG00000035352"	4486.54086507556	-6.10798854696076	0.836276658702741	-7.30378934219648	2.79774292376157e-13	2.58250323482685e-11	"Ccl12"
"ENSMUSG00000061232"	1833.9401900753	-1.18537147626875	0.162363062867022	-7.300745966092	2.86176615863401e-13	2.60684304160832e-11	"H2-K1"
"ENSMUSG00000070476"	494.504703185064	-2.2707936024028	0.311941304763325	-7.27955409472204	3.34925352284371e-13	3.01128339462948e-11	"Fam217b"
"ENSMUSG00000026360"	2057.91434367586	4.12709331260655	0.567489186540425	7.27254969872903	3.52764730784278e-13	3.13101311694815e-11	"Rgs2"
"ENSMUSG00000024677"	683.225567057671	-1.84341720420951	0.25353933991262	-7.27073441480453	3.57538277967998e-13	3.13321202325627e-11	"Ms4a6b"
"ENSMUSG00000024235"	273.089506644073	-3.39915704598726	0.467855351662968	-7.26540165438982	3.71931446680262e-13	3.21860175670932e-11	"Map3k8"
"ENSMUSG00000048779"	1500.49146764209	-1.24428122298644	0.173187703782059	-7.18458179081957	6.7413215749309e-13	5.76174929175884e-11	"P2ry6"
"ENSMUSG00000021453"	329.601116482267	-2.48278998323487	0.346266090289156	-7.17017938765405	7.48995573386818e-13	6.32353213970358e-11	"Gadd45g"
"ENSMUSG00000028525"	434.869089796671	-2.44390470566577	0.34282306146635	-7.1287640195864	1.01274188727387e-12	8.4472434766229e-11	"Pde4b"
"ENSMUSG00000046794"	580.124544339277	-2.25064868557818	0.31704803529299	-7.09876244304215	1.25878964883457e-12	1.03745246891449e-10	"Ppp1r3b"
"ENSMUSG00000031799"	414.724226219687	-2.50144924032173	0.356394543299145	-7.01876414034236	2.23839267702372e-12	1.82310500035709e-10	"Tpm4"
"ENSMUSG00000026981"	239.183150929668	-8.10705325057653	1.15586772050515	-7.01382442537065	2.31890366697079e-12	1.84526092947572e-10	"Il1rn"
"ENSMUSG00000035042"	101.691933237115	-9.29574749142456	1.32522567577924	-7.01446377120532	2.30832528893724e-12	1.84526092947572e-10	"Ccl5"
"ENSMUSG00000040188"	2124.71350772674	0.939505118393005	0.135197259469104	6.94914321549324	3.67511318292384e-12	2.89122824606611e-10	"Scamp2"
"ENSMUSG00000037824"	2170.46939882613	1.09472361057594	0.15845454953053	6.90875467961877	4.88926604926583e-12	3.80318975944577e-10	"Tspan14"
"ENSMUSG00000032640"	692.866047741113	-1.63411868227929	0.236771863013997	-6.90165909697929	5.13986629734808e-12	3.9536993751712e-10	"Chsy1"
"ENSMUSG00000027660"	954.939149075655	-1.38282186885894	0.200655634701487	-6.89151775336959	5.52002310977721e-12	4.19946373505358e-10	"Skil"
"ENSMUSG00000079419"	467.77550580504	-2.40285033205119	0.349295637505189	-6.87913066768689	6.02189061631191e-12	4.53147268877472e-10	"Ms4a6c"
"ENSMUSG00000035133"	641.557270340965	1.88895077003162	0.274986723251913	6.86924353180922	6.45432410060196e-12	4.80465438155563e-10	"Arhgap5"
"ENSMUSG00000052040"	498.926456043531	-1.96087708323148	0.289830123475053	-6.76560828019059	1.32750268198696e-11	9.77691602914439e-10	"Klf13"
"ENSMUSG00000007613"	3869.98712547389	0.834498045571512	0.123463733966136	6.75905400528708	1.38895619376721e-11	1.01218355046846e-09	"Tgfbr1"
"ENSMUSG00000022372"	1900.73751300829	-1.0557083196897	0.156315514031362	-6.75370148786311	1.44120122746532e-11	1.0393162601815e-09	"Sla"
"ENSMUSG00000038733"	1216.39940258368	-1.29938621904269	0.192631339736107	-6.74545596174934	1.52547200638057e-11	1.08874667012089e-09	"Wdr26"
"ENSMUSG00000100280"	71.0635560697779	9.61890797141056	1.42840766646865	6.73400752264982	1.65052638610641e-11	1.16597899704231e-09	"Gm28417"
"ENSMUSG00000021133"	599.710199438746	-2.26798440260525	0.338781865729784	-6.69452716342916	2.16370093782773e-11	1.51306076692741e-09	"Susd6"
"ENSMUSG00000024381"	808.301847562037	1.80967486867303	0.272211953797947	6.64803600071247	2.97029665911486e-11	2.05633637710522e-09	"Bin1"
"ENSMUSG00000037902"	4138.50365759949	0.942342952571896	0.141999389653414	6.63624649987528	3.2177157316825e-11	2.20556891192455e-09	"Sirpa"
"ENSMUSG00000031762"	2772.21993807303	-8.28321910259745	1.25444913431906	-6.60307291542253	4.02721334535656e-11	2.73337235195132e-09	"Mt2"
"ENSMUSG00000063253"	1081.58719539872	1.44208890893447	0.21880426060495	6.59077160996492	4.37546538303076e-11	2.94090746084679e-09	"Scoc"
"ENSMUSG00000039159"	597.615742565284	-1.70578753191792	0.259944211630344	-6.56212931697687	5.30447811860282e-11	3.49741923953212e-09	"Ube2h"
"ENSMUSG00000040274"	684.836274963478	-1.95839674575174	0.29843088669526	-6.56231252548448	5.29796288783667e-11	3.49741923953212e-09	"Cdk6"
"ENSMUSG00000046223"	84.6199119251169	-9.03050580856539	1.38757615118184	-6.5081154651396	7.60994177976889e-11	4.97015348503208e-09	"Plaur"
"ENSMUSG00000032737"	236.512803474294	2.74038387175368	0.424974255803496	6.44835265743911	1.13072415467952e-10	7.31589095593116e-09	"Inppl1"
"ENSMUSG00000053907"	1245.44929031208	-1.48110164582799	0.229877384961304	-6.44300719741228	1.17129138456936e-10	7.50819468090155e-09	"Mat2a"
"ENSMUSG00000037857"	1720.84943783787	-1.16997396655404	0.182916957778009	-6.39620284945879	1.59288363827069e-10	1.01170031447229e-08	"Nufip2"
"ENSMUSG00000023150"	1839.9552680466	1.05366935352129	0.164928653766177	6.38863732565899	1.6737048086329e-10	1.05336894456051e-08	"Ivns1abp"
"ENSMUSG00000024772"	79.4560616984079	-8.93893127136232	1.40477220178766	-6.36326036348596	1.975154530402e-10	1.23189142468226e-08	"Ehd1"
"ENSMUSG00000054855"	61.3224185590748	-9.52952812569222	1.49972098739347	-6.35420068519188	2.09513165572614e-10	1.29505325469572e-08	"Rnd1"
"ENSMUSG00000027447"	44364.2167464065	0.371673748234972	0.058918894791537	6.30822675051872	2.82250500713257e-10	1.729221430476e-08	"Cst3"
"ENSMUSG00000032344"	445.287638567144	-1.88658340438645	0.299366965647333	-6.30190909777578	2.94001589581313e-10	1.78541491637844e-08	"Cgas"
"ENSMUSG00000024732"	250.203846077156	-2.2715468783963	0.36343828503838	-6.25015847781811	4.10036410954206e-10	2.46841919394432e-08	"Ccdc86"
"ENSMUSG00000021149"	451.193128540484	-2.15065759760329	0.345880233512911	-6.21792571307204	5.03769943686608e-10	3.00655113805378e-08	"Gtpbp4"
"ENSMUSG00000018932"	319.2563518018	-2.48923785164768	0.401803952673002	-6.19515521210785	5.82276219009592e-10	3.44538313179778e-08	"Map2k3"
"ENSMUSG00000026821"	115.80657032242	-4.78240382252937	0.776816656851389	-6.15641255932065	7.44112282098021e-10	4.36566892285136e-08	"Ralgds"
"ENSMUSG00000027199"	348.421417031398	-2.28931991145065	0.371961809094662	-6.15471764970373	7.5211368939342e-10	4.37553199300054e-08	"Gatm"
"ENSMUSG00000053641"	682.381056808729	-1.52889475080106	0.248921458336863	-6.14207694674526	8.14493821487798e-10	4.66644659115083e-08	"Dennd4a"
"ENSMUSG00000017009"	107.167834704335	-4.80215387257207	0.781872722092127	-6.14186137575245	8.15600227544779e-10	4.66644659115083e-08	"Sdc4"
"ENSMUSG00000049625"	212.225681851404	3.24893814507491	0.529238791909676	6.13888889994557	8.31006577986165e-10	4.7156217536051e-08	"Tifab"
"ENSMUSG00000019189"	330.223368386355	1.92519431372434	0.314261520942926	6.12608985009646	9.00649586129688e-10	5.06926592258198e-08	"Rnf145"
"ENSMUSG00000020644"	968.363103620577	-4.69034414472002	0.770527399786065	-6.08718670617331	1.14911939257827e-09	6.41560770549946e-08	"Id2"
"ENSMUSG00000013846"	182.27691234384	-3.40244409184541	0.560045522835905	-6.07529915535516	1.23756787359185e-09	6.85414591110112e-08	"St3gal1"
"ENSMUSG00000027459"	195.629693218074	2.62983913003311	0.435196414925585	6.04287866314982	1.51388506475139e-09	8.3179573835507e-08	"Fam110a"
"ENSMUSG00000022003"	289.065212670564	-2.66971811318193	0.442853340597256	-6.02844749817492	1.65542155816846e-09	9.02400271433091e-08	"Slc25a30"
"ENSMUSG00000044197"	585.04211582327	-1.58864342934369	0.266672450849637	-5.9572836424691	2.56464904427387e-09	1.38711447918031e-07	"Gpr146"
"ENSMUSG00000037235"	270.403371188898	2.40019971258956	0.405661424852076	5.91675610631401	3.28353029123908e-09	1.76216125629831e-07	"Mxd4"
