"LPS_cells_rep1"	"LPS_cells_rep2"	"LPS_cells_rep3"	"LPS_nuc_rep1"	"LPS_nuc_rep2"	"LPS_nuc_rep3"	"PBS_cells_rep1"	"PBS_cells_rep2"	"PBS_cells_rep3"	"PBS_nuc_rep1"	"PBS_nuc_rep2"	"PBS_nuc_rep3"
"ENSMUSG00000000001"	201	332	331	399	229	113	255	97	50	279	150	181
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000028"	0	0	0	0	0	35	35	0	0	0	0	0
"ENSMUSG00000000037"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000056"	0	0	13	0	0	0	150	27	0	126	139	0
"ENSMUSG00000000058"	21	0	18	16	0	0	30	10	0	0	24	0
"ENSMUSG00000000078"	750	1233	887	1427	818	810	748	569	834	737	988	783
"ENSMUSG00000000085"	140	79	186	150	0	0	212	46	267	40	152	80
"ENSMUSG00000000088"	260	332	672	191	93	229	163	210	226	162	136	71
"ENSMUSG00000000093"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000127"	129	22	43	77	94	88	116	17	58	17	99	49
"ENSMUSG00000000131"	67	221	27	140	22	54	12	82	118	69	170	197
"ENSMUSG00000000134"	148	305	273	365	154	389	232	174	406	335	252	315
"ENSMUSG00000000142"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000148"	0	21	17	0	0	0	83	0	43	25	94	44
"ENSMUSG00000000149"	241	25	124	299	257	362	136	204	320	280	237	265
"ENSMUSG00000000154"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000157"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000167"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000168"	35	93	0	71	23	112	41	32	40	23	36	0
"ENSMUSG00000000171"	9	5	18	7	4	4	34	17	67	43	6	6
"ENSMUSG00000000182"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000184"	74	99	40	15	90	83	0	0	16	1	0	0
"ENSMUSG00000000202"	1	0	0	0	0	0	22	0	1	12	0	0
"ENSMUSG00000000204"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000244"	0	11	3	28	0	0	94	0	25	35	0	0
"ENSMUSG00000000247"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000248"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000253"	6	31	30	58	1	0	185	117	177	86	149	56
"ENSMUSG00000000263"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000275"	184	228	110	165	354	74	162	29	41	43	114	23
"ENSMUSG00000000276"	0	28	54	0	0	0	1	0	0	1	0	0
"ENSMUSG00000000278"	243	86	123	110	129	171	228	170	174	62	242	107
"ENSMUSG00000000282"	100	81	55	32	21	84	165	206	102	194	59	71
"ENSMUSG00000000290"	1131	1387	1275	1994	1367	1679	1368	1032	1387	1490	1291	1118
"ENSMUSG00000000301"	0	0	0	0	0	0	0	0	0	0	26	0
"ENSMUSG00000000303"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000305"	0	0	0	0	0	0	0	0	0	3	0	0
"ENSMUSG00000000308"	0	0	25	0	0	0	27	28	54	0	0	0
"ENSMUSG00000000317"	0	0	0	0	57	0	0	0	0	0	0	0
