"LPS_cells_rep1"	"LPS_cells_rep2"	"LPS_cells_rep3"	"LPS_nuc_rep1"	"LPS_nuc_rep2"	"LPS_nuc_rep3"	"PBS_cells_rep1"	"PBS_cells_rep2"	"PBS_cells_rep3"	"PBS_nuc_rep1"	"PBS_nuc_rep2"	"PBS_nuc_rep3"
"ENSMUSG00000000001"	88	134	134	187	209	377	94	50	99	67	72	83
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000028"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000056"	0	0	0	0	0	0	0	0	0	74	24	0
"ENSMUSG00000000058"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000078"	0	7	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000085"	157	85	98	41	305	238	198	144	195	250	261	61
"ENSMUSG00000000088"	50	11	82	57	26	0	0	2	0	7	3	0
"ENSMUSG00000000093"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000127"	73	100	165	52	33	122	156	152	54	196	57	81
"ENSMUSG00000000131"	110	66	47	192	79	38	44	97	1	72	0	0
"ENSMUSG00000000134"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000142"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000148"	0	0	48	0	0	0	0	0	0	17	7	0
"ENSMUSG00000000149"	68	37	175	16	70	122	244	153	53	386	365	412
"ENSMUSG00000000154"	1	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000157"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000167"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000168"	10	37	92	93	1	24	104	22	85	42	105	0
"ENSMUSG00000000171"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000182"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000184"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000204"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000244"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000247"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000248"	0	0	0	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000253"	14	13	14	0	0	0	0	10	0	53	50	23
"ENSMUSG00000000263"	0	32	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000275"	33	117	4	93	122	0	54	2	22	0	3	108
"ENSMUSG00000000276"	2	1	0	0	1	27	1	6	0	1	0	0
"ENSMUSG00000000278"	0	16	31	26	0	32	1	18	0	1	0	0
"ENSMUSG00000000282"	0	0	0	0	0	0	0	36	0	0	0	0
"ENSMUSG00000000290"	25	92	45	25	0	111	0	22	95	33	0	39
"ENSMUSG00000000301"	0	2	0	1	2	1	1	0	0	1	0	0
"ENSMUSG00000000303"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000305"	2	55	1	0	57	0	0	0	0	0	1	0
"ENSMUSG00000000308"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000317"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000318"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000320"	0	35	32	0	0	1	0	4	2	0	0	0
"ENSMUSG00000000326"	294	255	520	265	150	356	251	304	342	496	534	346
"ENSMUSG00000000339"	42	45	6	32	1	119	29	0	82	149	62	2
"ENSMUSG00000000346"	82	35	37	80	51	40	30	30	113	129	92	39
"ENSMUSG00000000355"	62	256	245	50	1	112	208	72	69	207	211	192
"ENSMUSG00000000359"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000374"	70	3	38	31	0	0	66	19	65	17	98	0
