"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000028976"	-9.90962939903762	8.91477798165321	51.7184560217509	6.61199018708108e-13	3.61675863233335e-09	"Slc2a5"
"ENSMUSG00000021025"	5.98566342964988	10.8171122202949	39.61230265932	3.15604588725322e-10	8.63178550163756e-07	"Nfkbia"
"ENSMUSG00000023944"	7.4114767903937	10.0596325133174	37.5346971927603	9.13341827480589e-10	1.66532659877294e-06	"Hsp90ab1"
"ENSMUSG00000026249"	-8.346203033585	8.94513772051295	36.6946113916306	1.40416724333687e-09	1.92019870526317e-06	"Serpine2"
"ENSMUSG00000036887"	4.71719276140039	12.1156989881637	28.8392343686095	7.94436305596458e-08	8.69113318322525e-05	"C1qa"
"ENSMUSG00000019818"	6.89127908419962	9.93327542816615	27.0466362225732	2.0039309822892e-07	0.000164431631653895	"Cd164"
"ENSMUSG00000020101"	-4.98705062025078	10.915884736744	26.9521045371033	2.10424391513211e-07	0.000164431631653895	"Vsir"
"ENSMUSG00000023150"	-5.78234442584399	9.37961212634406	25.4985467284081	4.46270773257424e-07	0.000305137641214763	"Ivns1abp"
"ENSMUSG00000021127"	7.22674829079925	8.30551985932897	23.2175886130259	1.45637265092918e-06	0.000800582077623121	"Zfp36l1"
"ENSMUSG00000038612"	6.09804739263984	9.56074635130621	23.0506975732492	1.58827659956912e-06	0.000800582077623121	"Mcl1"
"ENSMUSG00000022951"	-5.03188147360397	8.76756524227118	23.0246173312465	1.60994567712145e-06	0.000800582077623121	"Rcan1"
"ENSMUSG00000064373"	-5.67777509109521	10.7113077527996	22.6498462168671	1.95617233293867e-06	0.000891688555097876	"Selenop"
"ENSMUSG00000029580"	3.93925350704492	11.8643984716573	22.3946294605373	2.23381143383345e-06	0.000939919118697613	"Actb"
"ENSMUSG00000079419"	7.44591832820344	7.55801581385153	18.7603132273351	1.48879125307857e-05	0.00548115007487731	"Ms4a6c"
"ENSMUSG00000016559"	-6.34557145564308	9.06375279355482	18.7421104744715	1.50305760737038e-05	0.00548115007487731	"H3f3b"
"ENSMUSG00000019850"	8.36105252039371	6.9903182100787	17.3055788476935	3.19465236179384e-05	0.0109217177618827	"Tnfaip3"
"ENSMUSG00000010517"	9.56955442198906	6.49578465979221	17.00797985182	3.73604437349709e-05	0.0113534237350161	"Faf1"
"ENSMUSG00000024587"	-7.34299575882976	7.92160820662204	17.0722647420504	3.61177782508399e-05	0.0113534237350161	"Nars"
"ENSMUSG00000043131"	-6.25589838019975	8.65837622276408	16.5165752813821	4.83950008759865e-05	0.0139326660416656	"Mob1a"
"ENSMUSG00000020585"	4.03659599256234	9.93518157431399	15.9546832873479	6.50891759197399e-05	0.0178018896140489	"Laptm4a"
"ENSMUSG00000034445"	-7.58686735125166	7.21373686591744	15.6259986059584	7.74286194985099e-05	0.0201683118408023	"Cyb561a3"
"ENSMUSG00000030082"	6.25288583262489	8.28951697883052	15.4481767280692	8.50595234408431e-05	0.0211488906009733	"Sec61a1"
"ENSMUSG00000020009"	4.68229377413333	9.45034085798346	15.2614882484466	9.38870215114212e-05	0.0217777883076895	"Ifngr1"
"ENSMUSG00000002015"	-7.66314757942044	7.02443083069882	15.2282741821284	9.55515391927877e-05	0.0217777883076895	"Bcap31"
"ENSMUSG00000024679"	3.96870155765676	10.0084394200443	15.0948213227363	0.000102544399172153	0.0224367145388671	"Ms4a6d"
"ENSMUSG00000027848"	-5.24217429402678	9.47477008842645	14.263956529269	0.000159298650697803	0.0310285133025036	"Olfml3"
"ENSMUSG00000060063"	-5.38928654539361	8.61633634669835	14.2034259206579	0.000164502172901756	0.0310285133025036	"Alox5ap"
"ENSMUSG00000032434"	-5.85877135588891	8.70227389082476	14.2559786195985	0.000159974873491028	0.0310285133025036	"Cmtm6"
"ENSMUSG00000018481"	-9.27572324092565	6.36521688965683	14.3070274773768	0.000155697287359482	0.0310285133025036	"Appbp2"
"ENSMUSG00000057113"	6.65091058239331	7.36095886503057	13.7490199584475	0.000209445655280565	0.0381889244794896	"Npm1"
"ENSMUSG00000027315"	4.56650119321985	8.32997733266005	13.6744428422147	0.000217924284234658	0.0384530914439865	"Spint1"
"ENSMUSG00000027447"	-2.68989098417572	13.9452580758695	13.2338251054441	0.000275574041032108	0.0471059376389259	"Cst3"
"ENSMUSG00000021556"	-3.40422067383647	9.65699401553112	13.1230364531665	0.000292346788165547	0.0484586948868345	"Golm1"
"ENSMUSG00000041986"	15.8814216882569	5.31229999987769	13.0158628462006	0.00030955151304837	0.049801375775723	"Elmod1"
"ENSMUSG00000015733"	4.01812378696743	8.54667349367906	12.933766499271	0.000323418278098519	0.0505456566056828	"Capza2"
"ENSMUSG00000058444"	-10.2729052972316	5.94229377442003	12.8091336445252	0.000345677014636099	0.0525237019460961	"Map2k5"
"ENSMUSG00000026656"	4.38676063568801	8.68183281254585	12.692585418351	0.000367888581131069	0.0543878523996472	"Fcgr2b"
"ENSMUSG00000062232"	8.69283656622695	6.30884506701497	12.6181188323273	0.000382828663786938	0.054718288196676	"Rapgef2"
"ENSMUSG00000024413"	-6.73043205685566	7.18769086304381	12.5827844351558	0.000390130391164601	0.054718288196676	"Npc1"
"ENSMUSG00000032238"	7.23384878697448	6.89606449246835	12.0360294541503	0.000522824436717461	0.0714962417211127	"Rora"
"ENSMUSG00000066892"	10.3522180907172	6.14078326882149	11.8653367216207	0.000572956118550882	0.0764407309383737	"Fbxl12"
