"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSG00000110944"	2232.20778202553	-8.24607544919519	0.479008313932991	-17.2148900328873	2.05337400485538e-66	9.20322228976179e-63	"IL23A"
"ENSG00000167034"	259.895516419169	-7.60400927008215	0.500149977040164	-15.2034582008419	3.35435490205337e-52	7.51710933550159e-49	"NKX3-1"
"ENSG00000166165"	3246.87684936528	-6.95264071756443	0.460402735993932	-15.1012150319977	1.58976699120321e-51	2.3751118848576e-48	"CKB"
"ENSG00000131459"	354.580421081348	-7.3712355065314	0.507386153250457	-14.5278609976035	8.07012611486703e-48	9.0425763117085e-45	"GFPT2"
"ENSG00000138166"	3245.02895513344	-3.59841074111993	0.25022714045502	-14.3805773209752	6.85205781977257e-47	5.86718766433313e-44	"DUSP5"
"ENSG00000176928"	261.619993840482	-4.01587439491918	0.279440475850222	-14.371126382821	7.85433422266817e-47	5.86718766433313e-44	"GCNT4"
"ENSG00000110218"	1931.76400733484	-2.61888790851894	0.199333279782076	-13.1382371843882	1.98804267605104e-39	1.27291532486582e-36	"PANX1"
"ENSG00000136492"	511.279842975849	-3.41538949783604	0.261228285457473	-13.0743479476385	4.61504278935107e-39	2.58557772273394e-36	"BRIP1"
"ENSG00000115009"	3499.84117521263	-6.14795872094796	0.471864641759202	-13.0290726976855	8.36176828404734e-39	4.16416060545558e-36	"CCL20"
"ENSG00000134594"	194.005528187576	-4.42600339728994	0.340072910684486	-13.0148661014529	1.00718686064043e-38	4.51421150939043e-36	"RAB33A"
"ENSG00000147454"	333.359427620324	-2.8583304651734	0.22626794396049	-12.6325029305632	1.39760852552457e-36	5.69461946491011e-34	"SLC25A37"
"ENSG00000102871"	515.3067804904	-2.25734210542223	0.186004976236305	-12.135923194627	6.81371717587625e-34	2.54492336518978e-31	"TRADD"
"ENSG00000162897"	735.342837415163	-9.46494660052633	0.79016531919757	-11.9784383983572	4.6092411682728e-33	1.58912453201528e-30	"FCAMR"
"ENSG00000152749"	671.864200132711	-1.93247321089591	0.162467496885954	-11.8945219686153	1.26374537487977e-32	4.04579055015082e-30	"GPR180"
"ENSG00000126561"	4081.54498701197	-2.29415409676656	0.193427548474819	-11.8605344215755	1.89760047807067e-32	5.67003022847516e-30	"STAT5A"
"ENSG00000138035"	3024.93974948057	-3.14120667282989	0.265535812116001	-11.8296912487934	2.74148312003117e-32	7.67957958998731e-30	"PNPT1"
"ENSG00000110330"	1857.46827505855	-1.51494348451131	0.129765040751461	-11.6745116846445	1.72050851850591e-31	4.5360701058491e-29	"BIRC2"
"ENSG00000189067"	30107.4048062087	-2.06625542054158	0.177439496153202	-11.64484494905	2.43764584131719e-31	6.06973814487981e-29	"LITAF"
"ENSG00000188706"	725.626290995046	-2.2975586795333	0.20033543201056	-11.4685587890024	1.89793837369816e-30	4.4771367320606e-28	"ZDHHC9"
"ENSG00000067221"	317.189157347682	-2.50176635707206	0.220550696299747	-11.3432711800281	8.00935207138161e-30	1.79489579919662e-27	"STOML1"
"ENSG00000026751"	80826.0957764484	-4.10595248139599	0.362962355506541	-11.3123369933662	1.14011713631767e-29	2.43333571665514e-27	"SLAMF7"
"ENSG00000184898"	794.306392024868	-1.71692630615556	0.154559555409742	-11.1085096072122	1.14047077044662e-28	2.32344999688262e-26	"RBM43"
"ENSG00000125657"	623.278086502945	-4.83740028820124	0.438513175226445	-11.0313681811345	2.69729988749839e-28	5.25621656337729e-26	"TNFSF9"
"ENSG00000197272"	1632.34844339456	-6.781536347873	0.625217258154018	-10.8466877064395	2.06783678853503e-27	3.86168520258916e-25	"IL27"
"ENSG00000073756"	12667.2130282605	-7.01200633519327	0.647490730421232	-10.8295084481465	2.49491008821271e-27	4.47287480614775e-25	"PTGS2"
"ENSG00000117090"	4697.54494636559	-6.32104942429746	0.594580681481054	-10.6311046106513	2.13567777379706e-26	3.68157991621478e-24	"SLAMF1"
"ENSG00000230943"	176.973394024559	-4.53027305110739	0.432203129104543	-10.4818145590325	1.04715033680049e-25	1.73826955908881e-23	"LINC02541"
"ENSG00000021355"	5229.60625502554	-2.11687603386724	0.202615398035564	-10.4477549800814	1.50034707622462e-25	2.40162699844241e-23	"SERPINB1"
"ENSG00000147443"	288.506791677761	3.23506507906113	0.310381180810356	10.4228776713037	1.94963291649963e-25	3.01319128681081e-23	"DOK2"
"ENSG00000235750"	2375.04303121058	-2.87033550324039	0.284245136447238	-10.0980989124969	5.63234440355789e-24	8.41472253891549e-22	"KIAA0040"
"ENSG00000141753"	1775.99295917619	-5.64010034733295	0.56164784951702	-10.0420581191276	9.95745326710213e-24	1.43965501752102e-21	"IGFBP4"
"ENSG00000188290"	74.3720174311093	-5.62448887031193	0.565910982372896	-9.93882261610852	2.82142056071253e-23	3.95175217284799e-21	"HES4"
"ENSG00000172602"	215.407198803973	-5.05595218796903	0.513544814892227	-9.84520151182925	7.18950075420151e-23	9.76464920616096e-21	"RND1"
"ENSG00000040933"	444.187908314281	2.17020014046019	0.225394310692557	9.62846015851923	6.06312117960998e-22	7.89082329333608e-20	"INPP4A"
"ENSG00000180817"	2886.68254098948	-3.50461600182527	0.364047932880421	-9.62679824630793	6.16195482522898e-22	7.89082329333608e-20	"PPA1"
"ENSG00000136816"	2149.02026028465	-2.50898622949602	0.261964858711027	-9.57756792968815	9.93569634718186e-22	1.22404099113458e-19	"TOR1B"
"ENSG00000124216"	178.716320910209	-5.77489908407424	0.603070674373123	-9.57582474073557	1.01047560624675e-21	1.22404099113458e-19	"SNAI1"
"ENSG00000130517"	375.746476740894	1.81960867032216	0.190282101146531	9.56268960326927	1.14735443646626e-21	1.35327436427415e-19	"PGPEP1"
"ENSG00000149218"	1235.18320267185	-1.99672961244262	0.209152955898804	-9.54674345319177	1.33837202537269e-21	1.538098312236e-19	"ENDOD1"
"ENSG00000108342"	689.207923643849	-11.6574988018155	1.22805533757546	-9.49264943127955	2.25235419900065e-21	2.52376287998023e-19	"CSF3"
"ENSG00000156127"	824.316445587614	-4.09987928868172	0.434671305265748	-9.43213697111925	4.01817681726756e-21	4.39255329146176e-19	"BATF"
"ENSG00000132792"	1481.80946242086	-1.48776373352098	0.157901010008069	-9.42212930395413	4.4203143619092e-21	4.71710689763739e-19	"CTNNBL1"
"ENSG00000171621"	1805.37805935373	-1.39455735176691	0.148445634663905	-9.39439785430085	5.75460294315334e-21	5.99816985842169e-19	"SPSB1"
"ENSG00000077150"	4704.10906972481	-2.03628645717206	0.217188629334843	-9.37565867701429	6.87451780995631e-21	7.00263382368732e-19	"NFKB2"
"ENSG00000147130"	218.399939130301	2.74017350412257	0.29362520416474	9.332214895916	1.03681206046426e-20	1.0326648122224e-18	"ZMYM3"
"ENSG00000010322"	296.656731095619	1.78618234738744	0.191830610469921	9.31124778788893	1.26339264700617e-20	1.23098387910471e-18	"NISCH"
"ENSG00000196116"	2199.93396471462	-2.54142264600816	0.274410275298973	-9.26139753053802	2.01773695349639e-20	1.92414830331294e-18	"TDRD7"
"ENSG00000162522"	486.672938980395	-1.85366686167554	0.200258461754917	-9.25637221734042	2.11496049552849e-20	1.97484436269973e-18	"KIAA1522"
"ENSG00000155287"	903.782063521546	-2.99662647445357	0.327040697970589	-9.1628549383877	5.05421267555331e-20	4.62305739016938e-18	"SLC25A28"
"ENSG00000137757"	251.722681258985	-4.90772158295462	0.536130108216872	-9.15397495447014	5.48762970023424e-20	4.91911126328997e-18	"CASP5"
"ENSG00000104998"	519.995668600666	2.21857049576185	0.246076008544799	9.01579357078181	1.95450203187402e-19	1.71766237389399e-17	"IL27RA"
"ENSG00000164181"	1516.08336124125	-3.90349413696768	0.436886202782125	-8.93480753594397	4.07887596126652e-19	3.51567731892241e-17	"ELOVL7"
"ENSG00000140519"	70.6567936277838	-5.42355777946113	0.607641689055068	-8.92558538551758	4.43348230648405e-19	3.7492203203135e-17	"RHCG"
"ENSG00000013619"	269.561064871752	-2.66884625971643	0.302860756342622	-8.8121230757847	1.22797697650538e-18	1.01922089049946e-16	"MAMLD1"
"ENSG00000164305"	1702.2666443019	-1.46851213884435	0.166756563499302	-8.80632286986712	1.29318199422758e-18	1.053825763296e-16	"CASP3"
"ENSG00000075618"	5162.70748259396	-2.60856577407571	0.296955096126609	-8.78437786756665	1.57232309436452e-18	1.25842001945389e-16	"FSCN1"
"ENSG00000102034"	2460.09477310526	-1.74283512973191	0.203109302931294	-8.58077451194572	9.42364513637182e-18	7.40996096512605e-16	"ELF4"
"ENSG00000144827"	401.486403400461	2.10557733046371	0.245535882304204	8.57543635050061	9.87118311441379e-18	7.62804184806941e-16	"ABHD10"
"ENSG00000185433"	408.156690860892	-5.76907416747624	0.67367717245362	-8.5635589320394	1.09435892663178e-17	8.31341815112483e-16	"LINC00158"
"ENSG00000127666"	772.668544513477	-1.48036689592983	0.173740542153173	-8.52056104800638	1.58782245145685e-17	1.18610337123827e-15	"TICAM1"
"ENSG00000181026"	406.631379968573	-1.52720932886504	0.180935777072167	-8.44061552434654	3.15670885282936e-17	2.31940476694774e-15	"AEN"
"ENSG00000172724"	2420.675205464	-7.08753011786443	0.844460421483384	-8.39296897469089	4.7401672454801e-17	3.42668219261964e-15	"CCL19"
"ENSG00000256235"	1721.73965005598	-1.97860845582947	0.235978780566461	-8.3846880261008	5.08604629835148e-17	3.61835865225577e-15	"SMIM3"
"ENSG00000136158"	543.536535337982	2.25897851260184	0.271205643748365	8.32939344985686	8.12575919461075e-17	5.69057073597584e-15	"SPRY2"
"ENSG00000112149"	9855.29270878213	-1.62322963764017	0.195312808831002	-8.3109226033644	9.49608486595179e-17	6.54791574910706e-15	"CD83"
"ENSG00000138642"	3051.19059197442	-3.64504489538782	0.439807614223062	-8.28781671237534	1.15346143090145e-16	7.83305171712164e-15	"HERC6"
"ENSG00000184979"	1954.70956630851	-4.41943192145177	0.533804685477603	-8.27911789027787	1.24091042251309e-16	8.3011350950801e-15	"USP18"
"ENSG00000196372"	165.064576174331	2.43554367164581	0.294725122660148	8.2637803308484	1.4113021951117e-16	9.30214182130973e-15	"ASB13"
"ENSG00000197461"	430.190531026898	-4.21438682045219	0.511506589851015	-8.23916427289764	1.73417702701241e-16	1.12646107754632e-14	"PDGFA"
"ENSG00000205269"	250.178198864768	2.78417843383415	0.338663957311959	8.22106508154191	2.0170376537532e-16	1.29148039487455e-14	"TMEM170B"
"ENSG00000122877"	1906.6249078625	2.13898919804338	0.261512651360715	8.1792952918862	2.85508660083215e-16	1.80232368238446e-14	"EGR2"
"ENSG00000197965"	1825.4662359551	-1.41275184945975	0.172859191376604	-8.17284772773129	3.01194036489383e-16	1.87493287714641e-14	"MPZL1"
"ENSG00000184481"	87.5617865413326	2.64293382936973	0.328174944890849	8.05342964329214	8.0505684784853e-16	4.94282848227002e-14	"FOXO4"
"ENSG00000099968"	1645.67057904974	-1.00652206901994	0.125098105695245	-8.04586179323891	8.56405988548176e-16	5.18704275766611e-14	"BCL2L13"
"ENSG00000164111"	26176.3688362175	-0.970040120171369	0.120636886845526	-8.0409909898744	8.91148110320659e-16	5.32550110727626e-14	"ANXA5"
"ENSG00000185262"	477.005313209427	-1.1355037305443	0.141522347565727	-8.02349416947691	1.02778867325633e-15	6.06124846517745e-14	"UBALD2"
