"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"NAMPT_rep1"	"NAMPT_rep2"	"NAMPT_rep3"	"NAPRT_rep1"	"NAPRT_rep2"	"NAPRT_rep3"	"NT_rep1"	"NT_rep2"	"NT_rep3"
"ENSG00000000003"	15	4	6	24	6	4	15	18	9	6	10	23
"ENSG00000000005"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000938"	7020	7133	4053	20674	7617	5643	20207	19476	5154	6915	6409	14258
"ENSG00000000971"	39	40	82	27	19	40	15	88	30	16	21	118
"ENSG00000001497"	205	172	175	1045	284	340	1142	837	346	352	259	797
"ENSG00000001561"	843	485	707	2093	619	910	965	1562	921	576	465	1950
"ENSG00000002586"	1	1	0	0	0	0	3	0	0	0	0	0
"ENSG00000002586_PAR_Y"	28	211	269	812	11	199	641	27	17	101	17	319
"ENSG00000002726"	35	25	20	106	39	41	118	69	42	36	30	99
"ENSG00000002745"	1	0	3	1	2	7	0	7	6	1	0	9
"ENSG00000002919"	840	650	872	2107	732	753	1991	1927	780	680	695	1927
"ENSG00000003137"	0	1	0	0	0	1	1	0	0	0	1	0
"ENSG00000004468"	4686	2551	7085	1200	311	1609	775	2338	1140	290	23	3479
"ENSG00000004660"	9	25	9	337	98	114	323	197	119	194	157	380
"ENSG00000004766"	548	426	433	1844	675	595	1172	1537	613	675	600	1780
"ENSG00000004779"	982	447	494	2781	667	777	3421	1725	801	980	583	1875
"ENSG00000004848"	0	0	0	0	0	0	1	1	0	0	0	0
"ENSG00000004939"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004975"	76	82	90	469	199	224	431	445	192	184	187	583
"ENSG00000005007"	1242	1327	1186	4104	1289	1652	3554	3100	1484	1280	991	3593
"ENSG00000005102"	0	0	0	0	0	2	0	1	0	0	0	10
"ENSG00000005238"	1509	1311	902	5571	1259	1759	6152	3577	1837	1540	1199	3358
"ENSG00000005302"	623	544	537	1171	481	577	874	1331	517	431	372	1470
"ENSG00000005381"	20	2	7	77	15	24	79	51	7	39	22	106
"ENSG00000005421"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000005469"	61	49	36	280	109	101	157	310	105	149	133	329
"ENSG00000005471"	72	18	42	329	47	63	243	133	64	135	62	196
"ENSG00000005486"	293	175	288	1762	274	1181	2182	741	764	606	174	1342
"ENSG00000005513"	4	1	6	2	2	3	2	1	3	2	0	5
"ENSG00000005884"	1437	1546	870	6200	3712	1240	5684	9828	1651	2886	4795	5070
"ENSG00000005893"	7041	5845	5515	16569	6560	6613	11545	16682	6551	5710	6025	16908
"ENSG00000005961"	1	0	0	3	1	1	1	1	0	0	0	1
"ENSG00000005981"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006025"	12	9	11	88	32	40	78	56	45	31	26	108
"ENSG00000006042"	8	2	3	4	4	1	5	1	2	2	0	0
"ENSG00000006059"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006128"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000006210"	2	1	1	8	0	1	5	3	4	2	0	4
"ENSG00000006432"	23	8	31	90	4	40	56	36	25	27	14	68
"ENSG00000006468"	0	0	0	0	1	0	0	1	1	0	0	3
"ENSG00000006606"	0	1	0	0	0	2	0	0	0	0	0	1
"ENSG00000006611"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006638"	3	2	4	21	1	2	17	3	1	8	1	8
"ENSG00000006659"	2	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000006715"	1672	996	1062	4334	1366	1372	2968	3685	1369	1670	1345	4039
"ENSG00000006757"	63	55	46	186	90	93	246	228	68	93	105	271
"ENSG00000007080"	256	233	125	999	274	267	1609	728	245	290	227	616
"ENSG00000007237"	2084	1985	1299	5435	2223	2369	3404	5980	2002	2245	2722	8439
"ENSG00000007264"	902	964	548	5032	2165	1480	7777	5294	1568	2227	2111	4627
"ENSG00000007306"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007392"	298	249	264	806	274	332	870	740	355	204	170	697
"ENSG00000007866"	4	6	3	53	16	9	61	22	12	26	15	31
