"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"NAMPT_rep1"	"NAMPT_rep2"	"NAMPT_rep3"	"NAPRT_rep1"	"NAPRT_rep2"	"NAPRT_rep3"	"NT_rep1"	"NT_rep2"	"NT_rep3"
"ENSG00000000003"	4	1	0	1	0	0	0	2	0	0	0	1
"ENSG00000000005"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000938"	281	317	144	884	521	258	359	1178	272	278	327	779
"ENSG00000000971"	5	3	7	0	0	2	4	2	2	2	0	7
"ENSG00000001497"	7	9	13	29	16	13	17	33	15	4	7	38
"ENSG00000001561"	20	7	6	23	11	11	4	27	16	2	5	33
"ENSG00000002586"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002586_PAR_Y"	0	1	0	0	0	0	0	1	0	2	0	1
"ENSG00000002726"	1	2	0	5	2	1	3	4	1	2	3	12
"ENSG00000002745"	0	0	1	1	2	2	1	1	0	1	0	8
"ENSG00000002919"	11	6	6	14	12	12	13	25	13	12	5	25
"ENSG00000003137"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004468"	223	158	686	48	82	205	15	400	171	17	1	517
"ENSG00000004660"	3	4	4	62	21	19	20	31	13	24	13	70
"ENSG00000004766"	19	25	21	77	49	41	23	122	37	27	33	105
"ENSG00000004779"	25	27	25	90	50	40	40	130	46	26	18	93
"ENSG00000004848"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004939"	1	0	0	0	1	1	0	0	0	0	0	0
"ENSG00000004975"	1	1	1	5	3	2	4	7	4	3	0	10
"ENSG00000005007"	29	22	31	75	21	27	32	71	41	13	16	65
"ENSG00000005102"	0	1	2	2	1	0	1	1	0	0	1	1
"ENSG00000005238"	18	17	16	94	31	29	45	73	32	21	24	61
"ENSG00000005302"	7	3	4	6	5	3	2	9	3	1	3	10
"ENSG00000005381"	1	0	0	2	1	0	1	1	0	0	4	2
"ENSG00000005421"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005469"	3	7	7	41	25	12	19	34	13	12	16	39
"ENSG00000005471"	13	6	12	65	14	11	37	48	15	25	13	46
"ENSG00000005486"	17	6	19	91	19	108	60	60	51	14	5	73
"ENSG00000005513"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005884"	5	18	8	91	117	39	28	245	36	56	114	123
"ENSG00000005893"	65	59	78	136	118	96	57	254	96	60	59	265
"ENSG00000005961"	0	0	0	0	0	2	1	0	0	0	0	1
"ENSG00000005981"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006025"	1	0	2	12	4	2	5	7	2	4	3	20
"ENSG00000006042"	0	0	0	1	0	0	1	1	0	0	0	1
"ENSG00000006059"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006128"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006210"	0	0	0	0	0	0	1	1	0	0	0	0
"ENSG00000006432"	0	1	0	3	1	1	1	4	1	1	0	6
"ENSG00000006468"	0	1	0	0	0	0	0	1	0	0	1	0
"ENSG00000006606"	1	1	1	0	0	0	1	0	0	0	0	3
"ENSG00000006611"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000006638"	0	0	0	1	0	0	2	0	0	0	1	0
"ENSG00000006659"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006715"	80	101	97	229	196	118	63	399	120	71	103	334
"ENSG00000006757"	1	2	2	4	3	1	3	13	5	3	9	12
"ENSG00000007080"	2	9	2	13	10	6	8	19	6	3	6	21
"ENSG00000007237"	34	26	25	63	55	43	29	125	32	19	30	135
"ENSG00000007264"	67	89	37	462	170	130	491	423	128	136	102	314
"ENSG00000007306"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007392"	22	13	13	60	40	36	28	84	40	21	14	70
"ENSG00000007866"	1	1	1	6	0	1	3	5	0	1	0	5
"ENSG00000007968"	1	0	1	5	5	3	2	8	3	1	7	9
"ENSG00000008018"	47	40	30	124	46	100	50	149	98	35	23	173
"ENSG00000008118"	8	9	14	12	7	8	14	12	5	3	5	4
"ENSG00000008130"	136	80	72	212	100	125	169	284	93	68	31	349
"ENSG00000008196"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008197"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008277"	0	0	1	4	3	0	2	3	1	4	5	12
"ENSG00000008282"	3	1	3	9	9	10	0	26	8	2	7	15
"ENSG00000008283"	3	2	4	4	6	5	2	8	9	0	2	14
