"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000049892"	1186.37127897351	-6.30428488147451	0.307575848867767	-20.4966836787789	2.30474945809529e-93	1.48310627628432e-89	"Rasd1"
"ENSMUSG00000026822"	3036.89745098719	-9.38606598514381	0.578867885652346	-16.2145218585867	3.98164187448804e-59	1.28109327311653e-55	"Lcn2"
"ENSMUSG00000026479"	2270.35155264379	-3.66823084710158	0.287030240141637	-12.7799455739976	2.12217982448426e-37	4.55207572351874e-34	"Lamc2"
"ENSMUSG00000035930"	2007.90364411141	-3.39761588390759	0.283931177651455	-11.9663360396385	5.3332167950543e-33	8.5798125190436e-30	"Chst4"
"ENSMUSG00000075602"	6754.85993943255	-5.89024607753851	0.510948061513116	-11.5280720707604	9.52529118262747e-31	1.22590497520416e-27	"Ly6a"
"ENSMUSG00000037679"	486.717716689069	-3.54235684658433	0.309286806262503	-11.453307334351	2.26341635757076e-30	2.42751404349464e-27	"Inf2"
"ENSMUSG00000068245"	383.582241067224	-5.59269497300218	0.50815566835383	-11.0058695027839	3.58045165932386e-28	3.29145806110701e-25	"Phf11d"
"ENSMUSG00000074896"	1070.52324642167	-4.23509331550394	0.388626795181363	-10.8975844383749	1.18357733121148e-27	9.52040015793237e-25	"Ifit3"
"ENSMUSG00000028940"	238.645343088355	4.03974333561334	0.380982002403871	10.6035017668128	2.87027376122921e-26	2.05224573927888e-23	"Hes2"
"ENSMUSG00000052353"	434.797797449266	-3.97967505226655	0.381325039098351	-10.4364378003515	1.69035121310544e-25	1.08774100563335e-22	"Cemip"
"ENSMUSG00000023341"	211.366025701027	-3.80778009891779	0.365233971442566	-10.4255912555949	1.89477166443179e-25	1.1084414236926e-22	"Mx2"
"ENSMUSG00000027068"	277.510195485349	-4.11853452028611	0.395791461705438	-10.4058195256149	2.33240431474397e-25	1.25075181378145e-22	"Dhrs9"
"ENSMUSG00000034459"	5480.24454533388	-3.3719811126618	0.325948976732312	-10.3451194922175	4.40366597212352e-25	2.17981465620114e-22	"Ifit1"
"ENSMUSG00000002289"	836.02300178141	4.57303149449856	0.444896026166783	10.278876918501	8.7744055480152e-25	4.03309283581985e-22	"Angptl4"
"ENSMUSG00000038301"	969.445875848489	-4.28107127338508	0.425005833304155	-10.0729706227852	7.27470153168736e-24	3.12084695709388e-21	"Snx10"
"ENSMUSG00000046718"	359.040277025305	-2.40530014782181	0.245551279294492	-9.79551055377363	1.17701275939236e-22	4.73379819168114e-20	"Bst2"
"ENSMUSG00000054072"	3278.4293547316	-5.60047976222742	0.573613140250935	-9.7635137154937	1.61462037602866e-22	6.11181301161436e-20	"Iigp1"
"ENSMUSG00000014846"	100.785089440438	3.82176570517187	0.392557110215096	9.73556612712425	2.12630383978564e-22	7.60153622723366e-20	"Tppp3"
"ENSMUSG00000045932"	2411.64423247813	-5.52710437673911	0.570123101777257	-9.69458062567425	3.17941144768221e-22	1.07681645609658e-19	"Ifit2"
"ENSMUSG00000053113"	4499.60364837752	-3.24877015663285	0.336307346126114	-9.66012248633597	4.45331186082285e-22	1.43285309121975e-19	"Socs3"
"ENSMUSG00000024349"	459.391275361991	-3.66153741286468	0.381649851619906	-9.59397048714508	8.47590186924669e-22	2.59725850136202e-19	"Sting1"
"ENSMUSG00000022221"	2535.87965586108	-2.67989288581877	0.279480042100462	-9.58885244784475	8.90701237589004e-22	2.60530111994784e-19	"Ripk3"
"ENSMUSG00000075611"	422.582027941003	-2.27099914799739	0.238796584868922	-9.5101826906108	1.90327986363916e-21	5.32504605326869e-19	"Gm11545"
"ENSMUSG00000029762"	176.239795264365	-2.35981027364652	0.24977093337425	-9.44789788694364	3.45703364124843e-21	9.26917145059734e-19	"Akr1b8"
"ENSMUSG00000057880"	1984.48836369827	2.0650902117399	0.219335665912069	9.41520478738643	4.72161079598014e-21	1.21534261888529e-18	"Abat"
"ENSMUSG00000028268"	823.107478703928	-4.71378748859475	0.50131250712425	-9.40289225105338	5.30834350636603e-21	1.31381501782559e-18	"Gbp3"
"ENSMUSG00000041779"	157.648731578678	2.8985436487921	0.311072735601161	9.31789680375087	1.18669210267927e-20	2.82828284471893e-18	"Tram2"
"ENSMUSG00000068452"	20790.7780254573	-2.24550316925657	0.243587239009038	-9.21847621571531	3.01352070268383e-20	6.92571632920373e-18	"Duox2"
"ENSMUSG00000028435"	93.5668893666773	5.11839250937498	0.555858681501956	9.20808234126135	3.32002972058233e-20	7.36703146618872e-18	"Aqp3"
"ENSMUSG00000021236"	1998.46807488573	2.05688229490661	0.223804317659606	9.19053893336862	3.90878042415351e-20	8.38433400980928e-18	"Entpd5"
"ENSMUSG00000023959"	6508.94202871243	2.33631072271194	0.258324788571579	9.04408258932755	1.50927147503286e-19	3.13295546510854e-17	"Clic5"
"ENSMUSG00000105504"	268.115429158472	-4.6463614794905	0.52274748375284	-8.88834786182796	6.20242377188076e-19	1.24726865537665e-16	"Gbp5"
"ENSMUSG00000024810"	2040.61926965268	-4.68711568030147	0.529336529475202	-8.85469907952204	8.39098768236961e-19	1.63624259806207e-16	"Il33"
"ENSMUSG00000026981"	232.618688335877	-4.41929558498343	0.499955246046794	-8.8393823645763	9.62491901385637e-19	1.82165746629899e-16	"Il1rn"
"ENSMUSG00000032226"	2212.35225016689	-1.77142717889008	0.200830644669137	-8.82050237805318	1.13947327477054e-18	2.09500300661383e-16	"Gcnt3"
"ENSMUSG00000020229"	278.439422703295	4.00563742704322	0.456056514891198	8.78320404653981	1.58882568154123e-18	2.76326844884265e-16	"Slc5a4a"
"ENSMUSG00000028919"	352.04050868379	3.68116248078751	0.418992348465508	8.78575108655128	1.55323194237265e-18	2.76326844884265e-16	"Arhgef19"
"ENSMUSG00000000204"	1856.30729107847	-5.07171992708452	0.577977650761549	-8.77494124626094	1.70993117328687e-18	2.89563344739501e-16	"Slfn4"
"ENSMUSG00000040964"	753.267199119684	-2.08907545247853	0.239573201947404	-8.71998802661228	2.78231210693484e-18	4.59081497644249e-16	"Arhgef10l"
"ENSMUSG00000012428"	148.65647048991	-5.93842627588916	0.684506164861004	-8.6754898359389	4.11774177555846e-18	6.62441708142968e-16	"Steap4"
"ENSMUSG00000038400"	1067.90860119016	-2.71218567679531	0.315052013791606	-8.60869176538358	7.38990562588414e-18	1.15985470006255e-15	"Pmepa1"
"ENSMUSG00000050762"	805.511355422632	-3.81249638485638	0.446600588940563	-8.53670254645314	1.38106482421796e-17	2.06677956833548e-15	"Prss27"
"ENSMUSG00000022146"	79.4369382273777	-5.42903862429125	0.635871811628256	-8.5379451093913	1.36629794306141e-17	2.06677956833548e-15	"Osmr"
"ENSMUSG00000079339"	16553.4149227457	-2.54875365845841	0.300309127929727	-8.48710019581833	2.11857096892509e-17	3.09841004205295e-15	"Ifit1bl1"
"ENSMUSG00000028980"	1086.87605087377	-3.0061913424941	0.355200151705459	-8.46337291259636	2.59753446181505e-17	3.71447428039551e-15	"H6pd"
"ENSMUSG00000028655"	924.300595471435	-3.10528228220051	0.3678160773267	-8.44248654047374	3.10657205495851e-17	4.34582416818652e-15	"Mfsd2a"
"ENSMUSG00000059456"	1670.16761958192	-1.82297368349215	0.216240286169166	-8.43031479372921	3.44736588154974e-17	4.71995732931332e-15	"Ptk2b"
"ENSMUSG00000036459"	314.062917212429	-2.34028523887779	0.278001987623285	-8.41823203814307	3.82208202709916e-17	5.12397871757981e-15	"Wtip"
"ENSMUSG00000046879"	5958.05255858287	-2.8519374215182	0.339635785072136	-8.39704632688359	4.57849446307522e-17	6.01277793263042e-15	"Irgm1"
"ENSMUSG00000015850"	129.249988471613	-3.56817705669783	0.426641489599924	-8.3634084909178	6.09317910543638e-17	7.84192150869662e-15	"Adamtsl4"
"ENSMUSG00000052776"	1454.67604760073	-2.43722964774905	0.292181246076352	-8.34149925937465	7.33544874423817e-17	9.25561032728874e-15	"Oas1a"
"ENSMUSG00000062007"	124.449904685573	-2.558955543948	0.307573150344771	-8.31982746569251	8.80914493917131e-17	1.09013168622245e-14	"Hsh2d"
"ENSMUSG00000039364"	7808.94436054555	2.41226418657969	0.290176869121476	8.31308227248758	9.32478232767643e-17	1.13216932601128e-14	"Sectm1b"
"ENSMUSG00000047945"	7028.27391730169	-3.58243970925453	0.431585715999846	-8.30064475362713	1.03547888487573e-16	1.23394567114357e-14	"Marcksl1"
"ENSMUSG00000028037"	350.963460724359	-3.15111664090146	0.381755812607713	-8.25427285409666	1.52829841791915e-16	1.78810914896541e-14	"Ifi44"
"ENSMUSG00000035896"	351.889605683405	-3.07751859584338	0.373739366696748	-8.23439773830535	1.80463189163537e-16	2.07371539690601e-14	"Rnase1"
"ENSMUSG00000020641"	1008.18374966607	-3.35964518463242	0.409628605859522	-8.20168595790054	2.37038860628097e-16	2.67604397919615e-14	"Rsad2"
"ENSMUSG00000029752"	2085.86138698313	-2.73435444838249	0.333793245181345	-8.19176088149104	2.57431699450347e-16	2.85616032062583e-14	"Asns"
"ENSMUSG00000027293"	2626.8728342386	-2.34462024088078	0.287141633727508	-8.16537891229586	3.20427814724475e-16	3.49483557246102e-14	"Ehd4"
"ENSMUSG00000054855"	60.7963548274543	-5.0011786861663	0.616465843292207	-8.11266145656626	4.9522904099931e-16	5.3113314647176e-14	"Rnd1"
"ENSMUSG00000022587"	3130.34547604813	-1.98294130256038	0.247993060472295	-7.99595480125099	1.28573546266561e-15	1.35634552495954e-13	"Ly6e"
"ENSMUSG00000074892"	3055.81322635908	-4.32500638508474	0.542024081103807	-7.97936205394614	1.47091530814907e-15	1.52666774321601e-13	"B3galt5"
"ENSMUSG00000016024"	172.509984399117	-2.93094410984248	0.368194967945844	-7.96030463478138	1.71616225069872e-15	1.75293715607084e-13	"Lbp"
"ENSMUSG00000035798"	324.905692471806	-1.99819911928876	0.25135099782718	-7.94983563448056	1.86759135626947e-15	1.87780474649906e-13	"Zdhhc17"
"ENSMUSG00000061947"	59.5759450956223	-3.75945498714907	0.473293997849025	-7.94317063861918	1.97077530977192e-15	1.9510675566742e-13	"Serpina10"
"ENSMUSG00000068606"	138.575185790074	-5.30016657902914	0.670138494455797	-7.90906151919131	2.59336442342748e-15	2.52853031284179e-13	"Gm4841"
"ENSMUSG00000035828"	2056.42294480113	-2.26593765540334	0.286787742597624	-7.90109659108601	2.764603049691e-15	2.65525680966591e-13	"Pim3"
"ENSMUSG00000036053"	147.39039961513	-4.00756599585208	0.509993852375408	-7.85806726333261	3.90105816482906e-15	3.69166313098162e-13	"Fmnl2"
"ENSMUSG00000073489"	154.942325253096	-4.99505534462199	0.636851308703782	-7.84336198474445	4.38641179641886e-15	4.0908057840515e-13	"Ifi204"
"ENSMUSG00000035606"	74.0417153546749	3.11053173745078	0.397885346774279	7.81765843519587	5.3814974956734e-15	4.9471337692369e-13	"Ky"
"ENSMUSG00000042251"	1021.04629345837	2.00845019631061	0.257579197716223	7.7974083859184	6.31914820001627e-15	5.72728431931052e-13	"Pm20d1"
"ENSMUSG00000027639"	3482.60065408476	-1.99318178222574	0.256030820139059	-7.78492910011057	6.9752312308241e-15	6.2066716033657e-13	"Samhd1"
"ENSMUSG00000062488"	202.151240360064	-3.70619272563319	0.476145318705216	-7.78374286176214	7.04097944126956e-15	6.2066716033657e-13	"Ifit3b"
"ENSMUSG00000024521"	2657.02870719825	-2.06744249436067	0.267850957776439	-7.71863020958938	1.17586500021284e-14	1.02252584815806e-12	"Pmaip1"
"ENSMUSG00000061132"	717.101517763848	-2.62747166903738	0.341189185908645	-7.70092305839056	1.35086815733042e-14	1.1590448789895e-12	"Blnk"
"ENSMUSG00000093880"	123.808620946631	-3.67806046686584	0.479066614161046	-7.67755539238934	1.62153138575035e-14	1.37296769306625e-12	"Tmem181c-ps"
"ENSMUSG00000038037"	1529.79313617248	-3.81726820523651	0.499761838209721	-7.63817465317275	2.2032286644577e-14	1.81766364817761e-12	"Socs1"
"ENSMUSG00000079018"	401.505544034679	-12.2180572115361	1.59932111087559	-7.63952725218951	2.18020758436798e-14	1.81766364817761e-12	"Ly6c1"
"ENSMUSG00000025921"	543.360318984725	-2.09891562140406	0.274926956412966	-7.63444825050656	2.26789560791099e-14	1.84733015657054e-12	"Rdh10"
"ENSMUSG00000047898"	108.233384587728	-3.89930345574482	0.512096050531718	-7.61439861076083	2.64922042017602e-14	2.13096667547908e-12	"Ccr4"
"ENSMUSG00000039031"	950.685604713162	1.70743370777763	0.224611373842551	7.60172416279558	2.92211064794912e-14	2.32145457031513e-12	"Arhgap18"
