"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"PBS_rep1"	"PBS_rep2"	"PBS_rep3"
"ENSMUSG00000000001"	5545	4560	5510	5092	7381	5811
"ENSMUSG00000000003"	0	0	0	0	0	0
"ENSMUSG00000000037"	4	4	4	5	3	4
"ENSMUSG00000000056"	1019	415	498	694	1010	796
"ENSMUSG00000000078"	5164	6756	8380	4454	5897	5370
"ENSMUSG00000000085"	220	155	128	120	194	43
"ENSMUSG00000000093"	1	0	0	1	2	6
"ENSMUSG00000000094"	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0
"ENSMUSG00000000125"	85	33	32	90	165	19
"ENSMUSG00000000126"	1	6	4	9	15	15
"ENSMUSG00000000134"	449	446	372	404	663	384
"ENSMUSG00000000148"	147	70	56	147	284	79
"ENSMUSG00000000154"	787	647	787	1079	1940	1480
"ENSMUSG00000000168"	741	563	454	584	813	319
"ENSMUSG00000000171"	4575	3537	5382	4086	6908	4800
"ENSMUSG00000000182"	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0
"ENSMUSG00000000202"	4	13	17	0	1	1
"ENSMUSG00000000204"	935	3513	5009	80	104	150
"ENSMUSG00000000214"	4	1	0	1	4	1
"ENSMUSG00000000215"	0	0	0	0	0	0
"ENSMUSG00000000216"	0	2	1	2	1	4
"ENSMUSG00000000223"	2	1	0	1	0	1
"ENSMUSG00000000275"	6632	7056	6260	2753	4826	3057
"ENSMUSG00000000282"	294	118	96	275	627	223
"ENSMUSG00000000290"	113	43	38	92	157	178
"ENSMUSG00000000301"	39	41	60	22	28	14
"ENSMUSG00000000303"	23111	24524	20421	13980	19367	11251
"ENSMUSG00000000317"	0	2	0	1	1	0
"ENSMUSG00000000318"	0	0	0	0	1	0
"ENSMUSG00000000320"	1	4	2	0	0	0
"ENSMUSG00000000339"	437	328	382	414	615	383
"ENSMUSG00000000346"	5889	4612	5149	5462	7995	6135
"ENSMUSG00000000355"	265	193	252	258	318	228
"ENSMUSG00000000359"	0	0	0	1	0	0
"ENSMUSG00000000374"	1960	1664	1717	1989	3117	1990
"ENSMUSG00000000381"	0	0	0	0	0	0
"ENSMUSG00000000385"	1830	1314	1488	1565	3196	979
"ENSMUSG00000000386"	66	264	486	29	43	31
"ENSMUSG00000000392"	22	21	32	13	21	2
"ENSMUSG00000000394"	641	608	658	656	701	322
"ENSMUSG00000000402"	0	3	5	1	0	1
"ENSMUSG00000000411"	0	0	1	0	0	0
"ENSMUSG00000000435"	0	0	0	0	0	0
"ENSMUSG00000000544"	13080	11041	10656	10567	16281	12399
"ENSMUSG00000000552"	5	6	10	11	15	6
"ENSMUSG00000000560"	0	0	0	0	0	0
"ENSMUSG00000000567"	231	119	75	186	240	39
"ENSMUSG00000000579"	8	4	8	8	5	5
"ENSMUSG00000000581"	594	521	838	463	677	587
"ENSMUSG00000000594"	141	99	80	144	256	169
"ENSMUSG00000000627"	1	3	4	2	2	4
"ENSMUSG00000000632"	0	0	0	1	0	1
"ENSMUSG00000000673"	5	0	5	2	5	4
"ENSMUSG00000000701"	0	0	0	0	0	0
"ENSMUSG00000000706"	11	19	27	5	6	2
"ENSMUSG00000000711"	531	270	335	927	1042	878
"ENSMUSG00000000732"	73	84	65	77	116	68
"ENSMUSG00000000753"	0	1	0	1	0	1
"ENSMUSG00000000776"	216	226	265	130	160	57
"ENSMUSG00000000787"	7454	7643	7998	6555	9422	5944
"ENSMUSG00000000791"	72	34	35	7	25	30
"ENSMUSG00000000792"	2	1	0	1	2	2
"ENSMUSG00000000794"	1	0	0	0	0	0
