"LPS_rep1"	"LPS_rep2"	"LPS_rep3"	"PBS_rep1"	"PBS_rep2"	"PBS_rep3"
"ENSMUSG00000000001"	4	6	3	6	5	13
"ENSMUSG00000000003"	0	0	0	0	0	0
"ENSMUSG00000000037"	0	0	0	0	0	0
"ENSMUSG00000000056"	0	1	5	4	4	1
"ENSMUSG00000000078"	6	9	12	7	14	9
"ENSMUSG00000000085"	6	2	3	3	4	0
"ENSMUSG00000000093"	0	0	1	0	0	0
"ENSMUSG00000000094"	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0
"ENSMUSG00000000125"	1	0	1	0	1	0
"ENSMUSG00000000126"	0	0	0	0	0	1
"ENSMUSG00000000134"	0	0	1	0	0	0
"ENSMUSG00000000148"	0	1	3	0	2	2
"ENSMUSG00000000154"	2	3	5	4	18	5
"ENSMUSG00000000168"	1	4	4	2	4	1
"ENSMUSG00000000171"	5	8	15	11	9	10
"ENSMUSG00000000182"	0	0	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	0
"ENSMUSG00000000204"	60	287	390	1	8	6
"ENSMUSG00000000214"	0	0	0	0	0	2
"ENSMUSG00000000215"	0	0	0	0	0	0
"ENSMUSG00000000216"	1	0	0	0	0	0
"ENSMUSG00000000223"	0	0	0	0	0	0
"ENSMUSG00000000275"	7	15	19	12	13	6
"ENSMUSG00000000282"	0	1	1	4	2	2
"ENSMUSG00000000290"	0	0	0	1	0	0
"ENSMUSG00000000301"	0	1	1	0	0	4
"ENSMUSG00000000303"	3	12	11	2	5	3
"ENSMUSG00000000317"	0	0	0	0	0	0
"ENSMUSG00000000318"	0	0	0	0	0	0
"ENSMUSG00000000320"	1	0	0	1	0	0
"ENSMUSG00000000339"	0	3	4	3	6	4
"ENSMUSG00000000346"	8	6	15	3	6	11
"ENSMUSG00000000355"	10	11	16	17	26	10
"ENSMUSG00000000359"	0	0	0	0	0	0
"ENSMUSG00000000374"	23	17	20	15	30	18
"ENSMUSG00000000381"	0	0	0	0	0	0
