"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000027227"	7.8653156232483	8.10919471456811	121.305972617379	3.59695368708765e-10	5.33428231795099e-07	"Sord"
"ENSMUSG00000018339"	-3.10695238374776	4.56639048772481	40.3718558508168	2.70818943641622e-06	0.00200812246710262	"Gpx3"
"ENSMUSG00000071356"	2.73564814605504	14.7576836561939	32.186678362446	1.25916627678967e-05	0.00228625860361626	"Reg3b"
"ENSMUSG00000054999"	-2.62539951821426	11.5176904354255	33.3239442353053	1.00278311614075e-05	0.00228625860361626	"Naaladl1"
"ENSMUSG00000006777"	-2.62548259939963	4.09709011414643	34.62970817296	7.76791993617616e-06	0.00228625860361626	"Krt23"
"ENSMUSG00000029630"	-2.70390637789828	6.7358379264374	32.0196293803986	1.30254288833888e-05	0.00228625860361626	"Cyp3a25"
"ENSMUSG00000030341"	-2.7691655008254	8.44970088985029	33.1280419864175	1.04252025154604e-05	0.00228625860361626	"Tnfrsf1a"
"ENSMUSG00000028601"	-2.80098818031891	3.4849679747476	31.7095156281245	1.38747993476374e-05	0.00228625860361626	"Echdc2"
"ENSMUSG00000055730"	-2.83255685848236	8.27078798250918	32.313412629556	1.22731493846408e-05	0.00228625860361626	"Ces2a"
"ENSMUSG00000039653"	2.51901584128708	3.04219863776663	30.2979257672098	1.85897153433531e-05	0.00275685478541927	"Baat"
"ENSMUSG00000050762"	-2.27901974122288	5.88524554698081	29.1317953752425	2.38241264574807e-05	0.00321192541240399	"Prss27"
"ENSMUSG00000038167"	2.7340981457692	6.21117025753843	28.1959168479911	2.92015264981955e-05	0.00360882198306866	"Plekhg6"
"ENSMUSG00000025231"	3.35367417900679	3.08042803869166	27.5734316057422	3.35104038684848e-05	0.00382276376438177	"Sufu"
"ENSMUSG00000021278"	-4.3140167637689	7.26939802455439	25.5957944345181	5.25508083385809e-05	0.00556663205472254	"Amn"
"ENSMUSG00000020405"	-2.68270455533831	12.4329101188352	25.0190848496742	6.01470013144386e-05	0.00594653352995416	"Fabp6"
"ENSMUSG00000021108"	2.74115924690326	3.57279853259443	23.6863756393121	8.27458995026953e-05	0.00766951056015607	"Prkch"
"ENSMUSG00000060512"	-1.84034214297162	6.80274897142637	23.3354023496886	9.01488949181853e-05	0.0078004954067316	"0610040J01Rik"
"ENSMUSG00000000386"	-2.38086151739534	3.71266427201345	23.1359030821588	9.46789732442136e-05	0.0078004954067316	"Mx1"
"ENSMUSG00000030017"	2.12319743730653	13.9704440079796	19.5833540813899	0.000236422920946284	0.0184534311454389	"Reg3g"
"ENSMUSG00000054942"	1.63440711937825	4.31688063745894	18.5030809036065	0.000317703726567253	0.0214161193863289	"Miga1"
"ENSMUSG00000047502"	-2.23991226645374	2.98924325058274	18.8283096537946	0.000290395091986273	0.0214161193863289	"Mroh7"
"ENSMUSG00000108483"	-2.95770207191476	0.612624821344951	18.5949554541519	0.000309713730503194	0.0214161193863289	"Gm45184"
"ENSMUSG00000039086"	2.57973461653847	2.2757487706233	17.9001764721881	0.000376110907766687	0.0242509772268694	"Ss18l1"
"ENSMUSG00000026701"	2.94053040457832	7.97786649372019	17.4860792148933	0.000423037839190421	0.0256780418559991	"Prdx6"
"ENSMUSG00000027524"	1.6736839266267	6.45984320538427	17.2689569467053	0.000450188191676315	0.0256780418559991	"Edn3"
"ENSMUSG00000102047"	-1.84898302498572	3.42691866422779	17.3107214352519	0.000444820325363972	0.0256780418559991	"2010010A06Rik"
"ENSMUSG00000036941"	2.10807509909042	3.96899318483622	16.9018325829858	0.000500561729189907	0.0274938164588382	"Elac1"
"ENSMUSG00000041959"	-1.52094244297962	10.5983152561414	16.7514233520672	0.000522963707380151	0.0276983992158844	"S100a10"
"ENSMUSG00000057058"	-2.09444482661131	2.16757434245114	15.7493192557562	0.000703600368304357	0.0359806671101849	"Skap1"
"ENSMUSG00000042198"	-1.6398525207259	5.78215862353452	15.448759536292	0.000770430920732187	0.0380849685148611	"Chchd7"
"ENSMUSG00000061731"	-1.57677123385459	7.44728785101323	15.3129270488483	0.000802901163849794	0.0382117481867662	"Ext1"
"ENSMUSG00000026688"	-1.76284185648305	7.6292249159246	15.2257664727175	0.000824528618999674	0.0382117481867662	"Mgst3"
"ENSMUSG00000028015"	2.10802051675344	4.7721897244215	15.049900529653	0.000870146306312069	0.0391038476442666	"Ctso"
"ENSMUSG00000034320"	1.97377069805046	9.34779567712193	14.5262675686842	0.00102326430273617	0.0433571703130783	"Slc26a2"
"ENSMUSG00000024292"	-1.75109706624099	10.1798070098911	14.5514012150661	0.00101527203462709	0.0433571703130783	"Cyp4f14"
"ENSMUSG00000042549"	2.13929328866445	1.44199352956285	14.1918180794238	0.00113648204149563	0.0468167463205006	"Map2k3os"
"ENSMUSG00000104340"	-4.71937005345576	1.98546820110061	14.0980253543825	0.00134750340492377	0.0540093932297823	"Gm10522"
"ENSMUSG00000020614"	1.69543829310737	4.41516188145279	13.297504003761	0.00151312184024528	0.0590515707653618	"Fam20a"
"ENSMUSG00000020137"	2.41592932600753	3.81303519722401	12.8704441660766	0.00173997697587156	0.0661637398773725	"Thap2"
"ENSMUSG00000078695"	-1.39989659140943	6.30705385968597	12.5454514858244	0.00193777469266182	0.0690163752860444	"Cisd3"
"ENSMUSG00000025528"	-1.40386715950539	8.33586916952837	12.5194952882622	0.00195461076332695	0.0690163752860444	"2010106E10Rik"
"ENSMUSG00000003032"	-1.64767071888961	8.74941881603585	12.6430188390606	0.00187590503685533	0.0690163752860444	"Klf4"
"ENSMUSG00000043535"	1.65971474998578	5.47774288880494	12.1627817037042	0.00220310442833377	0.0759814852841622	"Setx"
"ENSMUSG00000022180"	2.18747952675807	6.46118885060176	11.8455253085939	0.00245362182729897	0.0798246609452825	"Slc7a8"
"ENSMUSG00000037017"	1.97909943766038	4.24476555154361	11.8189205416417	0.00247601780410182	0.0798246609452825	"Zscan21"
