"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000020841"	4871.34356440377	-2.66043374175849	0.0659221162522589	-40.3572259661389	0	0	"Cpd"
"ENSMUSG00000015340"	6578.0810989758	-2.85424338956573	0.0719231364105884	-39.6846346253823	0	0	"Cybb"
"ENSMUSG00000028525"	1225.48496490708	-3.21993108905251	0.0841703852645826	-38.2549168443381	0	0	"Pde4b"
"ENSMUSG00000025017"	1306.83859131592	-3.44306751949874	0.0854381608005459	-40.2989423840306	0	0	"Pik3ap1"
"ENSMUSG00000073490"	1563.37346859187	-3.56479301224264	0.0900839136247052	-39.571915437575	0	0	"Ifi207"
"ENSMUSG00000026031"	2453.17591414821	-3.76591754490344	0.07416642103336	-50.7765845032421	0	0	"Cflar"
"ENSMUSG00000027639"	1370.25217470591	-3.7963655326235	0.0973791185868728	-38.9854168708328	0	0	"Samhd1"
"ENSMUSG00000024789"	1943.76959245497	-3.84922386944357	0.0784084549819152	-49.0919489528443	0	0	"Jak2"
"ENSMUSG00000037242"	5184.95047429672	-3.84982889464527	0.06140008515908	-62.7007093666212	0	0	"Clic4"
"ENSMUSG00000046223"	1070.33899828029	-4.05147623479873	0.100597440887119	-40.2741481201786	0	0	"Plaur"
"ENSMUSG00000027995"	4954.71541288171	-4.05487988888728	0.0702250439843212	-57.7412224874162	0	0	"Tlr2"
"ENSMUSG00000039997"	1021.73015128323	-4.12895147018509	0.104142876930915	-39.64698875108	0	0	"Ifi203"
"ENSMUSG00000021025"	1980.16691359431	-4.1305288108931	0.0816197879261591	-50.6069534832651	0	0	"Nfkbia"
"ENSMUSG00000025492"	914.479194957009	-4.14180071036414	0.109687062539881	-37.7601570728385	0	0	"Ifitm3"
"ENSMUSG00000006818"	4000.88049918635	-4.18178022409874	0.0728144350630821	-57.4306484761696	0	0	"Sod2"
"ENSMUSG00000028599"	5622.24647636493	-4.20788403423923	0.0852907136771826	-49.3357817378065	0	0	"Tnfrsf1b"
"ENSMUSG00000026535"	2462.7335284644	-4.28560018592205	0.0850814574920681	-50.3705544339268	0	0	"Ifi202b"
"ENSMUSG00000060519"	2687.16672137991	-4.3498186464215	0.0800620179507694	-54.3306146629508	0	0	"Tor3a"
"ENSMUSG00000047945"	3911.55598501992	-4.46014034153604	0.0750726983622131	-59.4109501701487	0	0	"Marcksl1"
"ENSMUSG00000038507"	1759.19036058375	-4.61515580494323	0.0961503798355313	-47.9993507341065	0	0	"Parp12"
"ENSMUSG00000030157"	1186.30806112177	-4.67181163254045	0.105929071147812	-44.1032058708553	0	0	"Clec2d"
"ENSMUSG00000040026"	5062.59857020914	-4.91987393405953	0.0853616989570486	-57.6356140303049	0	0	"Saa3"
"ENSMUSG00000002307"	1067.57615059125	-5.03288620596246	0.121118027993076	-41.5535679482016	0	0	"Daxx"
"ENSMUSG00000028037"	878.686967172588	-5.06206957037615	0.134524812867179	-37.6292630518216	0	0	"Ifi44"
"ENSMUSG00000031596"	5383.51863580634	-5.06993857918269	0.0726095165156641	-69.8247120002369	0	0	"Slc7a2"
"ENSMUSG00000035356"	1589.74656132991	-5.14089816534746	0.105647649615178	-48.6607906950434	0	0	"Nfkbiz"
"ENSMUSG00000046879"	2589.84063435324	-5.24430297637616	0.0906645219538194	-57.8429452156311	0	0	"Irgm1"
"ENSMUSG00000035208"	1365.93496100611	-5.3386389693622	0.115760961414143	-46.1177836132755	0	0	"Slfn8"
"ENSMUSG00000017009"	6599.89946414748	-5.34282607940265	0.0747184800306757	-71.5060862748968	0	0	"Sdc4"
"ENSMUSG00000032688"	2703.52680007814	-5.44909118807127	0.0957354970864683	-56.9181897405269	0	0	"Malt1"
"ENSMUSG00000027580"	1602.88490284639	-5.6258173091256	0.118538997092136	-47.4596330923303	0	0	"Helz2"
"ENSMUSG00000019850"	3872.33351004036	-5.6548218870314	0.0878598797046045	-64.3618214143201	0	0	"Tnfaip3"
"ENSMUSG00000047735"	1090.27199975623	-6.02558241538623	0.15870727159553	-37.9666435873374	0	0	"Samd9l"
"ENSMUSG00000029561"	2215.44551447368	-6.04758503457113	0.119228339545435	-50.722714562896	0	0	"Oasl2"
"ENSMUSG00000050578"	4041.83258938519	-6.36441256156511	0.111468638713408	-57.0959925143462	0	0	"Mmp13"
"ENSMUSG00000043953"	3931.23342792769	-6.43607578960724	0.0999492669178857	-64.3934266660991	0	0	"Ccrl2"
"ENSMUSG00000032691"	2148.1761129868	-6.58517933190908	0.133677330439195	-49.2617507416818	0	0	"Nlrp3"
"ENSMUSG00000026981"	2040.26348370848	-6.79347137641736	0.146618615230985	-46.3343032241494	0	0	"Il1rn"
"ENSMUSG00000030142"	3809.53213453941	-7.3497064143336	0.137363375717508	-53.5055750919261	0	0	"Clec4e"
"ENSMUSG00000026896"	3689.56972795488	-7.36942459302124	0.131139003361916	-56.1955208145298	0	0	"Ifih1"
"ENSMUSG00000017652"	2570.57329275694	-8.40061793629125	0.209243567727633	-40.1475563981308	0	0	"Cd40"
"ENSMUSG00000045932"	9158.22574517991	-8.53420108160637	0.125754374482851	-67.8640493955156	0	0	"Ifit2"
"ENSMUSG00000000982"	14322.7932853489	-8.98158355659017	0.117894101444536	-76.1834854037682	0	0	"Ccl3"
"ENSMUSG00000024401"	16376.8161340646	-10.205643631969	0.157595842563737	-64.7583303337558	0	0	"Tnf"
"ENSMUSG00000018930"	9233.417415749	-10.6641286195692	0.238412405609342	-44.7297555356379	0	0	"Ccl4"
"ENSMUSG00000022126"	23042.8350289536	-11.0404146939168	0.175908239839967	-62.7623510073255	0	0	"Acod1"
"ENSMUSG00000020638"	20418.2318813086	-11.2116464153221	0.197351079960624	-56.8106666432179	0	0	"Cmpk2"
"ENSMUSG00000020641"	16817.4387341478	-11.4926325997413	0.235136232437418	-48.8764852639208	0	0	"Rsad2"
"ENSMUSG00000027646"	1049.98270319242	-3.9130456770154	0.104361663465394	-37.4950489200756	1.10911955086751e-307	1.43438583547906e-305	"Src"
"ENSMUSG00000036067"	877.693424810415	-5.32341385172133	0.141997977332947	-37.4893639452298	1.37281059772176e-307	1.73990015155256e-305	"Slc2a6"
"ENSMUSG00000040033"	784.931254846145	-4.30751490231698	0.115300234467225	-37.3591165900138	1.80321943907885e-305	2.24058854616524e-303	"Stat2"
"ENSMUSG00000026390"	2190.71872803836	-3.10154550700125	0.0833518510416709	-37.2102774952252	4.65438720845859e-303	5.67208687307732e-301	"Marco"
"ENSMUSG00000022895"	1076.53431171556	-3.53695824006704	0.0960699401369284	-36.8164925993065	1.00566619111896e-296	1.20243521756997e-294	"Ets2"
"ENSMUSG00000028691"	11103.5957989111	-2.97777651813837	0.081410432139828	-36.5773333941261	6.55879562241255e-293	7.69686812207932e-291	"Prdx1"
"ENSMUSG00000021929"	1788.38612154806	-2.88727664927349	0.0797062189503316	-36.2239821095099	2.55284485583303e-287	2.9413414275298e-285	"Kpna3"
"ENSMUSG00000074896"	2629.57282312114	-8.96477650317397	0.249808635014763	-35.8865757488495	4.94762222786634e-282	5.59876465321232e-280	"Ifit3"
"ENSMUSG00000024679"	2028.05815891679	-2.83898542712462	0.0792273155116693	-35.8334169066535	3.33368400163374e-281	3.70623781023738e-279	"Ms4a6d"
"ENSMUSG00000068245"	1106.96689872166	-6.83171006351464	0.190674601275607	-35.8291561529996	3.88399790607663e-281	4.24360253979442e-279	"Phf11d"
"ENSMUSG00000079197"	888.114839302348	-3.47982420259958	0.0972398628785438	-35.7859842618866	1.82460628757934e-280	1.9597508549814e-278	"Psme2"
"ENSMUSG00000020572"	2259.88404972229	-2.83512681864995	0.0795908606893349	-35.6212609600521	6.566750258011e-278	6.93558273083596e-276	"Nampt"
"ENSMUSG00000035692"	2408.83236539643	-8.83805378604023	0.250450137788537	-35.2886760777208	8.76043739378651e-273	9.10080192859429e-271	"Isg15"
"ENSMUSG00000105504"	7656.8484574008	-11.2872509003363	0.320026816308173	-35.2697034284373	1.71178615566171e-272	1.74961110781101e-270	"Gbp5"
"ENSMUSG00000030560"	4116.73009601382	-2.86612679675319	0.081864284788445	-35.0107107655051	1.5459076451308e-268	1.55498678526887e-266	"Ctsc"
"ENSMUSG00000015396"	1292.99334391741	-2.89998332306597	0.0835252699929406	-34.7198317743968	3.95576928263361e-264	3.91682967875769e-262	"Cd83"
"ENSMUSG00000037921"	682.595697964578	-4.81733172923133	0.139005288146313	-34.6557443495297	3.66008181771954e-263	3.56829822752134e-261	"Ddx60"
"ENSMUSG00000033538"	676.622767450913	-5.10548903466634	0.147758926528213	-34.5528297655269	1.29248952116552e-261	1.24098577206453e-259	"Casp4"
"ENSMUSG00000045551"	815.534688040917	-5.41486708853649	0.15680882535436	-34.5316475415197	2.68817858936686e-261	2.54253548071908e-259	"Fpr1"
"ENSMUSG00000034459"	4183.50085619403	-10.1623723859097	0.295187759072514	-34.4268082722674	1.00150742555241e-259	9.33316552312593e-258	"Ifit1"
"ENSMUSG00000061232"	2765.67863061109	-2.31044501044721	0.0674430959609449	-34.2576949875662	3.35007631639716e-257	3.07672950971142e-255	"H2-K1"
"ENSMUSG00000024472"	821.776759125858	-3.18378813886507	0.0949775579614619	-33.5214782017971	2.34507358069008e-246	2.12296161154757e-244	"Dcp2"
"ENSMUSG00000013846"	1096.72316114801	-2.89149076923074	0.0863578828648609	-33.4826500292459	8.62183231802655e-246	7.6952889294837e-244	"St3gal1"
"ENSMUSG00000033880"	1873.45160667268	-2.793906247743	0.0836664320153769	-33.3933954208722	1.70965153362038e-244	1.50473080118782e-242	"Lgals3bp"
"ENSMUSG00000058163"	698.95648108038	-3.86861856744612	0.116669223420637	-33.1588610433986	4.22055143613927e-241	3.66378554120747e-239	"Gm5431"
"ENSMUSG00000021591"	630.504286780028	-3.84147798959287	0.11598282222824	-33.121094277507	1.47714035222681e-240	1.26495113676504e-238	"Glrx"
"ENSMUSG00000000732"	637.200339094619	-5.4480319982357	0.167147587343396	-32.5941408118743	4.96521232327215e-233	4.19527339901009e-231	"Icosl"
"ENSMUSG00000053113"	650.641072231463	-5.38606398011467	0.166766479125277	-32.2970419976822	7.69677954904663e-229	6.41769631609323e-227	"Socs3"
"ENSMUSG00000024661"	9215.58693824667	-1.9161781211178	0.060009739200665	-31.9311189590467	9.88018318298606e-224	8.13126244553022e-222	"Fth1"
"ENSMUSG00000031712"	616.421354123018	-5.67877755957452	0.178247855250644	-31.858882967143	9.91623553440371e-223	8.05630571557901e-221	"Il15"
"ENSMUSG00000091649"	709.782212053269	-6.0567692236624	0.190485191928276	-31.796535795512	7.22762855241826e-222	5.79765596666766e-220	"Phf11b"
"ENSMUSG00000039531"	771.912462515879	-3.34221920989821	0.105383910801035	-31.7147008921344	9.74364993388992e-221	7.71818870388256e-219	"Zup1"
"ENSMUSG00000025888"	673.462831545177	-3.70787005261404	0.117099286292454	-31.6643266582658	4.81604059711186e-220	3.7678085510985e-218	"Casp1"
"ENSMUSG00000001123"	1245.1703374552	-2.67637564238522	0.0849550518763633	-31.5034313236627	7.79564154663472e-218	6.02450981475905e-216	"Lgals9"
"ENSMUSG00000037966"	883.959018830211	-2.743571319074	0.0882083713460399	-31.1032986689099	2.17343619183406e-212	1.6594054394762e-210	"Ninj1"
"ENSMUSG00000052681"	2362.83598066902	-2.2843860832972	0.0738509593764566	-30.9323819566446	4.3846307071354e-210	3.30778628465679e-208	"Rap1b"
"ENSMUSG00000046718"	797.492869869135	-2.82862069396757	0.0917936773146591	-30.8149839587683	1.65076427770659e-208	1.23069332092078e-206	"Bst2"
"ENSMUSG00000022831"	1176.30890058344	-2.93509062764457	0.095259520764291	-30.8115199834683	1.83691384594699e-208	1.35354919090303e-206	"Hcls1"
"ENSMUSG00000050395"	1105.02280207583	-7.7098771012306	0.250795827563215	-30.7416482010143	1.58119695064629e-207	1.15172931910868e-205	"Tnfsf15"
"ENSMUSG00000049401"	1209.67013476602	-2.75295806356204	0.0895843363578223	-30.7303505890364	2.23846936732882e-207	1.61195231599577e-205	"Ogfr"
"ENSMUSG00000020806"	928.758939240015	-3.17384987218822	0.103446872483525	-30.6809649822298	1.02145667895401e-206	7.27300109497932e-205	"Rhbdf2"
"ENSMUSG00000031609"	589.438531242409	-3.65227560212154	0.120036471783501	-30.4263824807249	2.4601436196567e-203	1.73221445752939e-201	"Sap30"
"ENSMUSG00000056529"	717.182414300344	-3.21940907327599	0.106569187547426	-30.2095675810915	1.77356045601414e-200	1.23506072634743e-198	"Ptafr"
"ENSMUSG00000052776"	512.123984333033	-4.2829075930969	0.142058997699105	-30.1487949546745	1.11235726816495e-199	7.66196522647965e-198	"Oas1a"
"ENSMUSG00000076441"	526.040897334999	-4.81217920772078	0.160602626055908	-29.9632660181134	2.95569498661417e-197	2.01400420754559e-195	"Ass1"
"ENSMUSG00000027514"	600.334009221391	-6.00904953363255	0.200950475918168	-29.9031366120257	1.79143802914073e-196	1.20769604156008e-194	"Zbp1"
"ENSMUSG00000020057"	582.739645007731	-3.52536526716875	0.117918935123785	-29.8965154618128	2.18411531604537e-196	1.45691986923995e-194	"Dram1"
"ENSMUSG00000049130"	1421.71355665153	-2.2856457951467	0.0764851645666809	-29.8835180403389	3.22243690455921e-196	2.12714402751997e-194	"C5ar1"
"ENSMUSG00000001750"	1859.28144241183	-2.24839900871388	0.0758026889808404	-29.6612038298823	2.43184912781115e-193	1.58872452813806e-191	"Tcirg1"
"ENSMUSG00000002227"	512.718767108392	-3.57572857801289	0.121024015053962	-29.5456118888351	7.4773469017019e-192	4.83509666490663e-190	"Mov10"
"ENSMUSG00000020077"	481.285096392495	-3.7983707588921	0.128991963046705	-29.4465691441318	1.39296109832614e-190	8.91635806069976e-189	"Srgn"
"ENSMUSG00000015312"	508.945500427673	-3.62924936545847	0.125086612852684	-29.0138911166512	4.39537500362097e-185	2.78534913979461e-183	"Gadd45b"
"ENSMUSG00000030966"	447.790549157084	-4.83772606116845	0.167141720303029	-28.9438570597312	3.35310534264603e-184	2.1038246095394e-182	"Trim21"
"ENSMUSG00000031792"	471.557230165569	-3.56399113394963	0.123403501768489	-28.8807941660832	2.08084216054129e-183	1.29277419326962e-181	"Usb1"
"ENSMUSG00000026626"	937.771422671573	-2.46862508091088	0.0858986733838593	-28.7388033326106	1.25012883302708e-181	7.69132661640061e-180	"Ppp2r5a"
"ENSMUSG00000073411"	6093.55924836378	-1.79255094725894	0.0623854531050122	-28.7334764442854	1.45718391335725e-181	8.87901390283163e-180	"H2-D1"
"ENSMUSG00000023341"	889.204146588064	-7.56653613687483	0.264766495947077	-28.5781481142813	1.25583714766391e-179	7.57927619499638e-178	"Mx2"
"ENSMUSG00000027351"	741.817370486292	-2.71078298163839	0.0949562201572969	-28.5477136426442	2.99865254806106e-179	1.79268501859084e-177	"Spred1"
"ENSMUSG00000037331"	1489.24588649662	-2.01030350791093	0.0706156834283737	-28.4682298649705	2.89875269648714e-178	1.71676596613449e-176	"Larp1"
"ENSMUSG00000032487"	2970.77451473019	-4.28768577317657	0.150788176619691	-28.4351589713213	7.43622255137899e-178	4.36327243593414e-176	"Ptgs2"
"ENSMUSG00000040483"	433.393959794115	-4.69786520175448	0.165250920017854	-28.4286780445574	8.94286104046038e-178	5.19916609297224e-176	"Xaf1"
"ENSMUSG00000045382"	526.710199935191	3.70459453688942	0.131499456235796	28.1719380667749	1.29095878540292e-174	7.43709620281664e-173	"Cxcr4"
"ENSMUSG00000027555"	418.33465450518	-4.40727635652004	0.156890599118467	-28.0913986005761	1.24777928999266e-173	7.12358320782294e-172	"Car13"
"ENSMUSG00000035042"	4757.8338341389	-11.2931552792002	0.405609043652742	-27.8424642051834	1.32899066036025e-170	7.51947662027045e-169	"Ccl5"
"ENSMUSG00000022488"	4258.69925398551	-1.60114201219538	0.0579794156845001	-27.6156976280708	7.20975648179379e-168	4.04320591372807e-166	"Nckap1l"
"ENSMUSG00000000078"	1783.17154879174	-1.80214128338552	0.0655420089088426	-27.495972634772	1.96152183448823e-166	1.09036525132911e-164	"Klf6"
"ENSMUSG00000022014"	431.024256583529	-3.77773633325051	0.137492755437622	-27.4758937023732	3.4087218861806e-166	1.87835396458491e-164	"Epsti1"
"ENSMUSG00000042677"	436.078788432613	-4.03813619166735	0.14758145998942	-27.3620832315715	7.75594873431469e-165	4.2370213042545e-163	"Zc3h12a"
"ENSMUSG00000014599"	982.106590399256	-2.43087770886504	0.0889686583676747	-27.3228545137673	2.27030897603255e-164	1.22965367359985e-162	"Csf1"
"ENSMUSG00000002111"	1277.05100884266	-2.13194356458101	0.07820173052847	-27.2621021321881	1.1943880217257e-163	6.41426855396252e-162	"Spi1"
