"Control_rep1"	"Control_rep2"	"Control_rep3"	"LPS2h_rep1"	"LPS2h_rep2"	"LPS2h_rep3"	"LPS4h_rep1"	"LPS4h_rep2"	"LPS4h_rep3"
"ENSMUSG00000000001"	89	129	127	134	148	142	175	169	188
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	2	1	6	5	4	4	1	5	1
"ENSMUSG00000000056"	123	113	134	87	107	109	54	38	35
"ENSMUSG00000000078"	858	894	972	1714	1662	1860	2601	2498	2325
"ENSMUSG00000000085"	70	62	96	66	61	55	34	34	41
"ENSMUSG00000000093"	12	12	6	16	17	9	5	6	8
"ENSMUSG00000000094"	0	1	1	0	0	1	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	82	80	95	22	19	22	74	91	77
"ENSMUSG00000000125"	1	5	8	5	16	12	1	1	2
"ENSMUSG00000000126"	8	12	28	7	12	14	1	2	1
"ENSMUSG00000000134"	337	340	429	326	319	355	279	372	306
"ENSMUSG00000000148"	109	96	112	94	84	62	61	54	34
"ENSMUSG00000000154"	5	9	11	3	2	6	8	6	6
"ENSMUSG00000000168"	204	227	275	213	260	225	186	166	181
"ENSMUSG00000000171"	249	289	362	286	255	283	262	270	215
"ENSMUSG00000000182"	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000183"	0	0	1	0	0	0	0	0	0
"ENSMUSG00000000202"	13	16	17	33	31	27	9	6	8
"ENSMUSG00000000204"	3	6	3	90	80	103	483	532	486
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	1	2	0	0	0	2	1	0	0
"ENSMUSG00000000216"	0	0	1	0	2	0	0	0	1
"ENSMUSG00000000223"	13	13	11	8	6	14	6	3	3
"ENSMUSG00000000275"	131	89	94	202	206	210	754	800	689
"ENSMUSG00000000282"	25	30	40	9	11	10	6	9	3
"ENSMUSG00000000290"	814	868	975	644	603	680	1200	1330	1103
"ENSMUSG00000000301"	6	7	12	11	4	11	9	6	6
"ENSMUSG00000000303"	1	0	0	0	1	1	0	0	1
"ENSMUSG00000000317"	4	0	0	4	1	1	8	5	7
"ENSMUSG00000000318"	0	2	2	2	0	1	0	0	1
"ENSMUSG00000000320"	2	5	6	2	0	2	5	4	8
