"Control_rep1"	"Control_rep2"	"Control_rep3"	"LPS2h_rep1"	"LPS2h_rep2"	"LPS2h_rep3"	"LPS4h_rep1"	"LPS4h_rep2"	"LPS4h_rep3"
"ENSMUSG00000000001"	30	37	45	53	39	52	46	27	39
"ENSMUSG00000000003"	2	0	0	0	2	0	1	0	0
"ENSMUSG00000000037"	4	8	6	7	9	11	8	3	5
"ENSMUSG00000000056"	19	30	21	8	9	10	3	3	5
"ENSMUSG00000000078"	73	77	82	136	128	157	141	123	133
"ENSMUSG00000000085"	146	178	201	138	130	132	78	57	53
"ENSMUSG00000000093"	4	5	2	3	3	2	2	2	0
"ENSMUSG00000000094"	1	2	2	4	2	1	1	0	3
"ENSMUSG00000000103"	0	1	0	1	1	1	0	0	0
"ENSMUSG00000000120"	5	5	4	7	3	1	8	4	4
"ENSMUSG00000000125"	2	6	5	6	4	2	1	1	6
"ENSMUSG00000000126"	8	9	7	4	7	2	2	2	2
"ENSMUSG00000000134"	17	15	15	18	18	19	20	23	17
"ENSMUSG00000000148"	13	19	10	11	7	14	8	8	9
"ENSMUSG00000000154"	3	3	3	5	1	3	0	2	1
"ENSMUSG00000000168"	33	19	20	20	21	20	11	10	15
"ENSMUSG00000000171"	35	33	49	23	19	24	21	23	29
"ENSMUSG00000000182"	0	0	0	0	1	2	1	0	0
"ENSMUSG00000000183"	0	1	0	0	1	0	1	0	0
"ENSMUSG00000000202"	3	0	1	0	2	2	0	1	1
"ENSMUSG00000000204"	1	0	0	28	18	24	112	125	126
"ENSMUSG00000000214"	2	7	2	3	3	0	0	0	2
"ENSMUSG00000000215"	7	7	1	12	0	10	3	1	3
"ENSMUSG00000000216"	2	5	1	0	1	1	3	0	0
"ENSMUSG00000000223"	3	7	3	2	5	4	2	3	2
"ENSMUSG00000000275"	48	25	39	216	160	181	417	379	355
"ENSMUSG00000000282"	27	24	23	8	4	2	5	4	6
"ENSMUSG00000000290"	86	75	113	39	22	17	86	79	66
"ENSMUSG00000000301"	12	10	5	3	6	6	2	1	5
"ENSMUSG00000000303"	8	10	5	3	4	4	2	2	3
"ENSMUSG00000000317"	1	0	0	1	0	1	0	0	0
"ENSMUSG00000000318"	3	0	2	1	0	0	0	0	0
"ENSMUSG00000000320"	3	3	3	4	2	1	0	1	1
"ENSMUSG00000000339"	34	24	33	29	34	30	33	28	23
"ENSMUSG00000000346"	10	9	11	9	5	6	6	8	10
"ENSMUSG00000000355"	84	90	70	55	57	62	56	51	57
"ENSMUSG00000000359"	3	0	0	1	0	0	2	0	0
"ENSMUSG00000000374"	100	95	127	104	97	93	103	87	107
"ENSMUSG00000000381"	0	0	0	0	0	0	1	1	0
"ENSMUSG00000000385"	3	7	3	1	1	1	2	0	1
"ENSMUSG00000000386"	7	8	5	1766	1331	1782	4704	3841	3800
"ENSMUSG00000000392"	11	14	11	2	3	7	31	22	29
"ENSMUSG00000000394"	0	0	0	0	0	1	1	0	0
"ENSMUSG00000000402"	0	1	1	2	4	2	1	0	0
"ENSMUSG00000000411"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	8	6	4	2	3	0	1	3	3
"ENSMUSG00000000552"	59	59	63	34	20	27	38	31	27
"ENSMUSG00000000560"	10	16	19	9	17	21	8	4	7
"ENSMUSG00000000567"	0	2	2	2	1	2	0	0	0
"ENSMUSG00000000579"	21	26	17	10	11	17	14	7	4
"ENSMUSG00000000581"	31	34	45	22	22	17	14	23	16
"ENSMUSG00000000594"	10	10	15	7	6	4	2	2	3
"ENSMUSG00000000627"	3	0	3	4	1	3	0	0	2
"ENSMUSG00000000632"	20	21	27	21	21	21	22	16	11
"ENSMUSG00000000673"	2	4	3	2	1	2	2	0	0
"ENSMUSG00000000701"	0	0	2	1	0	0	0	0	0
"ENSMUSG00000000706"	1	0	1	3	1	0	1	3	2
"ENSMUSG00000000711"	49	51	58	34	37	33	38	35	30
"ENSMUSG00000000732"	7	13	7	98	113	76	173	171	155
"ENSMUSG00000000753"	4	4	8	2	8	10	1	1	3
"ENSMUSG00000000776"	5	8	5	8	6	10	3	5	5
"ENSMUSG00000000787"	89	101	113	68	54	70	49	43	41
"ENSMUSG00000000791"	1	3	2	1	0	3	0	0	1
"ENSMUSG00000000792"	0	0	2	1	0	2	0	3	0
"ENSMUSG00000000794"	24	17	21	8	9	12	8	4	11
"ENSMUSG00000000805"	2	2	2	0	0	0	3	0	0
"ENSMUSG00000000811"	15	7	11	8	5	8	4	0	5
"ENSMUSG00000000817"	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000826"	247	232	294	205	184	189	169	151	172
"ENSMUSG00000000869"	23	21	30	19	21	24	16	10	8
"ENSMUSG00000000876"	6	10	8	6	5	6	0	3	1
"ENSMUSG00000000881"	18	17	17	20	22	14	13	10	14
"ENSMUSG00000000889"	1	3	2	3	1	1	0	0	1
"ENSMUSG00000000902"	11	26	25	21	13	17	21	13	15
"ENSMUSG00000000938"	0	0	0	0	0	1	0	1	0
"ENSMUSG00000000957"	3	2	5	36	55	49	45	31	47
"ENSMUSG00000000982"	5	7	6	241	292	315	510	441	452
"ENSMUSG00000000983"	1	0	0	0	0	1	1	0	1
"ENSMUSG00000001017"	70	85	70	82	64	78	74	61	53
"ENSMUSG00000001023"	1	1	0	0	0	1	0	0	0
"ENSMUSG00000001025"	8	5	10	4	10	8	1	3	1
"ENSMUSG00000001027"	1	5	5	1	2	3	3	0	1
"ENSMUSG00000001029"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001039"	7	8	3	10	2	5	4	5	1
"ENSMUSG00000001052"	176	201	249	411	341	359	803	601	678
"ENSMUSG00000001053"	2	2	0	0	4	1	2	0	0
"ENSMUSG00000001076"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001082"	0	4	8	1	3	4	2	4	3
"ENSMUSG00000001100"	5	10	18	5	11	9	9	5	9
"ENSMUSG00000001103"	0	0	1	0	0	0	0	0	0
"ENSMUSG00000001105"	8	10	15	12	9	8	5	7	6
"ENSMUSG00000001119"	2	4	3	3	7	3	1	1	2
"ENSMUSG00000001120"	112	119	134	116	125	145	74	64	74
"ENSMUSG00000001123"	32	10	26	73	54	62	150	144	157
"ENSMUSG00000001128"	14	26	26	11	8	12	9	15	8
"ENSMUSG00000001155"	0	2	0	0	2	0	0	0	1
"ENSMUSG00000001157"	41	37	45	48	31	37	19	29	34
"ENSMUSG00000001158"	12	12	12	5	6	9	7	8	9
"ENSMUSG00000001168"	0	3	3	1	0	3	12	11	12
