"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000026390"	4.56736968413529	9.80447397848599	447.463956676995	5.51723558126468e-98	2.22068732145903e-94	"Marco"
"ENSMUSG00000028525"	-2.42991020530322	9.26064001717579	358.001715586825	5.510393265989e-79	1.10896664478029e-75	"Pde4b"
"ENSMUSG00000029816"	-2.28038943291554	12.2261503952993	314.328036390397	1.1437965438151e-69	1.53459369628526e-66	"Gpnmb"
"ENSMUSG00000021190"	-3.41730753153976	9.65793589682663	308.315513267862	2.20430757823586e-68	2.21808450059983e-65	"Lgmn"
"ENSMUSG00000002985"	-6.31539992206158	14.4935110785892	284.016002776072	3.48272718877859e-63	2.80359538696677e-60	"Apoe"
"ENSMUSG00000028581"	-3.52931471091677	8.99686622720988	219.704314682258	2.22026097950866e-49	1.48942507375373e-46	"Laptm5"
"ENSMUSG00000026365"	-3.41396663723158	7.60065074557547	217.130980100747	7.94727958930257e-49	4.56968576384898e-46	"Cfh"
"ENSMUSG00000069516"	-1.77656852417449	14.2571862067235	162.606265916838	4.60820177066791e-37	2.31850151586729e-34	"Lyz2"
"ENSMUSG00000041797"	-4.69351280728109	6.8040989473087	159.330848373546	2.35537668501624e-36	1.05337679524337e-33	"Abca9"
"ENSMUSG00000022010"	-2.00956773545763	7.49287303496251	133.559245643957	9.02213851788729e-31	3.63141075344963e-28	"Tsc22d1"
"ENSMUSG00000044206"	-4.1331880955896	5.16828394385423	126.193503677458	3.58094667764897e-29	1.31030094341246e-26	"Vsig4"
"ENSMUSG00000041571"	2.01694104349731	7.03178328208062	111.671359151496	5.13146222836129e-26	1.72117795576285e-23	"Selenow"
"ENSMUSG00000017561"	-1.77058825463989	7.34257657994315	108.064654565009	3.12662130783658e-25	9.6805005877248e-23	"Crlf3"
"ENSMUSG00000030144"	-1.26107307187671	9.79656132496441	103.809604644706	2.63946746593189e-24	7.58846896455418e-22	"Clec4d"
"ENSMUSG00000035356"	-1.78625107448365	9.12939444747154	100.532306719814	1.3660817758342e-23	3.6656527651551e-21	"Nfkbiz"
"ENSMUSG00000026970"	-1.29651612011502	8.58244516967218	100.015845758802	1.77019390212331e-23	4.45314403502896e-21	"Rbms1"
"ENSMUSG00000026748"	-1.51760911510727	7.73729445140606	97.8501406307225	5.24878341969507e-23	1.24272666260427e-20	"Plxdc2"
"ENSMUSG00000096917"	-3.68760400592037	6.23673114965893	96.9981530024739	8.05013369104886e-23	1.80009933924843e-20	"2500002B13Rik"
"ENSMUSG00000015852"	-4.48015806959494	7.39487843120933	96.0269056953496	1.31092899267051e-22	2.77709957657832e-20	"Fcrls"
"ENSMUSG00000050335"	-1.75634390049767	8.74637271551532	94.5735282643902	2.71985051984689e-22	5.47369917119187e-20	"Lgals3"
"ENSMUSG00000042677"	-1.98988914319575	7.30146588215776	92.4053570581429	8.08246927039361e-22	1.54913994349211e-19	"Zc3h12a"
"ENSMUSG00000004730"	1.18774699147793	9.88306633071134	90.7271078836892	1.87838816837831e-21	3.4365965353285e-19	"Adgre1"
"ENSMUSG00000046223"	-1.96746433227605	8.36845313755399	78.5796301584222	8.47482920220015e-19	1.48309511038503e-16	"Plaur"
"ENSMUSG00000026483"	-2.44601813997915	6.73592394862672	77.293135659251	1.6204087105675e-18	2.71756044168092e-16	"Fam129a"
"ENSMUSG00000018217"	-1.74998696366279	7.95975437097521	77.157160906166	1.73532716214722e-18	2.79387673105702e-16	"Pmp22"
"ENSMUSG00000032554"	-3.31205256649747	9.78960080162985	76.2512383434806	2.73940854450605e-18	4.24081515062956e-16	"Trf"
"ENSMUSG00000018585"	-1.92818617888589	6.82509428683649	75.7063092122709	3.60530853413464e-18	5.37458031477479e-16	"Atox1"
"ENSMUSG00000020017"	-2.1837373012894	6.92681791004076	75.0780321893251	4.94870132887594e-18	7.11375816025917e-16	"Hal"
"ENSMUSG00000052459"	-1.27825800918893	9.76612247443812	74.1308124617215	7.97817638523033e-18	1.10731586036387e-15	"Atp6v1a"
"ENSMUSG00000023992"	-2.59896479130195	8.89156269055022	72.7039652271201	1.6384245618855e-17	2.19821962052972e-15	"Trem2"
"ENSMUSG00000022548"	2.6381876394318	5.73405455654872	72.5824914742409	1.74195836404329e-17	2.26173626299169e-15	"Apod"
"ENSMUSG00000031827"	-1.73156926318829	8.65120470105644	70.9537593753578	3.96205603470091e-17	4.98352360614724e-15	"Cotl1"
"ENSMUSG00000022817"	-1.20889406858462	8.77426874755001	65.8578841632139	5.19358676971231e-16	6.33460204487638e-14	"Itgb5"
"ENSMUSG00000020865"	-2.28198554435759	6.85241392195889	63.898304273259	1.39836856859449e-15	1.65542161429201e-13	"Abcc3"
"ENSMUSG00000010095"	-1.31803823775606	9.35337395325127	63.788095986932	1.47849890493409e-15	1.7002737406742e-13	"Slc3a2"
"ENSMUSG00000034714"	-1.58638628560127	7.13679627332746	63.2390884623567	1.9515637773734e-15	2.18195672331332e-13	"Ttyh2"
"ENSMUSG00000039208"	-1.37385288878401	6.96254399982702	61.8367578861506	3.96663975396993e-15	4.31506081344026e-13	"Metrnl"
"ENSMUSG00000024235"	-1.33128189500771	7.14391729781189	61.5985908496372	4.47457884030254e-15	4.73952100847835e-13	"Map3k8"
"ENSMUSG00000026031"	-1.06467972133119	9.82966867668771	61.4954410510443	4.71429914381641e-15	4.86539847534899e-13	"Cflar"
"ENSMUSG00000004207"	-1.07361608416532	12.4479844229809	60.2518480182799	8.84559967877064e-15	8.90088467676296e-13	"Psap"
"ENSMUSG00000031712"	-1.54217576320138	8.93745304783933	59.6720674849468	1.18627374557729e-14	1.16457361608502e-12	"Il15"
"ENSMUSG00000058755"	-2.85118796090781	5.49961721594672	58.8640754218317	1.78587803865252e-14	1.71146645370867e-12	"Osm"
"ENSMUSG00000041268"	-1.30372619144032	7.7763361880173	58.2111983182592	2.48568071086677e-14	2.32671275842762e-12	"Dmxl2"
"ENSMUSG00000028238"	-1.74124204257784	6.13236827205713	56.5857740260386	5.66340978306774e-14	5.18073281291992e-12	"Atp6v0d2"
"ENSMUSG00000038650"	-1.42606274114401	8.02642966115807	55.4693402524918	9.97327199856682e-14	8.92053773205143e-12	"Rnh1"
"ENSMUSG00000015243"	-0.918591359243048	10.2782658703431	54.3124893218217	1.79307678661671e-13	1.53556043960261e-11	"Abca1"
"ENSMUSG00000042608"	-1.49706241244518	6.85225583444847	54.3319938871043	1.7754265067853e-13	1.53556043960261e-11	"Stk40"
"ENSMUSG00000031996"	-1.14349201990157	8.69374253658289	52.8211598222241	3.8210418027555e-13	3.2041027616856e-11	"Aplp2"
"ENSMUSG00000044811"	-2.39385523550664	6.91474422224799	52.5715500022041	4.33707059996105e-13	3.56259370711087e-11	"Cd300c2"
"ENSMUSG00000015340"	0.924153783878425	11.1953681069866	51.6394916643283	6.96101953789075e-13	5.60362072800205e-11	"Cybb"
"ENSMUSG00000005506"	-1.08897013088771	7.99011843321783	50.8158255881701	1.05759201667428e-12	8.34668209238038e-11	"Celf1"
"ENSMUSG00000030246"	-2.16512868411422	6.39605650102183	50.4193791981707	1.29350954189817e-12	1.00122613579618e-10	"Ldhb"
"ENSMUSG00000031591"	-1.16420691444036	8.18360193105195	49.6084430441836	1.95298284333679e-12	1.48316149894917e-10	"Asah1"
"ENSMUSG00000069792"	2.5296769467853	7.67578047731237	48.9665764008772	2.70624639766478e-12	2.01715587974088e-10	"Wfdc17"
"ENSMUSG00000032691"	-1.51839466648432	9.6400755195127	48.7607127550699	3.00478067218979e-12	2.19895312828435e-10	"Nlrp3"
"ENSMUSG00000015755"	-1.06096305913301	7.68996620848916	48.4924977374555	3.44372804680118e-12	2.47517953363835e-10	"Tab2"
"ENSMUSG00000045932"	-2.43856934453806	11.4428520786206	48.1197418778379	4.16233593730485e-12	2.93919335923719e-10	"Ifit2"
"ENSMUSG00000021133"	-0.979324711658982	8.61053039397579	47.9436192510836	4.55230798244759e-12	3.10559993717823e-10	"Susd6"
"ENSMUSG00000019872"	-1.59687772381874	8.13428262339253	47.9627021638183	4.50834621025757e-12	3.10559993717823e-10	"Smpdl3a"
"ENSMUSG00000011148"	-2.24191023995395	5.84202703838126	47.8654870315982	4.73682319231466e-12	3.17761889151108e-10	"Adssl1"
