"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"geneSymbol"
"ENSMUSG00000045382"	2369.46433635019	4.59266914078417	0.103712063830737	44.2828825418	0	0	"Cxcr4"
"ENSMUSG00000020190"	3911.89561005366	3.58864792138849	0.0726127166972509	49.4217553703558	0	0	"Mknk2"
"ENSMUSG00000037295"	3135.52577885685	3.44937820836143	0.0769252096614045	44.8406734742002	0	0	"Ldlrap1"
"ENSMUSG00000052688"	4815.09918721454	3.01324375941793	0.0639624863332637	47.1095470510328	0	0	"Rab7b"
"ENSMUSG00000058099"	4887.5602429441	2.78346684141517	0.0660591892187953	42.1359522321115	0	0	"Nfam1"
"ENSMUSG00000000275"	13938.7668996272	-1.84279203040616	0.0478252763000761	-38.5317592070708	0	0	"Trim25"
"ENSMUSG00000020841"	16632.1552327566	-1.90613138560003	0.0500821758128086	-38.0600753594361	0	0	"Cpd"
"ENSMUSG00000016559"	33227.1050607289	-1.96055893879731	0.0435577956012776	-45.0105179046253	0	0	"H3f3b"
"ENSMUSG00000031701"	9323.1088610546	-1.96439979158376	0.0522271987235324	-37.6125819418809	0	0	"Dnaja2"
"ENSMUSG00000055447"	14369.2647032032	-1.96891746421292	0.0499242865984268	-39.4380690915063	0	0	"Cd47"
"ENSMUSG00000021814"	10590.7209372941	-2.00965234364908	0.0526504777915399	-38.1696886323794	0	0	"Anxa7"
"ENSMUSG00000052681"	30425.9591012963	-2.0532797372234	0.0488230055533962	-42.0555783887125	0	0	"Rap1b"
"ENSMUSG00000019122"	69623.5114895885	-2.07134619344422	0.0499756086262676	-41.4471429239483	0	0	"Ccl9"
"ENSMUSG00000069662"	11517.5773353273	-2.07809904808906	0.0533417728862883	-38.9581923442826	0	0	"Marcks"
"ENSMUSG00000025492"	19361.4380806944	-2.09445851185866	0.053713594142169	-38.9930807146335	0	0	"Ifitm3"
"ENSMUSG00000032434"	6565.80752113446	-2.10653430192168	0.0546081892988973	-38.5754285019704	0	0	"Cmtm6"
"ENSMUSG00000030830"	7662.50706847967	-2.11171317276647	0.0561962139229899	-37.5774990048318	0	0	"Itgal"
"ENSMUSG00000019832"	7489.84140364288	-2.13248758917632	0.0556775667878737	-38.3006606107789	0	0	"Rab32"
"ENSMUSG00000015947"	16600.3350816803	-2.13269751523015	0.047075919773542	-45.3033637046171	0	0	"Fcgr1"
"ENSMUSG00000033880"	18435.3149003928	-2.15029067329547	0.0462885724236242	-46.4540287312477	0	0	"Lgals3bp"
"ENSMUSG00000015755"	8434.69907664766	-2.17049779941796	0.055707681048441	-38.9622716036338	0	0	"Tab2"
"ENSMUSG00000025044"	24867.3994105114	-2.18363723997769	0.045491532343353	-48.0009603434858	0	0	"Msr1"
"ENSMUSG00000020901"	16872.7675882552	-2.20977560008733	0.050009051169693	-44.1875130281721	0	0	"Pik3r5"
"ENSMUSG00000003226"	12063.0248122277	-2.21891087682796	0.0505958107565209	-43.8556244805699	0	0	"Ranbp2"
