"CD163+_Control_rep1"	"CD163+_Control_rep2"	"CD163+_Control_rep3"	"CD163+_LPS_rep1"	"CD163+_LPS_rep2"	"CD163+_LPS_rep3"	"CD163-_Control_rep1"	"CD163-_Control_rep2"	"CD163-_LPS_rep1"	"CD163-_LPS_rep2"
"ENSMUSG00000000001"	6876	6333	6094	8565	6845	7336	4426	4519	7882	6142
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000037"	6	6	8	5	4	3	12	5	4	5
"ENSMUSG00000000056"	370	787	706	368	741	569	888	898	228	181
"ENSMUSG00000000078"	47195	38034	30217	57035	46480	54698	7951	8422	35856	28157
"ENSMUSG00000000085"	400	454	397	359	387	434	450	429	387	247
"ENSMUSG00000000093"	20	22	19	21	8	32	6	2	7	3
"ENSMUSG00000000094"	1	1	0	0	0	1	1	0	0	1
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	3	9	5	2	10	5	0	0	0	0
"ENSMUSG00000000125"	1	0	0	1	1	1	0	0	0	0
"ENSMUSG00000000126"	13	13	4	14	8	10	21	17	4	3
"ENSMUSG00000000134"	4338	3462	4098	3693	2723	3596	4544	4579	3597	2471
"ENSMUSG00000000148"	797	700	716	733	551	726	658	689	306	222
"ENSMUSG00000000154"	83	69	61	47	32	44	101	117	57	47
"ENSMUSG00000000168"	781	798	904	784	738	846	1423	1461	1551	1268
"ENSMUSG00000000171"	2731	2420	2155	2271	1728	1750	3114	3114	3349	2463
"ENSMUSG00000000182"	10	55	30	21	64	43	0	0	0	1
"ENSMUSG00000000183"	1	1	0	0	0	4	1	0	0	0
"ENSMUSG00000000202"	0	0	0	0	0	1	20	15	1	1
"ENSMUSG00000000204"	21855	25253	28288	42205	39562	44970	26	67	4991	4229
"ENSMUSG00000000214"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	3	4	8	0	4	10	2	1	1	0
"ENSMUSG00000000275"	32046	24367	21309	31221	24263	30737	7151	7176	21123	16397
"ENSMUSG00000000282"	1812	1219	1500	1007	680	934	1542	1513	78	67
"ENSMUSG00000000290"	30989	24372	26894	28987	22022	27364	48904	47256	39348	30339
"ENSMUSG00000000301"	60	61	38	58	38	46	67	69	39	43
"ENSMUSG00000000303"	59	103	192	98	127	136	27	43	18	33
"ENSMUSG00000000317"	40	254	85	55	182	112	9	4	8	5
"ENSMUSG00000000318"	169	125	124	151	86	81	68	46	32	21
"ENSMUSG00000000320"	700	2336	2040	845	2375	1997	47	79	105	105
"ENSMUSG00000000339"	805	778	693	796	636	702	774	796	1210	841
"ENSMUSG00000000346"	11328	8711	8559	10356	7532	8080	10787	10368	9879	7559
"ENSMUSG00000000355"	345	386	356	380	330	290	846	824	793	576
"ENSMUSG00000000359"	3	6	7	5	4	5	10	3	0	3
"ENSMUSG00000000374"	2737	2528	2623	2624	2456	2924	2101	2055	2234	1804
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000385"	140	218	168	247	241	339	6	4	397	325
"ENSMUSG00000000386"	17412	19252	14340	23490	23178	23844	707	687	87264	67546
"ENSMUSG00000000392"	266	224	135	311	268	257	6	3	50	59
"ENSMUSG00000000394"	16	6	4	9	6	5	0	2	1	1
"ENSMUSG00000000402"	3	6	11	6	4	5	0	0	0	0
"ENSMUSG00000000411"	3	3	3	4	2	5	2	4	1	3
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	3	0	9	0	0	0	1	1	0	1
"ENSMUSG00000000552"	5306	4749	4990	3772	3307	4247	1663	1574	1497	993
"ENSMUSG00000000560"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000567"	4	8	5	0	5	4	4	7	1	0
"ENSMUSG00000000579"	91	84	115	65	69	77	102	118	63	62
"ENSMUSG00000000581"	918	918	856	1060	893	748	1287	1261	1469	1125
"ENSMUSG00000000594"	6048	3355	3179	3858	2106	1830	10714	10487	8742	6722
"ENSMUSG00000000627"	61	42	62	17	25	24	1	0	6	6
"ENSMUSG00000000632"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000673"	61	107	112	40	50	67	21	24	0	3
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	0	1	2	0	0	0	0	0
"ENSMUSG00000000711"	1431	1322	1333	1483	1217	1408	2465	2481	3073	2422
"ENSMUSG00000000732"	1296	1386	1402	2265	2413	2827	153	169	2205	1609
"ENSMUSG00000000753"	41	75	57	55	56	57	7	4	0	0
"ENSMUSG00000000776"	1018	844	904	1128	772	1026	600	604	683	512
"ENSMUSG00000000787"	10613	9401	9612	11056	9963	10950	10132	10521	12361	9681
"ENSMUSG00000000791"	23	53	53	48	54	62	3	6	30	23
"ENSMUSG00000000792"	1	14	8	4	8	8	1	1	1	3
"ENSMUSG00000000794"	0	1	0	5	0	2	1	0	0	0
"ENSMUSG00000000805"	2	1	0	4	5	3	0	0	253	161
"ENSMUSG00000000811"	411	303	305	293	245	225	268	245	91	62
"ENSMUSG00000000817"	12	11	12	13	23	29	1	0	1	0
"ENSMUSG00000000826"	5334	4200	4483	4715	3891	4630	4400	4414	3756	2963
"ENSMUSG00000000869"	16	18	6	9	9	14	5	13	4	1
"ENSMUSG00000000876"	227	199	276	151	148	166	403	349	151	115
"ENSMUSG00000000881"	123	226	163	192	267	175	193	205	136	105
"ENSMUSG00000000889"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000902"	859	917	877	811	720	742	1233	1195	1098	833
"ENSMUSG00000000938"	14	17	16	9	23	8	1	0	0	1
"ENSMUSG00000000957"	4228	3462	2921	8187	6207	6971	816	963	15388	12309
"ENSMUSG00000000982"	10493	7388	4845	58866	38926	41347	675	605	98243	67771
"ENSMUSG00000000983"	23	9	5	28	15	9	3	3	13	15
"ENSMUSG00000001017"	5412	4896	4516	5234	4364	4903	3136	3236	3941	2871
"ENSMUSG00000001023"	0	0	0	0	0	0	1	0	0	0
"ENSMUSG00000001025"	2006	2343	2178	2438	1498	1380	7655	8318	5538	4041
"ENSMUSG00000001027"	81	89	109	61	80	123	4	2	5	2
"ENSMUSG00000001029"	137	173	247	126	169	186	112	134	106	69
"ENSMUSG00000001039"	11	10	9	6	8	13	6	17	2	5
"ENSMUSG00000001052"	3320	2646	2595	3839	2917	3529	2109	2105	10891	8325
"ENSMUSG00000001053"	286	454	413	214	287	249	174	174	38	38
"ENSMUSG00000001076"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001082"	1281	1151	1072	1164	944	1168	1188	1166	962	731
"ENSMUSG00000001100"	988	816	837	787	571	656	1174	1116	644	506
"ENSMUSG00000001103"	0	0	0	0	0	0	1	0	0	0
"ENSMUSG00000001105"	671	615	602	583	522	527	927	959	667	474
"ENSMUSG00000001119"	39	74	61	101	77	67	0	2	5	6
"ENSMUSG00000001120"	48	81	66	34	55	44	115	94	56	46
"ENSMUSG00000001123"	10207	11431	10352	12807	12431	13532	2369	2327	19929	15374
"ENSMUSG00000001128"	33631	24140	22738	23644	14849	16370	6051	5717	5434	3497
"ENSMUSG00000001155"	1	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001157"	512	437	478	531	442	460	478	440	396	327
"ENSMUSG00000001158"	678	767	709	832	738	678	861	813	1274	975
