"CD163+_Control_rep1"	"CD163+_Control_rep2"	"CD163+_Control_rep3"	"CD163+_LPS_rep1"	"CD163+_LPS_rep2"	"CD163+_LPS_rep3"	"CD163-_Control_rep1"	"CD163-_Control_rep2"	"CD163-_LPS_rep1"	"CD163-_LPS_rep2"
"ENSMUSG00000000001"	71	108	91	83	122	140	73	69	79	63
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000037"	2	3	3	4	1	0	2	2	1	6
"ENSMUSG00000000056"	7	9	16	4	17	10	26	34	6	4
"ENSMUSG00000000078"	336	255	269	428	374	567	108	106	352	249
"ENSMUSG00000000085"	27	49	31	35	44	37	39	50	16	17
"ENSMUSG00000000093"	1	1	4	0	0	3	2	0	0	0
"ENSMUSG00000000094"	0	2	0	0	4	1	0	0	0	1
"ENSMUSG00000000103"	0	0	0	3	0	0	0	0	0	0
"ENSMUSG00000000120"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000125"	2	2	0	3	1	1	0	1	0	0
"ENSMUSG00000000126"	0	2	5	0	4	3	5	2	0	0
"ENSMUSG00000000134"	11	7	13	22	2	13	47	35	20	10
"ENSMUSG00000000148"	28	12	13	17	23	23	22	17	5	12
"ENSMUSG00000000154"	2	1	6	2	5	3	10	7	1	0
"ENSMUSG00000000168"	28	27	24	33	35	25	28	33	21	14
"ENSMUSG00000000171"	74	74	52	69	46	60	67	62	50	47
"ENSMUSG00000000182"	1	6	1	0	6	2	0	0	0	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000202"	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000204"	1777	1976	2430	2637	2809	3366	3	5	451	392
"ENSMUSG00000000214"	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	1	1	0	0	0	0	0	1	0	0
"ENSMUSG00000000216"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	0	1	1	3	1	1	1	1	0	0
"ENSMUSG00000000275"	954	845	846	959	749	1219	346	317	712	667
"ENSMUSG00000000282"	52	40	50	29	7	35	56	62	6	1
"ENSMUSG00000000290"	735	616	699	656	559	717	642	636	208	180
"ENSMUSG00000000301"	4	11	6	6	3	4	7	3	1	0
"ENSMUSG00000000303"	1	4	1	2	1	3	1	4	1	1
"ENSMUSG00000000317"	2	4	3	3	6	7	0	0	0	0
"ENSMUSG00000000318"	0	0	0	0	2	0	1	1	0	0
"ENSMUSG00000000320"	15	91	55	16	54	58	4	6	2	8
"ENSMUSG00000000339"	33	60	49	48	55	50	35	48	45	34
"ENSMUSG00000000346"	68	64	55	77	45	57	36	41	41	23
"ENSMUSG00000000355"	152	168	187	176	158	152	305	321	161	155
"ENSMUSG00000000359"	0	0	0	2	1	0	0	0	0	1
"ENSMUSG00000000374"	106	128	121	93	121	120	106	107	84	66
"ENSMUSG00000000381"	0	0	0	0	2	0	0	0	0	0
"ENSMUSG00000000385"	32	58	46	29	48	54	2	3	114	68
"ENSMUSG00000000386"	3659	4219	3399	4900	5083	6281	250	252	20241	18048
"ENSMUSG00000000392"	45	90	31	91	103	105	1	3	35	33
"ENSMUSG00000000394"	6	3	2	3	1	1	0	0	2	1
"ENSMUSG00000000402"	0	0	1	1	0	0	0	0	0	0
"ENSMUSG00000000411"	1	1	0	1	0	2	2	2	0	1
"ENSMUSG00000000435"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000544"	3	8	5	2	0	3	3	3	0	0
"ENSMUSG00000000552"	317	314	340	244	226	397	206	182	169	147
"ENSMUSG00000000560"	0	0	0	0	3	0	0	0	0	0
"ENSMUSG00000000567"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000579"	22	27	23	23	18	18	17	14	12	3
"ENSMUSG00000000581"	26	36	36	24	33	21	34	40	27	19
"ENSMUSG00000000594"	14	7	7	3	6	4	36	39	2	4
"ENSMUSG00000000627"	3	2	2	4	1	1	1	0	0	0
"ENSMUSG00000000632"	0	0	0	0	1	0	1	1	0	1
"ENSMUSG00000000673"	19	23	42	17	4	16	3	6	2	5
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	1	0	0	0	0	0	0	0
"ENSMUSG00000000711"	45	55	58	75	60	62	76	76	66	49
"ENSMUSG00000000732"	139	144	183	255	288	333	17	25	191	162
"ENSMUSG00000000753"	0	8	9	4	6	6	5	6	0	0
"ENSMUSG00000000776"	11	22	18	29	10	20	19	15	6	10
"ENSMUSG00000000787"	55	46	44	74	64	68	59	67	45	48
"ENSMUSG00000000791"	1	1	3	6	0	2	0	2	6	2
"ENSMUSG00000000792"	0	1	2	0	1	2	1	1	0	0
"ENSMUSG00000000794"	0	6	4	8	10	10	0	2	0	0
