"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSMUSG00000000982"	-5.06257988018242	10.6995372236906	972.799779816687	1.47251002825533e-46	6.22577239946354e-43	"Ccl3"
"ENSMUSG00000044811"	-3.62671634809351	8.04416299051489	378.689375522735	4.33542612215331e-32	9.16509082223209e-29	"Cd300c2"
"ENSMUSG00000050335"	-2.24741703922653	12.5373397333707	312.258038276781	2.31570061376657e-29	3.26359406500168e-26	"Lgals3"
"ENSMUSG00000005142"	-2.8903351516383	9.47705088065676	224.84931698307	5.7996908531181e-25	6.13027323174583e-22	"Man2b1"
"ENSMUSG00000026103"	2.26854693041805	7.16878708057336	193.944829039948	4.2674971942751e-23	3.60859562747903e-20	"Gls"
"ENSMUSG00000015488"	3.59727664487126	4.69999977307714	178.13649051711	4.66420553670336e-22	3.28671016819697e-19	"Cacfd1"
"ENSMUSG00000042677"	-2.05670543727554	7.73312616068952	167.359957355523	2.59539302024455e-21	1.56761738422771e-18	"Zc3h12a"
"ENSMUSG00000023992"	-3.73626447682613	9.7153060858472	157.579974033275	1.31703510262435e-20	6.96053051736968e-18	"Trem2"
"ENSMUSG00000018930"	-2.7082948647438	10.5453842812473	156.382589350832	1.61423174080445e-20	7.58330200013466e-18	"Ccl4"
"ENSMUSG00000022901"	2.70216895554823	7.07536775655546	152.981409295967	2.89376025075877e-20	1.22348183402081e-17	"Cd86"
"ENSMUSG00000022010"	-3.29056407543822	5.91968053286249	149.411186298493	5.39023429194042e-20	2.07181005330219e-17	"Tsc22d1"
"ENSMUSG00000069516"	-1.51666468822529	13.7500314604669	147.17033342579	8.004618876079e-20	2.82029405067183e-17	"Lyz2"
"ENSMUSG00000004207"	-1.44507656388571	13.3552061196644	134.812803333918	7.6249166263264e-19	2.47985749970062e-16	"Psap"
"ENSMUSG00000024401"	-2.17386124880367	10.1650039452364	132.956494349883	1.08188258707157e-18	3.26728541295614e-16	"Tnf"
"ENSMUSG00000035356"	-2.44462980670122	8.21980276136338	132.558512262088	1.16662306255142e-18	3.28832153897826e-16	"Nfkbiz"
"ENSMUSG00000034997"	-4.40856211792185	2.43710579978961	130.651969443755	1.67759508781011e-18	4.43304501953822e-16	"Htr2a"
"ENSMUSG00000040713"	-2.21046538404669	9.51691927701307	128.578693273692	2.49969675014222e-18	6.216892858589e-16	"Creg1"
"ENSMUSG00000029650"	3.29479579333743	3.83102057023018	126.625202830099	3.65326817669191e-18	8.58112102836299e-16	"Slc46a3"
"ENSMUSG00000028581"	-2.79471162468873	10.1800684003188	125.143037568868	4.88394171157986e-18	1.0868055556084e-15	"Laptm5"
"ENSMUSG00000025534"	-2.1618475179539	9.25169010801187	118.995410717506	1.6664334995929e-17	3.5228404181394e-15	"Gusb"
"ENSMUSG00000028602"	3.17308729360483	4.9568008942058	115.278663733727	3.56608076195718e-17	7.17970926740713e-15	"Tnfrsf8"
"ENSMUSG00000037960"	-1.78646139655182	7.43713267565215	110.079935625954	1.05971487263483e-16	2.03657930977276e-14	"Card19"
"ENSMUSG00000027360"	-3.49430831721004	6.62742276623553	109.301077513944	1.25077770484055e-16	2.29925571133298e-14	"Hdc"
"ENSMUSG00000028673"	-2.42665079433915	7.7754391704382	108.705077613689	1.42060253030694e-16	2.50262812422406e-14	"Fuca1"
"ENSMUSG00000030605"	-5.38862753550537	9.36688776587661	105.409267370743	2.89380406950039e-16	4.89400144233905e-14	"Mfge8"
"ENSMUSG00000028238"	-1.97855608322824	8.30496284465719	102.217916040252	5.8348886482359e-16	9.48842661720823e-14	"Atp6v0d2"
"ENSMUSG00000068220"	-2.52040121967048	9.86233267955973	99.3382454023481	1.11055033658032e-15	1.73903956409689e-13	"Lgals1"
"ENSMUSG00000020437"	-1.77918687753709	8.17639176013665	97.2183807420894	1.79567102923729e-15	2.71146325414831e-13	"Myo1g"
