"IFNg+LPS_rep1"	"IFNg+LPS_rep2"	"IL-10_rep1"	"IL-10_rep2"	"IL-4+IL-13_rep1"	"IL-4+IL-13_rep2"	"non-polarized_rep1"	"non-polarized_rep2"
"ENSG00000000003"	220	134	378	98	318	78	216	142
"ENSG00000000005"	0	0	0	0	0	0	0	0
"ENSG00000000938"	10895	4822	10106	7023	8641	5448	6714	5178
"ENSG00000000971"	60	102	52	36	49	42	70	134
"ENSG00000001497"	838	524	951	613	767	553	1003	618
"ENSG00000001561"	564	93	32	281	21	257	801	108
"ENSG00000002586"	0	527	0	0	0	3	0	0
"ENSG00000002586_PAR_Y"	1197	63	40	14	1026	636	1065	55
"ENSG00000002726"	3045	1080	109	565	110	2257	3917	1246
"ENSG00000002745"	0	4	1	7	1	0	1	10
"ENSG00000002919"	1460	1706	2201	1492	1923	1605	2151	2074
"ENSG00000003137"	2	0	6	1	1	4	1	1
"ENSG00000004468"	2	0	4	0	7	2	5	0
"ENSG00000004660"	625	694	753	526	625	758	671	776
"ENSG00000004766"	2472	2222	3045	2164	2625	2027	2837	2507
"ENSG00000004779"	3365	2308	3390	1433	3193	1927	2958	2795
"ENSG00000004848"	2	9	1	0	0	0	1	9
"ENSG00000004939"	1	0	2	1	1	5	1	1
"ENSG00000004975"	1525	1246	1758	1258	1492	1392	1736	1493
"ENSG00000005007"	5471	4269	7043	4451	5581	4702	5903	4507
"ENSG00000005102"	1	0	0	1	0	0	0	0
"ENSG00000005238"	2583	2157	3160	2842	2809	2586	2838	2275
"ENSG00000005302"	1773	1222	2079	1451	1881	1450	2344	1415
"ENSG00000005381"	5	0	5	0	5	2	7	0
"ENSG00000005421"	0	0	0	0	1	0	0	0
"ENSG00000005469"	524	483	461	431	408	395	512	638
"ENSG00000005471"	590	292	685	712	628	670	161	353
"ENSG00000005486"	1940	2146	2437	1339	2017	2086	2027	2261
"ENSG00000005513"	166	74	73	121	45	106	128	76
"ENSG00000005884"	6735	5856	7687	9845	6445	6409	8452	6116
"ENSG00000005893"	10690	12562	16673	10102	14405	11726	15165	14734
"ENSG00000005961"	3	0	3	15	2	15	0	2
"ENSG00000005981"	0	0	0	0	0	3	0	0
"ENSG00000006025"	514	540	608	645	500	539	522	574
"ENSG00000006042"	39	26	19	5	23	1	26	28
"ENSG00000006059"	0	0	0	0	0	0	0	0
"ENSG00000006128"	4	0	0	0	2	0	0	0
"ENSG00000006210"	368	25	18	17	25	76	116	26
"ENSG00000006432"	168	216	53	213	31	243	204	230
"ENSG00000006468"	273	171	142	129	138	77	268	193
"ENSG00000006606"	0	0	1	0	0	0	0	0
"ENSG00000006611"	1	0	0	0	0	0	0	0
"ENSG00000006638"	642	482	834	350	742	255	834	531
"ENSG00000006659"	1	0	0	0	0	0	0	0
"ENSG00000006715"	4417	3396	7243	2511	6037	3574	5415	3838
"ENSG00000006757"	388	269	386	161	357	252	320	338
"ENSG00000007080"	392	371	646	281	564	282	458	345
"ENSG00000007237"	16314	20094	28872	13241	23800	13969	22935	22261
"ENSG00000007264"	14763	12397	15891	8870	13525	7767	14254	14151
"ENSG00000007306"	0	0	0	0	0	0	0	0
"ENSG00000007392"	1637	1598	1583	2177	1426	2053	1782	1711
"ENSG00000007866"	55	7	38	31	45	23	40	16
"ENSG00000007968"	12	16	11	21	10	6	22	18
"ENSG00000008018"	4731	4041	6994	3285	6072	3429	5683	4560
"ENSG00000008118"	9	2	3	1	1	7	6	1
"ENSG00000008130"	7521	4925	8953	4150	7488	4907	7882	5276
"ENSG00000008196"	0	0	0	0	0	0	0	0
"ENSG00000008197"	0	0	0	0	0	0	0	2
"ENSG00000008277"	111	35	85	62	67	27	148	51
"ENSG00000008282"	821	662	891	726	831	677	989	785
"ENSG00000008283"	475	425	778	390	603	309	493	523
"ENSG00000008323"	173	81	64	94	53	115	112	64
"ENSG00000008869"	2917	2467	3398	2779	2969	2478	3299	2685
"ENSG00000009709"	0	0	0	0	0	0	0	0
"ENSG00000009830"	1042	823	873	873	812	888	975	778
"ENSG00000009844"	1895	1422	2287	1198	1968	1124	2246	1708
"ENSG00000010256"	14682	11118	16196	9042	13851	9987	15227	12311
"ENSG00000010270"	2503	1697	2931	1664	2717	1514	2821	2156
"ENSG00000010318"	274	232	229	198	221	310	284	221
"ENSG00000010319"	47	54	97	62	63	210	717	69
"ENSG00000010322"	2658	4937	4374	4484	3440	5580	3415	5094
"ENSG00000010610"	3860	7619	3921	4936	3172	3974	7758	7693
"ENSG00000010671"	3635	4010	6029	3340	5484	3447	5318	4594
"ENSG00000010704"	1083	1079	897	790	813	886	1058	1227
"ENSG00000010810"	650	633	1474	581	1370	363	519	671
"ENSG00000011009"	2874	2419	4007	2241	3476	2530	3123	2986
"ENSG00000011201"	347	159	902	1013	817	1998	501	197
"ENSG00000011260"	2779	2069	3473	1777	3019	1945	3555	2483
"ENSG00000011332"	3	4	3	4	3	2	1	8
"ENSG00000011465"	35	61	108	2	108	0	73	55
"ENSG00000011478"	544	421	800	502	682	391	637	524
"ENSG00000011590"	64	76	67	113	56	128	74	111
"ENSG00000011600"	12226	12145	18186	10465	15378	12232	14968	13929
"ENSG00000012223"	8	5	4	4	3	19	2	0
"ENSG00000012822"	7230	4729	5370	4097	4460	4859	7198	5003
"ENSG00000013016"	172	181	191	66	173	15	77	127
"ENSG00000013275"	4525	4581	7310	3280	6208	3062	5302	5176
"ENSG00000013288"	3230	4452	5277	3664	4307	4731	4151	4491
"ENSG00000013306"	3071	2212	4156	2476	3432	2535	3121	2465
"ENSG00000013619"	24	50	53	74	58	54	39	43
"ENSG00000014164"	428	262	313	542	275	523	399	307
"ENSG00000014257"	99	175	296	36	218	45	89	222
"ENSG00000014914"	37	15	13	22	15	8	31	18
"ENSG00000015133"	2590	1053	2481	1227	2139	1084	2264	1097
"ENSG00000015153"	470	430	613	670	577	626	496	518
"ENSG00000015285"	781	818	1012	769	845	891	877	839
"ENSG00000015413"	2	1	0	0	0	2	11	3
"ENSG00000015520"	6	2	2	3	1	3	3	0
"ENSG00000015568"	134	120	152	130	106	176	153	90
"ENSG00000015592"	0	0	0	0	0	0	0	0
"ENSG00000016082"	4	0	2	0	0	2	3	4
"ENSG00000016402"	0	1	1	0	1	0	0	0
"ENSG00000016490"	1	6	3	0	0	4	0	1
"ENSG00000017483"	6	14	4	3	0	1	2	7
"ENSG00000018280"	9891	11504	16147	14740	12921	18378	10293	12691
"ENSG00000018607"	0	0	0	0	0	0	0	4
"ENSG00000018610"	1314	977	1699	896	1358	800	1557	1261
"ENSG00000018625"	10	7	9	7	7	11	36	7
"ENSG00000019102"	7	15	23	18	24	7	29	18
"ENSG00000019186"	13	1	0	8	0	8	1	0
"ENSG00000019549"	4	0	11	0	10	0	7	0
"ENSG00000019991"	27	138	3478	98	2907	50	166	152
"ENSG00000021300"	5	22	20	19	12	9	14	17
"ENSG00000021355"	2336	2114	3753	1658	3337	1574	2157	2284
"ENSG00000021461"	0	2	1	1	0	0	1	0
"ENSG00000021574"	1908	1343	2465	1446	2095	1368	2541	1750
"ENSG00000021762"	179	75	209	121	191	126	351	118
"ENSG00000022267"	36	28	346	87	298	132	171	54
"ENSG00000022355"	0	0	7	0	4	1	0	3
"ENSG00000023191"	9454	7463	9827	7059	8106	6859	12176	8020
"ENSG00000023330"	8557	10010	11999	6339	10231	6219	11919	11069
"ENSG00000023516"	2222	2745	3440	2865	3011	3193	2970	3037
"ENSG00000023734"	2047	1593	2714	1375	2280	1387	2398	1811
"ENSG00000023892"	713	1389	1512	382	1185	749	960	1567
"ENSG00000023902"	7954	3278	6338	2658	5539	2499	7885	3875
"ENSG00000023909"	508	574	641	640	566	685	592	708
"ENSG00000025039"	5524	5589	7133	4561	6483	4606	6223	6532
