"IFNg+LPS_rep1"	"IFNg+LPS_rep2"	"IL-10_rep1"	"IL-10_rep2"	"IL-4+IL-13_rep1"	"IL-4+IL-13_rep2"	"non-polarized_rep1"	"non-polarized_rep2"
"ENSG00000000003"	4	5	3	3	2	9	2	1
"ENSG00000000005"	0	0	0	0	0	0	0	3
"ENSG00000000938"	1609	580	1053	1736	868	1172	1065	617
"ENSG00000000971"	5	23	5	4	5	13	7	16
"ENSG00000001497"	105	130	74	204	61	177	109	116
"ENSG00000001561"	25	11	0	16	3	17	25	0
"ENSG00000002586"	2	0	0	3	0	1	1	0
"ENSG00000002586_PAR_Y"	6	4	4	11	3	18	6	4
"ENSG00000002726"	93	71	18	76	14	141	103	83
"ENSG00000002745"	1	2	5	6	1	5	2	6
"ENSG00000002919"	122	218	114	294	89	235	139	221
"ENSG00000003137"	0	0	1	6	2	2	1	0
"ENSG00000004468"	7	1	3	2	3	7	3	2
"ENSG00000004660"	124	193	135	203	93	211	147	182
"ENSG00000004766"	1118	1625	865	2875	815	2909	1212	1652
"ENSG00000004779"	326	335	171	509	169	551	278	292
"ENSG00000004848"	2	1	0	0	0	5	0	4
"ENSG00000004939"	0	1	2	15	1	3	0	0
"ENSG00000004975"	28	22	14	36	11	41	33	18
"ENSG00000005007"	629	629	575	971	439	1058	637	675
"ENSG00000005102"	0	0	0	0	1	1	0	0
"ENSG00000005238"	106	127	123	220	110	218	133	132
"ENSG00000005302"	42	46	41	57	33	69	43	42
"ENSG00000005381"	2	0	0	0	1	1	1	0
"ENSG00000005421"	1	0	3	3	3	3	0	0
"ENSG00000005469"	132	187	114	301	67	256	104	211
"ENSG00000005471"	307	170	220	494	162	528	82	183
"ENSG00000005486"	124	164	137	318	123	380	136	219
"ENSG00000005513"	3	0	1	1	0	1	3	3
"ENSG00000005884"	444	220	277	774	259	469	473	239
"ENSG00000005893"	398	483	380	957	276	948	500	543
"ENSG00000005961"	3	1	2	3	2	1	0	2
"ENSG00000005981"	3	0	2	0	2	6	0	0
"ENSG00000006025"	89	112	80	142	58	105	64	96
"ENSG00000006042"	3	4	2	2	1	7	1	0
"ENSG00000006059"	0	0	0	0	0	0	0	0
"ENSG00000006128"	0	0	0	0	0	0	0	0
"ENSG00000006210"	18	0	0	1	0	5	5	0
"ENSG00000006432"	80	87	12	111	17	190	53	96
"ENSG00000006468"	114	108	47	110	43	103	68	113
"ENSG00000006606"	0	0	0	0	0	2	0	0
"ENSG00000006611"	1	0	0	4	0	1	0	0
"ENSG00000006638"	15	10	22	22	12	16	27	19
"ENSG00000006659"	0	0	0	0	0	0	0	0
"ENSG00000006715"	1920	3085	1626	4910	1356	4597	1890	3021
"ENSG00000006757"	64	70	36	78	26	160	57	84
"ENSG00000007080"	76	77	68	140	55	144	68	93
"ENSG00000007237"	5218	6177	3251	11648	2569	10756	5812	6034
"ENSG00000007264"	990	873	632	1214	520	1093	842	882
"ENSG00000007306"	0	2	0	1	1	7	1	0
"ENSG00000007392"	920	832	615	1493	479	1288	833	760
"ENSG00000007866"	47	2	45	28	33	31	41	11
"ENSG00000007968"	5	3	2	15	1	5	5	0
"ENSG00000008018"	384	362	344	769	266	722	392	391
"ENSG00000008118"	9	2	0	2	0	11	3	1
"ENSG00000008130"	911	673	818	1072	646	1124	705	705
"ENSG00000008196"	0	1	0	0	0	0	0	0
"ENSG00000008197"	0	0	0	0	1	0	2	0
"ENSG00000008277"	132	38	58	45	36	44	117	52
"ENSG00000008282"	103	137	61	214	60	232	107	114
"ENSG00000008283"	39	32	33	55	34	29	26	23
"ENSG00000008323"	77	83	77	178	64	184	87	101
"ENSG00000008869"	765	874	482	1560	476	1414	712	894
"ENSG00000009709"	1	0	0	2	0	0	1	0
"ENSG00000009830"	158	212	123	352	82	345	139	186
"ENSG00000009844"	454	542	324	1105	300	1194	432	587
"ENSG00000010256"	2169	2505	2244	3144	1728	3027	2414	2663
"ENSG00000010270"	570	629	436	1280	368	1027	556	725
"ENSG00000010318"	178	194	145	242	160	246	213	158
"ENSG00000010319"	6	9	7	3	4	39	48	7
"ENSG00000010322"	539	1014	634	1279	462	1530	577	985
"ENSG00000010610"	203	296	121	327	112	234	274	263
"ENSG00000010671"	475	688	479	981	440	1066	533	714
"ENSG00000010704"	66	60	37	53	46	75	54	51
"ENSG00000010810"	567	1000	719	2052	656	975	439	917
"ENSG00000011009"	38	67	51	105	55	101	53	66
"ENSG00000011201"	98	158	196	1359	176	2149	139	181
"ENSG00000011260"	833	836	662	1443	542	1780	698	1002
"ENSG00000011332"	3	7	2	0	2	1	0	5
"ENSG00000011465"	0	0	0	0	1	0	1	0
"ENSG00000011478"	135	104	120	185	66	127	92	69
"ENSG00000011590"	77	89	58	164	49	209	96	89
"ENSG00000011600"	336	514	364	775	280	719	413	509
"ENSG00000012223"	13	0	1	13	0	2	0	4
"ENSG00000012822"	303	197	195	304	144	335	293	217
"ENSG00000013016"	25	24	29	29	22	8	19	33
"ENSG00000013275"	155	166	183	283	151	225	165	203
"ENSG00000013288"	238	249	229	357	203	428	238	251
"ENSG00000013306"	72	70	56	108	49	93	54	61
"ENSG00000013619"	321	540	499	990	409	648	302	473
"ENSG00000014164"	663	576	411	1355	329	1178	800	567
"ENSG00000014257"	27	51	39	28	21	24	22	38
"ENSG00000014914"	5	0	1	9	0	0	1	0
"ENSG00000015133"	780	466	466	1010	371	964	808	517
"ENSG00000015153"	534	555	394	1226	385	1296	476	582
"ENSG00000015285"	83	82	61	192	93	168	105	94
"ENSG00000015413"	3	3	0	0	1	1	1	4
"ENSG00000015520"	6	2	1	1	0	9	5	9
"ENSG00000015568"	28	24	23	56	16	75	16	33
"ENSG00000015592"	1	0	0	0	0	0	0	0
"ENSG00000016082"	0	0	2	0	0	0	0	0
"ENSG00000016402"	3	0	0	2	1	0	1	0
"ENSG00000016490"	1	24	5	3	6	6	6	34
"ENSG00000017483"	3	0	1	5	0	0	0	1
"ENSG00000018280"	1481	2047	1930	3155	1525	3222	1440	1988
"ENSG00000018607"	0	0	0	0	0	0	0	0
"ENSG00000018610"	109	117	78	162	38	184	82	97
"ENSG00000018625"	2	10	3	0	1	4	3	0
