"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"geneSymbol"
"ENSG00000163898"	3.58594862770088	-0.197405397777513	4.8431804627357	0.0400092904028872	0.996779474457781	"LIPH"
"ENSG00000227113"	3.02441243379965	0.892163187577563	6.93172519183595	0.0161809773102546	0.996779474457781	""
"ENSG00000215246"	2.63835843663923	0.239307710104101	3.03103369184455	0.0983211238257661	0.996779474457781	""
"ENSG00000096696"	2.58649520067559	3.10110716519168	7.94173633689512	0.0108087769383429	0.996779474457781	"DSP"
"ENSG00000266905"	2.56305644392679	-0.111621326407901	4.13967756460853	0.0557398100102997	0.996779474457781	""
"ENSG00000029559"	2.50492660028468	4.98425201738726	7.98250020715952	0.0106384806082829	0.996779474457781	"IBSP"
"ENSG00000106025"	2.37643120413437	0.641012961904571	6.34746042849628	0.0206284730491751	0.996779474457781	"TSPAN12"
"ENSG00000170044"	2.27632286795872	1.39952540893957	5.08899727707828	0.0357587793586921	0.996779474457781	"ZPLD1"
"ENSG00000131459"	2.20506843355721	1.86676450783797	10.3720579908785	0.00439946193215133	0.996779474457781	"GFPT2"
"ENSG00000236091"	2.19845343783062	-0.399021698885308	2.41409395421196	0.13635485937469	0.996779474457781	"LINC02243"
"ENSG00000185433"	2.16537805179169	-0.21857274358498	2.15731747731467	0.157867153037608	0.996779474457781	"LINC00158"
"ENSG00000286996"	2.12641993578463	-0.0144636457933809	2.93182800395895	0.102734015290907	0.996779474457781	""
"ENSG00000281162"	2.09868369942121	0.889663879056145	5.09539900682404	0.0356551541109962	0.996779474457781	"LINC01127"
"ENSG00000188886"	2.09314356390172	0.148579678585551	2.9113465731499	0.10386233764917	0.996779474457781	"ASTL"
"ENSG00000237292"	2.05139561753053	-0.443791790318271	1.77622972633525	0.198003220012371	0.996779474457781	"LINC01732"
"ENSG00000167105"	2.00936857094501	0.143311450730028	3.19345020814483	0.0895162969961298	0.996779474457781	"TMEM92"
"ENSG00000166313"	2.00052061650909	0.870657373483149	2.42357221913531	0.135630849176092	0.996779474457781	"APBB1"
"ENSG00000146005"	1.98764981975076	0.0894462498854207	2.98000109776804	0.100136560723496	0.996779474457781	"PSD2"
"ENSG00000230013"	1.9547394158721	-0.11190116603139	2.40280000663858	0.137223631754736	0.996779474457781	"CT70"
"ENSG00000254486"	1.90153840736421	0.231014562027381	2.5916479103911	0.123525453658798	0.996779474457781	"LINC02547"
"ENSG00000288095"	1.8436960542544	-0.148061297483595	2.09937543017337	0.163277350525327	0.996779474457781	""
"ENSG00000163950"	1.83442423380367	9.79494720788635	1.85744435356558	0.188478700645983	0.996779474457781	"SLBP"
"ENSG00000100162"	1.74822791985676	0.543472027392437	2.64564199658122	0.119913337765568	0.996779474457781	"CENPM"
"ENSG00000022267"	1.73879778238207	1.96888138332228	4.84885237072668	0.0399049547980089	0.996779474457781	"FHL1"
"ENSG00000156384"	1.70151759381127	3.78340297839665	11.4105885142125	0.00307655267897778	0.996779474457781	"SFR1"
"ENSG00000174371"	1.68777891316526	1.0359179879937	3.45678324657096	0.0781760666582514	0.996779474457781	"EXO1"
"ENSG00000286234"	1.66772034316201	-0.04113123046308	1.75767518461737	0.200262911656372	0.996779474457781	""
"ENSG00000237476"	1.65137678804815	2.06984184719857	6.84876804302992	0.0167412039029028	0.996779474457781	"LINC01637"
"ENSG00000167925"	1.64029972122355	5.4000733989314	5.64805158017061	0.0278691514222533	0.996779474457781	"GHDC"
"ENSG00000131471"	1.63453198552438	1.6598925447499	2.27778691621636	0.147299436123605	0.996779474457781	"AOC3"
"ENSG00000205090"	1.62167098587096	-0.256446723154922	1.58621994908754	0.222759122339753	0.996779474457781	"TMEM240"
"ENSG00000135378"	1.62110030912765	1.72518905217711	2.61671878156832	0.121832375670419	0.996779474457781	"PRRG4"
"ENSG00000248727"	1.61849910832108	0.829783058323029	2.77920759440473	0.111503769673973	0.996779474457781	"LINC01948"
"ENSG00000274346"	1.61350153326458	0.926908312144822	2.8193767698658	0.109112628646756	0.996779474457781	""
"ENSG00000136492"	1.58625368126871	2.81993864311609	9.67194217905747	0.00564642056000651	0.996779474457781	"BRIP1"
"ENSG00000171658"	1.58581897830388	0.144414923896065	1.96864991726998	0.176340482237753	0.996779474457781	"NMRAL2P"
"ENSG00000243491"	1.57874793802692	0.380550080064922	2.0488670854147	0.168179106155695	0.996779474457781	""
"ENSG00000286329"	1.57811736290231	2.21399422807037	3.80243690623537	0.0657289045186047	0.996779474457781	""
"ENSG00000205111"	1.57693831123287	0.87223464656503	2.1064062447986	0.16260894254013	0.996779474457781	"CDKL4"
"ENSG00000172771"	1.55851220217749	0.453382901607566	2.7360595910135	0.114141643867807	0.996779474457781	"EFCAB12"
"ENSG00000198857"	1.54176916934348	0.462508733124293	2.00763832342812	0.172314424378372	0.996779474457781	"HSD3BP5"
"ENSG00000283183"	1.53543110083391	0.291209531258131	1.77486080309275	0.198168843413602	0.996779474457781	""
"ENSG00000183508"	1.51624497979878	0.289240470287028	1.10076590495876	0.306949787352148	0.996779474457781	"TENT5C"
"ENSG00000170412"	1.51323002893785	2.7511820667654	5.62120181849398	0.0281995515132226	0.996779474457781	"GPRC5C"
"ENSG00000231655"	1.50849155669753	0.0956093820758746	2.02578802069352	0.17047878632708	0.996779474457781	"EMP2P1"
"ENSG00000152583"	1.50704914341395	1.11389706334848	2.06115211717513	0.166970481254936	0.996779474457781	"SPARCL1"
"ENSG00000128228"	1.50454888292605	4.30957538814033	3.70657368955112	0.0689350073388754	0.996779474457781	"SDF2L1"
"ENSG00000166257"	1.45754733544248	0.944009031772219	1.59003135004044	0.222225250893938	0.996779474457781	"SCN3B"
"ENSG00000146410"	1.45617863665352	1.6463377494119	4.80069842560528	0.0408007043955079	0.996779474457781	"MTFR2"
"ENSG00000057468"	1.43452831822797	1.2539214114222	2.27447345430879	0.14757841733156	0.996779474457781	"MSH4"
"ENSG00000203797"	1.43371153331402	2.25896959592842	3.81127533965659	0.065442075899303	0.996779474457781	"DDO"
"ENSG00000139579"	1.43019730929575	4.46510229528689	6.91939554931155	0.0162628936947799	0.996779474457781	"NABP2"
"ENSG00000143434"	1.41655418132685	0.90041764610371	2.23757967795116	0.150728328518373	0.996779474457781	"SEMA6C"
"ENSG00000001561"	1.398174727715	4.23397754015848	4.56004771687989	0.0456353274614053	0.996779474457781	"ENPP4"
"ENSG00000246705"	1.38681406627853	6.19213290596532	6.61228822678225	0.0184615892609344	0.996779474457781	"H2AJ"
"ENSG00000204381"	1.37706121036544	2.59077559153108	4.4716413420163	0.0475731968432785	0.996779474457781	"LAYN"
"ENSG00000165192"	1.37238534796645	1.88051262321751	3.0152268911185	0.0982860329360558	0.996779474457781	"ASB11"
"ENSG00000139055"	1.37128984999951	2.03498347242074	4.86240599669872	0.0396568857601055	0.996779474457781	"ERP27"
"ENSG00000105202"	1.3691306266946	4.7389425917093	7.43467142857529	0.0132032320129732	0.996779474457781	"FBL"
"ENSG00000287126"	1.3679004609869	1.3429514877418	1.71836897924082	0.205157557717159	0.996779474457781	""
"ENSG00000179921"	1.35622587262394	1.42369822904605	2.69499296216833	0.11672123388331	0.996779474457781	"GPBAR1"
"ENSG00000100485"	1.35418091562595	7.96134351207477	6.00965982775339	0.0238200352611452	0.996779474457781	"SOS2"
"ENSG00000261170"	1.3441414903964	0.728598129092899	1.97147539967205	0.176044851529445	0.996779474457781	""
"ENSG00000128284"	1.33798075120791	0.814887748332612	1.3962829003842	0.25158147182531	0.996779474457781	"APOL3"
"ENSG00000225518"	1.330689738437	0.480397239913178	1.82928450406415	0.191715212780562	0.996779474457781	"LINC01703"
"ENSG00000286369"	1.3282294569399	1.73099852837645	3.54072777939761	0.074918864210552	0.996779474457781	""
"ENSG00000057593"	1.3212780018954	0.19283113156088	1.31705197107337	0.26503068870546	0.996779474457781	"F7"
"ENSG00000156413"	1.30896873630936	1.32055301379303	2.59954058362098	0.122989442860764	0.996779474457781	"FUT6"
"ENSG00000073756"	1.30597891625729	2.21851138937586	2.64290685600476	0.120093265545013	0.996779474457781	"PTGS2"
"ENSG00000181264"	1.30254062303458	0.777027863331386	1.45742279602956	0.241805316550502	0.996779474457781	"TLCD5"
"ENSG00000169715"	1.29595194060407	4.41692899922491	3.05764079170233	0.0961109285980921	0.996779474457781	"MT1E"
"ENSG00000113721"	1.29464685499999	1.15273570798402	2.1942976114663	0.154528135782782	0.996779474457781	"PDGFRB"
"ENSG00000081985"	1.28314696742248	1.56000098530074	2.42880294123042	0.135233269303053	0.996779474457781	"IL12RB2"
"ENSG00000187801"	1.28130208024052	3.07253210372712	5.42936933284247	0.0306933610918466	0.996779474457781	"ZFP69B"
"ENSG00000184786"	1.27661044138395	1.60499654299608	2.4137304055967	0.136382721807896	0.996779474457781	"TCTE3"
"ENSG00000134291"	1.27483084766944	3.69148084435864	4.5042594726997	0.0468474633058891	0.996779474457781	"TMEM106C"
"ENSG00000287670"	1.27215007979821	0.251480824028353	1.4823163070953	0.237965737292277	0.996779474457781	""
"ENSG00000168556"	1.26467318878671	4.56025017282759	8.51872611034898	0.00865644972905085	0.996779474457781	"ING2"
"ENSG00000236519"	1.26318961849821	-0.215130161363373	0.906887066694017	0.352617371240542	0.996779474457781	"LINC01424"
