Row.names	DMSO_rep1	DMSO_rep2	DMSO_rep3	DMSO_rep4	THAP_rep1	THAP_rep2	THAP_rep3	THAP_rep4	V2	V3
ENSG00000000003.14	13	28	15	9	19	15	13	14	TSPAN6	protein_coding
ENSG00000000005.6	0	0	0	1	1	0	2	0	TNMD	protein_coding
ENSG00000000419.12	69	126	83	55	58	91	87	69	DPM1	protein_coding
ENSG00000000457.14	27	50	32	21	30	40	28	34	SCYL3	protein_coding
ENSG00000000460.17	62	67	52	67	44	64	48	63	C1orf112	protein_coding
ENSG00000000938.13	0	0	2	0	0	0	1	1	FGR	protein_coding
ENSG00000000971.15	1	2	0	0	0	0	0	0	CFH	protein_coding
ENSG00000001036.13	27	29	28	17	24	22	39	32	FUCA2	protein_coding
ENSG00000001167.14	169	157	133	58	88	92	91	72	NFYA	protein_coding
ENSG00000001460.18	71	84	78	68	73	55	77	66	STPG1	protein_coding
ENSG00000001461.17	88	116	115	73	101	143	86	100	NIPAL3	protein_coding
ENSG00000001497.16	106	124	114	49	139	93	74	96	LAS1L	protein_coding
ENSG00000001561.7	15	19	18	25	15	22	22	21	ENPP4	protein_coding
ENSG00000001617.12	18	18	4	13	13	7	4	7	SEMA3F	protein_coding
ENSG00000001626.15	0	3	3	2	5	1	0	3	CFTR	protein_coding
ENSG00000001629.10	82	188	136	117	53	129	109	144	ANKIB1	protein_coding
ENSG00000002079.14	0	3	2	2	3	4	1	4	MYH16	transcribed_unitary_pseudogene
ENSG00000002330.13	66	126	69	96	87	96	39	50	BAD	protein_coding
ENSG00000002549.12	45	64	37	18	43	39	34	29	LAP3	protein_coding
ENSG00000002586.20	0	0	0	0	0	0	0	0	CD99	protein_coding
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0	0	0	CD99	protein_coding
ENSG00000002587.10	0	4	1	1	1	3	2	1	HS3ST1	protein_coding
ENSG00000002726.20	0	0	0	0	0	0	2	1	AOC1	protein_coding
ENSG00000002745.13	1	1	2	0	2	1	1	1	WNT16	protein_coding
ENSG00000002834.18	68	189	86	87	84	71	52	55	LASP1	protein_coding
ENSG00000002919.14	23	42	34	28	34	17	26	19	SNX11	protein_coding
ENSG00000002933.9	0	0	0	0	0	0	0	0	TMEM176A	protein_coding
ENSG00000003056.8	142	162	122	75	173	137	124	137	M6PR	protein_coding
ENSG00000003137.8	32	57	38	15	58	34	15	22	CYP26B1	protein_coding
ENSG00000003147.19	50	51	59	24	44	68	59	50	ICA1	protein_coding
ENSG00000003249.13	101	116	80	127	129	81	52	60	DBNDD1	protein_coding
ENSG00000003393.15	84	130	86	70	65	96	72	107	ALS2	protein_coding
ENSG00000003400.14	20	30	13	8	25	33	18	17	CASP10	protein_coding
ENSG00000003436.16	7	16	19	17	7	20	15	11	TFPI	protein_coding
ENSG00000003509.16	37	43	28	29	30	31	29	50	NDUFAF7	protein_coding
ENSG00000003987.14	49	46	40	37	38	36	37	61	MTMR7	protein_coding
ENSG00000004142.12	87	136	105	106	133	96	58	71	POLDIP2	protein_coding
ENSG00000004399.12	49	72	63	44	82	55	28	46	PLXND1	protein_coding
ENSG00000004468.13	1	4	3	1	0	1	4	2	CD38	protein_coding
ENSG00000004478.8	77	93	59	40	72	34	36	45	FKBP4	protein_coding
ENSG00000004487.16	163	207	129	72	118	121	102	107	KDM1A	protein_coding
ENSG00000004660.14	210	260	285	316	247	151	153	217	CAMKK1	protein_coding
ENSG00000004700.16	52	72	60	39	45	69	59	78	RECQL	protein_coding
ENSG00000004766.17	18	30	34	24	11	25	36	36	VPS50	protein_coding
ENSG00000004776.13	80	51	110	191	125	36	75	72	HSPB6	protein_coding
ENSG00000004777.18	39	46	50	48	88	37	26	40	ARHGAP33	protein_coding
ENSG00000004779.10	189	214	138	94	218	127	153	125	NDUFAB1	protein_coding
ENSG00000004799.8	4	1	2	1	0	1	0	2	PDK4	protein_coding
ENSG00000004838.14	0	1	2	1	0	0	0	0	ZMYND10	protein_coding
ENSG00000004846.16	1	2	2	3	1	1	1	0	ABCB5	protein_coding
ENSG00000004848.8	2	3	3	2	0	2	0	1	ARX	protein_coding
ENSG00000004864.13	53	64	87	42	56	83	78	69	SLC25A13	protein_coding
ENSG00000004939.15	0	0	0	0	1	3	1	0	SLC4A1	protein_coding
ENSG00000004948.15	1	0	0	0	1	1	0	1	CALCR	protein_coding
ENSG00000004961.15	19	24	24	13	25	18	17	21	HCCS	protein_coding
ENSG00000004975.12	23	30	16	7	21	16	14	15	DVL2	protein_coding
ENSG00000005001.10	1	0	0	0	0	0	0	0	PRSS22	protein_coding
ENSG00000005007.12	156	266	170	124	206	137	99	123	UPF1	protein_coding
ENSG00000005020.13	37	74	78	49	34	58	61	80	SKAP2	protein_coding
ENSG00000005022.6	11	10	6	9	20	5	6	8	SLC25A5	protein_coding
ENSG00000005059.16	22	36	19	13	19	24	10	14	MCUB	protein_coding
ENSG00000005073.5	13	19	10	11	12	1	10	6	HOXA11	protein_coding
ENSG00000005075.15	20	36	23	26	41	21	17	13	POLR2J	protein_coding
ENSG00000005102.13	2	1	0	2	3	3	0	3	MEOX1	protein_coding
ENSG00000005108.16	2	6	1	3	5	2	3	2	THSD7A	protein_coding
ENSG00000005156.11	93	107	74	56	151	108	73	81	LIG3	protein_coding
ENSG00000005187.12	0	6	4	4	4	5	2	2	ACSM3	protein_coding
ENSG00000005189.19	48	91	59	44	63	59	41	42	REXO5	protein_coding
ENSG00000005194.15	261	234	188	86	271	180	159	112	CIAPIN1	protein_coding
ENSG00000005238.19	6	13	6	8	12	10	6	16	FAM214B	protein_coding
ENSG00000005243.10	14	11	14	9	11	16	3	11	COPZ2	protein_coding
ENSG00000005249.13	20	30	35	19	19	29	13	27	PRKAR2B	protein_coding
ENSG00000005302.18	14	11	7	3	7	3	3	4	MSL3	protein_coding
ENSG00000005339.14	226	492	228	229	223	266	171	210	CREBBP	protein_coding
ENSG00000005379.17	57	95	75	62	80	59	41	62	TSPOAP1	protein_coding
ENSG00000005381.7	0	0	0	0	0	1	0	0	MPO	protein_coding
ENSG00000005421.8	0	0	2	1	0	1	1	0	PON1	protein_coding
ENSG00000005436.13	76	130	96	57	34	94	80	96	GCFC2	protein_coding
ENSG00000005448.16	3	1	4	1	2	3	1	5	WDR54	protein_coding
ENSG00000005469.11	41	77	59	34	33	43	46	52	CROT	protein_coding
ENSG00000005471.17	18	29	14	12	13	20	15	16	ABCB4	protein_coding
ENSG00000005483.21	48	136	77	50	42	71	59	80	KMT2E	protein_coding
ENSG00000005486.17	199	237	242	229	346	181	197	177	RHBDD2	protein_coding
ENSG00000005513.10	1	1	1	1	1	0	1	1	SOX8	protein_coding
ENSG00000005700.15	62	119	95	100	37	89	98	108	IBTK	protein_coding
ENSG00000005801.18	59	137	67	47	74	82	85	72	ZNF195	protein_coding
ENSG00000005812.11	30	46	33	15	33	44	38	34	FBXL3	protein_coding
ENSG00000005844.17	4	6	5	10	3	0	4	2	ITGAL	protein_coding
ENSG00000005882.11	28	39	27	28	39	34	21	30	PDK2	protein_coding
ENSG00000005884.18	29	55	49	41	38	46	32	40	ITGA3	protein_coding
ENSG00000005889.15	71	167	118	74	96	143	96	120	ZFX	protein_coding
ENSG00000005893.15	186	227	191	121	90	143	159	157	LAMP2	protein_coding
ENSG00000005961.18	8	8	14	10	4	9	7	3	ITGA2B	protein_coding
ENSG00000005981.13	0	1	0	0	0	0	0	1	ASB4	protein_coding
ENSG00000006007.12	18	29	17	16	14	14	19	12	GDE1	protein_coding
ENSG00000006015.17	5	12	17	12	13	9	2	9	REX1BD	protein_coding
ENSG00000006016.11	39	39	23	35	74	34	17	17	CRLF1	protein_coding
ENSG00000006025.12	37	66	83	148	47	28	44	56	AC003665.1	protein_coding
ENSG00000006042.12	123	152	85	56	116	104	62	55	TMEM98	protein_coding
ENSG00000006047.13	0	1	0	2	2	0	2	3	YBX2	protein_coding
ENSG00000006059.3	0	0	0	0	0	0	0	0	KRT33A	protein_coding
ENSG00000006062.17	82	241	160	141	92	112	93	96	MAP3K14	protein_coding
ENSG00000006071.14	18	23	12	16	23	13	14	13	ABCC8	protein_coding
ENSG00000006116.3	3	1	2	1	3	1	4	4	CACNG3	protein_coding
ENSG00000006118.14	51	80	63	37	60	44	20	28	TMEM132A	protein_coding
ENSG00000006128.12	2	2	4	1	1	5	11	13	TAC1	protein_coding
ENSG00000006210.7	0	0	1	0	1	1	1	0	CX3CL1	protein_coding
ENSG00000006283.18	126	139	66	59	124	82	37	47	CACNA1G	protein_coding
ENSG00000006327.13	0	9	11	10	5	7	12	12	TNFRSF12A	protein_coding
ENSG00000006377.11	6	3	1	3	8	2	3	1	DLX6	protein_coding
ENSG00000006432.15	43	79	46	38	61	65	53	47	MAP3K9	protein_coding
ENSG00000006451.8	34	57	42	38	20	42	37	40	RALA	protein_coding
ENSG00000006453.14	500	538	388	299	509	332	294	265	BAIAP2L1	protein_coding
ENSG00000006468.14	13	17	11	7	23	35	27	20	ETV1	protein_coding
ENSG00000006530.18	82	102	125	63	59	100	117	96	AGK	protein_coding
ENSG00000006534.16	6	7	2	5	6	0	3	5	ALDH3B1	protein_coding
ENSG00000006555.11	0	0	0	1	0	0	0	0	TTC22	protein_coding
ENSG00000006606.8	1	0	0	3	0	1	0	2	CCL26	protein_coding
ENSG00000006607.14	202	307	212	181	197	186	143	128	FARP2	protein_coding
ENSG00000006611.16	0	5	3	1	3	1	0	0	USH1C	protein_coding
ENSG00000006634.8	54	112	77	66	47	85	32	71	DBF4	protein_coding
ENSG00000006638.11	5	4	4	3	5	4	0	5	TBXA2R	protein_coding
ENSG00000006659.13	0	0	0	0	0	0	0	0	LGALS14	protein_coding
ENSG00000006695.12	124	125	107	61	107	127	99	154	COX10	protein_coding
ENSG00000006704.10	252	590	360	497	288	270	195	262	GTF2IRD1	protein_coding
ENSG00000006712.15	67	72	45	41	75	53	45	68	PAF1	protein_coding
ENSG00000006715.16	99	132	165	90	75	136	127	128	VPS41	protein_coding
ENSG00000006740.17	152	299	153	130	175	222	126	128	ARHGAP44	protein_coding
ENSG00000006744.19	133	175	141	90	159	108	106	112	ELAC2	protein_coding
ENSG00000006756.16	0	0	1	2	2	5	0	0	ARSD	protein_coding
ENSG00000006757.12	5	17	9	12	3	15	12	10	PNPLA4	protein_coding
ENSG00000006788.14	0	2	2	1	2	0	2	0	MYH13	protein_coding
ENSG00000006831.10	85	152	85	61	94	79	78	95	ADIPOR2	protein_coding
ENSG00000007038.11	0	0	0	0	1	0	0	0	PRSS21	protein_coding
ENSG00000007080.11	98	136	106	143	149	99	96	86	CCDC124	protein_coding
ENSG00000007174.18	2	6	9	10	14	3	6	5	DNAH9	protein_coding
ENSG00000007202.15	66	95	71	78	95	71	60	64	KIAA0100	protein_coding
ENSG00000007216.14	2	0	3	6	0	0	0	0	SLC13A2	protein_coding
ENSG00000007237.18	16	40	15	12	10	19	10	10	AC005747.1	protein_coding
ENSG00000007255.10	100	328	138	238	148	188	99	142	TRAPPC6A	protein_coding
ENSG00000007264.15	13	12	14	15	16	6	6	8	MATK	protein_coding
ENSG00000007306.15	0	0	0	1	0	0	0	1	CEACAM7	protein_coding
ENSG00000007314.12	0	0	0	1	1	0	1	0	SCN4A	protein_coding
ENSG00000007341.19	142	292	148	151	235	220	193	198	ST7L	protein_coding
ENSG00000007350.17	2	6	2	1	4	9	1	1	TKTL1	protein_coding
ENSG00000007372.23	20	25	20	10	17	11	17	11	PAX6	protein_coding
ENSG00000007376.8	9	9	10	10	15	11	6	7	RPUSD1	protein_coding
ENSG00000007384.15	37	52	42	39	57	39	33	43	RHBDF1	protein_coding
ENSG00000007392.16	161	332	173	192	197	177	90	186	LUC7L	protein_coding
ENSG00000007402.11	62	74	45	49	84	44	40	36	CACNA2D2	protein_coding
ENSG00000007516.13	5	4	2	1	3	4	4	3	BAIAP3	protein_coding
ENSG00000007520.4	39	33	17	25	34	21	15	18	TSR3	protein_coding
ENSG00000007866.21	249	351	192	157	291	213	142	156	TEAD3	protein_coding
ENSG00000007923.16	552	690	576	314	699	465	363	429	DNAJC11	protein_coding
ENSG00000007933.13	0	0	0	0	0	0	0	0	FMO3	protein_coding
ENSG00000007944.15	147	132	96	59	134	94	72	83	MYLIP	protein_coding
ENSG00000007952.18	0	0	4	1	0	1	1	2	NOX1	protein_coding
ENSG00000007968.7	181	266	262	170	316	212	179	164	E2F2	protein_coding
ENSG00000008018.9	313	343	226	154	263	193	210	242	PSMB1	protein_coding
ENSG00000008083.14	358	508	246	189	380	385	222	230	JARID2	protein_coding
ENSG00000008086.11	41	71	47	28	38	60	42	52	CDKL5	protein_coding
ENSG00000008118.10	1	3	0	0	4	1	4	1	CAMK1G	protein_coding
ENSG00000008130.15	242	260	233	136	309	188	149	186	NADK	protein_coding
ENSG00000008196.13	0	0	0	0	0	0	0	0	TFAP2B	protein_coding
ENSG00000008197.4	0	0	1	0	0	0	0	1	TFAP2D	protein_coding
ENSG00000008226.19	0	3	2	0	2	2	0	0	DLEC1	protein_coding
ENSG00000008277.14	48	64	63	37	51	60	52	78	ADAM22	protein_coding
ENSG00000008282.8	24	32	37	18	16	15	30	27	SYPL1	protein_coding
ENSG00000008283.16	7	14	9	9	20	13	28	23	CYB561	protein_coding
ENSG00000008294.21	152	290	171	125	110	180	152	164	SPAG9	protein_coding
ENSG00000008300.17	5	11	11	7	21	12	8	9	CELSR3	protein_coding
ENSG00000008311.15	71	144	136	72	84	149	121	177	AASS	protein_coding
ENSG00000008323.15	15	14	14	15	9	9	4	7	PLEKHG6	protein_coding
ENSG00000008324.11	351	391	224	127	455	349	191	185	SS18L2	protein_coding
ENSG00000008382.15	26	52	26	39	19	23	25	19	MPND	protein_coding
ENSG00000008405.12	15	16	8	16	12	15	14	26	CRY1	protein_coding
ENSG00000008438.5	0	0	0	1	0	0	0	0	PGLYRP1	protein_coding
ENSG00000008513.16	10	42	19	12	25	22	14	16	ST3GAL1	protein_coding
ENSG00000008516.17	1	6	3	2	2	1	1	3	MMP25	protein_coding
ENSG00000008517.16	0	0	0	2	0	1	1	0	IL32	protein_coding
ENSG00000008735.14	27	49	28	14	53	28	15	17	MAPK8IP2	protein_coding
ENSG00000008838.20	224	372	322	227	278	245	184	229	MED24	protein_coding
ENSG00000008853.16	8	4	5	5	10	8	4	8	RHOBTB2	protein_coding
ENSG00000008869.12	64	125	83	94	48	77	75	68	HEATR5B	protein_coding
ENSG00000008952.17	23	37	25	23	22	34	37	33	SEC62	protein_coding
ENSG00000008988.9	191	281	204	208	123	156	153	168	RPS20	protein_coding
ENSG00000009307.16	115	137	121	103	78	110	114	160	CSDE1	protein_coding
ENSG00000009335.18	373	518	266	216	389	340	278	283	UBE3C	protein_coding
ENSG00000009694.13	0	9	1	5	4	7	2	6	TENM1	protein_coding
